srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nodeidh89	nodeidh96	IpWildcardIpSpace{ipWildcard=200.0.221.0/24}	sat	470	81593	7643.0	7643.0	7643.0	7.642	7.642	7.642	774.0	GigabitEthernet0/0	12619.0	28876.0
almond	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	sat	710	161695	19363.0	19363.0	19363.0	19.363	19.363	19.363	608.0	GigabitEthernet0/0	12619.0	28876.0
dijon	marseille	IpWildcardIpSpace{ipWildcard=200.0.160.0/24}	sat	322	32858	4434.0	4434.0	4434.0	4.434	4.434	4.434	624.0	GigabitEthernet0/0	12619.0	28876.0
olean	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	sat	376	73933	11408.0	11408.0	11408.0	11.407	11.407	11.407	620.0	GigabitEthernet0/0	12619.0	28876.0
dusseldorf	nodeidh21	IpWildcardIpSpace{ipWildcard=200.0.209.0/24}	sat	360	80315	11272.0	11272.0	11272.0	11.271	11.271	11.271	670.0	GigabitEthernet0/0	12619.0	28876.0
empiretttelephonettco	brussels	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	962	178804	16393.0	16393.0	16393.0	16.392	16.392	16.392	661.0	GigabitEthernet0/0	12619.0	28876.0
strasbourg	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	591	120120	5364.0	5364.0	5364.0	5.363	5.363	5.363	631.0	GigabitEthernet0/0	12619.0	28876.0
miami	auburn	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	337	65188	8601.0	8601.0	8601.0	8.601	8.601	8.601	586.0	GigabitEthernet0/0	12619.0	28876.0
providence	toledo	IpWildcardIpSpace{ipWildcard=200.1.41.0/24}	sat	794	81657	7145.0	7145.0	7145.0	7.144	7.144	7.144	590.0	GigabitEthernet0/0	12619.0	28876.0
lebanon	pulaski	IpWildcardIpSpace{ipWildcard=200.0.253.0/24}	sat	324	63649	9527.0	9527.0	9527.0	9.527	9.527	9.527	652.0	GigabitEthernet0/0	12619.0	28876.0
nodeidh24	wellsville	IpWildcardIpSpace{ipWildcard=200.1.56.0/24}	sat	441	87526	13129.0	13129.0	13129.0	13.128	13.128	13.128	657.0	GigabitEthernet0/0	12619.0	28876.0
nodeidh96	fredonia	IpWildcardIpSpace{ipWildcard=200.0.98.0/24}	sat	224	36247	6394.0	6394.0	6394.0	6.393	6.393	6.393	653.0	GigabitEthernet0/0	12619.0	28876.0
