srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nodeidh89	nodeidh96	IpWildcardIpSpace{ipWildcard=200.0.221.0/24}	sat	16816	88883	38752.0	38752.0	38752.0	38.751	38.751	38.751	665.0	GigabitEthernet0/0	12619.0	29591.0
almond	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	sat	28073	118939	52485.0	52485.0	52485.0	52.484	52.484	52.484	632.0	GigabitEthernet0/0	12619.0	29591.0
dijon	marseille	IpWildcardIpSpace{ipWildcard=200.0.160.0/24}	sat	21783	100250	40710.0	40710.0	40710.0	40.71	40.71	40.71	629.0	GigabitEthernet0/0	12619.0	29591.0
olean	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	sat	38756	136638	90173.0	90173.0	90173.0	90.172	90.172	90.172	654.0	GigabitEthernet0/0	12619.0	29591.0
dusseldorf	nodeidh21	IpWildcardIpSpace{ipWildcard=200.0.209.0/24}	sat	28732	122815	65494.0	65494.0	65494.0	65.493	65.493	65.493	592.0	GigabitEthernet0/0	12619.0	29591.0
empiretttelephonettco	brussels	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	36515	119605	88531.0	88531.0	88531.0	88.531	88.531	88.531	641.0	GigabitEthernet0/0	12619.0	29591.0
strasbourg	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	28841	110033	49555.0	49555.0	49555.0	49.554	49.554	49.554	644.0	GigabitEthernet0/0	12619.0	29591.0
miami	auburn	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	32555	122543	66100.0	66100.0	66100.0	66.099	66.099	66.099	582.0	GigabitEthernet0/0	12619.0	29591.0
providence	toledo	IpWildcardIpSpace{ipWildcard=200.1.41.0/24}	sat	29059	116150	60117.0	60117.0	60117.0	60.115	60.115	60.115	591.0	GigabitEthernet0/0	12619.0	29591.0
lebanon	pulaski	IpWildcardIpSpace{ipWildcard=200.0.253.0/24}	sat	23818	102048	77484.0	77484.0	77484.0	77.484	77.484	77.484	604.0	GigabitEthernet0/0	12619.0	29591.0
nodeidh24	wellsville	IpWildcardIpSpace{ipWildcard=200.1.56.0/24}	sat	29774	126246	73065.0	73065.0	73065.0	73.064	73.064	73.064	647.0	GigabitEthernet0/0	12619.0	29591.0
nodeidh96	fredonia	IpWildcardIpSpace{ipWildcard=200.0.98.0/24}	sat	20836	101445	49901.0	49901.0	49901.0	49.9	49.9	49.9	641.0	GigabitEthernet0/0	12619.0	29591.0
orangettcounty	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	27758	113443	59584.0	59584.0	59584.0	59.583	59.583	59.583	587.0	GigabitEthernet0/0	12619.0	29591.0
newttyorkttcity	manchester	IpWildcardIpSpace{ipWildcard=200.0.156.0/24}	sat	33310	138351	80105.0	80105.0	80105.0	80.104	80.104	80.104	640.0	GigabitEthernet0/0	12619.0	29591.0
avila	nuremberg	IpWildcardIpSpace{ipWildcard=200.0.223.0/24}	sat	27724	112355	59268.0	59268.0	59268.0	59.267	59.267	59.267	970.0	GigabitEthernet0/0	12619.0	29591.0
newcastle	saranacttlake	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	sat	26620	103195	67033.0	67033.0	67033.0	67.033	67.033	67.033	630.0	GigabitEthernet0/0	12619.0	29591.0
luxembourg	whitesville	IpWildcardIpSpace{ipWildcard=200.1.59.0/24}	sat	24548	105594	52734.0	52734.0	52734.0	52.733	52.733	52.733	630.0	GigabitEthernet0/0	12619.0	29591.0
