srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nodeidh89	nodeidh96	IpWildcardIpSpace{ipWildcard=200.0.221.0/24}	sat	936760	4517100	2102745.0	2102745.0	2102745.0	2102.742	2102.742	2102.742	835.0	GigabitEthernet0/0	12619.0	28876.0
almond	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	sat	749210	4004239	1895978.0	1895978.0	1895978.0	1895.976	1895.976	1895.976	765.0	GigabitEthernet0/0	12619.0	28876.0
dijon	marseille	IpWildcardIpSpace{ipWildcard=200.0.160.0/24}	sat	604377	3366291	1338194.0	1338194.0	1338194.0	1338.193	1338.193	1338.193	735.0	GigabitEthernet0/0	12619.0	28876.0
olean	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	sat	736706	3564364	1629322.0	1629322.0	1629322.0	1629.321	1629.321	1629.321	635.0	GigabitEthernet0/0	12619.0	28876.0
dusseldorf	nodeidh21	IpWildcardIpSpace{ipWildcard=200.0.209.0/24}	sat	807840	4521580	1759225.0	1759225.0	1759225.0	1759.224	1759.224	1759.224	643.0	GigabitEthernet0/0	12619.0	28876.0
empiretttelephonettco	brussels	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	931509	4431821	1954332.0	1954332.0	1954332.0	1954.331	1954.331	1954.331	614.0	GigabitEthernet0/0	12619.0	28876.0
strasbourg	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	945782	4402005	1874869.0	1874869.0	1874869.0	1874.868	1874.868	1874.868	612.0	GigabitEthernet0/0	12619.0	28876.0
miami	auburn	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	618076	3743492	1433092.0	1433092.0	1433092.0	1433.091	1433.091	1433.091	597.0	GigabitEthernet0/0	12619.0	28876.0
providence	toledo	IpWildcardIpSpace{ipWildcard=200.1.41.0/24}	sat	733825	4141303	1677148.0	1677148.0	1677148.0	1677.147	1677.147	1677.147	634.0	GigabitEthernet0/0	12619.0	28876.0
lebanon	pulaski	IpWildcardIpSpace{ipWildcard=200.0.253.0/24}	sat	682031	4006333	1669804.0	1669804.0	1669804.0	1669.803	1669.803	1669.803	695.0	GigabitEthernet0/0	12619.0	28876.0
nodeidh24	wellsville	IpWildcardIpSpace{ipWildcard=200.1.56.0/24}	sat	800345	4423007	1921987.0	1921987.0	1921987.0	1921.986	1921.986	1921.986	629.0	GigabitEthernet0/0	12619.0	28876.0
nodeidh96	fredonia	IpWildcardIpSpace{ipWildcard=200.0.98.0/24}	sat	648536	3639644	1523278.0	1523278.0	1523278.0	1523.277	1523.277	1523.277	716.0	GigabitEthernet0/0	12619.0	28876.0
orangettcounty	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	536032	3363798	1156747.0	1156747.0	1156747.0	1156.746	1156.746	1156.746	590.0	GigabitEthernet0/0	12619.0	28876.0
newttyorkttcity	manchester	IpWildcardIpSpace{ipWildcard=200.0.156.0/24}	sat	686706	3491044	1532126.0	1532126.0	1532126.0	1532.126	1532.126	1532.126	734.0	GigabitEthernet0/0	12619.0	28876.0
avila	nuremberg	IpWildcardIpSpace{ipWildcard=200.0.223.0/24}	sat	711280	4187673	1797513.0	1797513.0	1797513.0	1797.513	1797.513	1797.513	618.0	GigabitEthernet0/0	12619.0	28876.0
newcastle	saranacttlake	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	sat	701235	3950424	1761674.0	1761674.0	1761674.0	1761.673	1761.673	1761.673	615.0	GigabitEthernet0/0	12619.0	28876.0
luxembourg	whitesville	IpWildcardIpSpace{ipWildcard=200.1.59.0/24}	sat	585069	3200563	1309499.0	1309499.0	1309499.0	1309.498	1309.498	1309.498	711.0	GigabitEthernet0/0	12619.0	28876.0
canton	valencia	IpWildcardIpSpace{ipWildcard=200.1.47.0/24}	sat	969183	4429539	2010244.0	2010244.0	2010244.0	2010.244	2010.244	2010.244	732.0	GigabitEthernet0/0	12619.0	28876.0
frankfurt	altmar	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	608635	3396968	1383068.0	1383068.0	1383068.0	1383.067	1383.067	1383.067	627.0	GigabitEthernet0/0	12619.0	28876.0
mountpelier	madrid	IpWildcardIpSpace{ipWildcard=200.0.151.0/24}	sat	586285	3756505	1463137.0	1463137.0	1463137.0	1463.136	1463.136	1463.136	699.0	GigabitEthernet0/0	12619.0	28876.0
stttlouis	middleburgh	IpWildcardIpSpace{ipWildcard=200.0.166.0/24}	sat	566227	3774961	1382010.0	1382010.0	1382010.0	1382.01	1382.01	1382.01	706.0	GigabitEthernet0/0	12619.0	28876.0
alfred	nice	IpWildcardIpSpace{ipWildcard=200.0.189.0/24}	sat	495222	3198915	1150907.0	1150907.0	1150907.0	1150.907	1150.907	1150.907	612.0	GigabitEthernet0/0	12619.0	28876.0
amsterdam	santtfrancisco	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	sat	546050	3487292	1206699.0	1206699.0	1206699.0	1206.698	1206.698	1206.698	605.0	GigabitEthernet0/0	12619.0	28876.0
middleburgh	tampa	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	1095184	5061967	2329395.0	2329395.0	2329395.0	2329.394	2329.394	2329.394	599.0	GigabitEthernet0/0	12619.0	28876.0
florence	caen	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	sat	831054	4200778	1780145.0	1780145.0	1780145.0	1780.144	1780.144	1780.144	701.0	GigabitEthernet0/0	12619.0	28876.0
middlebury	tampa	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	733364	3735843	1520202.0	1520202.0	1520202.0	1520.202	1520.202	1520.202	631.0	GigabitEthernet0/0	12619.0	28876.0
nuremberg	varna	IpWildcardIpSpace{ipWildcard=200.1.48.0/24}	sat	689744	3786629	1621286.0	1621286.0	1621286.0	1621.285	1621.285	1621.285	709.0	GigabitEthernet0/0	12619.0	28876.0
nodeidh91	barcelona	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	619265	4010003	1389193.0	1389193.0	1389193.0	1389.192	1389.192	1389.192	628.0	GigabitEthernet0/0	12619.0	28876.0
zaragoza	losttangeles	IpWildcardIpSpace{ipWildcard=200.0.146.0/24}	sat	760781	4285306	1737998.0	1737998.0	1737998.0	1737.998	1737.998	1737.998	622.0	GigabitEthernet0/0	12619.0	28876.0
albanyidh64	london	IpWildcardIpSpace{ipWildcard=200.0.145.0/24}	sat	1053618	4774788	2136167.0	2136167.0	2136167.0	2136.166	2136.166	2136.166	740.0	GigabitEthernet0/0	12619.0	28876.0
tallinn	leon	IpWildcardIpSpace{ipWildcard=200.0.139.0/24}	sat	675031	4246127	1659215.0	1659215.0	1659215.0	1659.214	1659.214	1659.214	709.0	GigabitEthernet0/0	12619.0	28876.0
omaha	nodeidh110	IpWildcardIpSpace{ipWildcard=200.0.202.0/24}	sat	504376	2775239	1143353.0	1143353.0	1143353.0	1143.352	1143.352	1143.352	714.0	GigabitEthernet0/0	12619.0	28876.0
