srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nodeidh89	nodeidh96	IpWildcardIpSpace{ipWildcard=200.0.221.0/24}	unsat	36435	271143	138000.0	138000.0	138000.0	137.999	137.999	137.999	695.0	GigabitEthernet0/0	12619.0	29591.0
almond	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	unsat	30003	204579	114513.0	114513.0	114513.0	114.512	114.512	114.512	662.0	GigabitEthernet0/0	12619.0	29591.0
dijon	marseille	IpWildcardIpSpace{ipWildcard=200.0.160.0/24}	unsat	37090	356212	160908.0	160908.0	160908.0	160.908	160.908	160.908	663.0	GigabitEthernet0/0	12619.0	29591.0
olean	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	unsat	34656	245782	112836.0	112836.0	112836.0	112.834	112.834	112.834	666.0	GigabitEthernet0/0	12619.0	29591.0
dusseldorf	nodeidh21	IpWildcardIpSpace{ipWildcard=200.0.209.0/24}	unsat	82724	414858	204196.0	204196.0	204196.0	204.195	204.195	204.195	612.0	GigabitEthernet0/0	12619.0	29591.0
empiretttelephonettco	brussels	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	unsat	57194	383004	205708.0	205708.0	205708.0	205.707	205.707	205.707	657.0	GigabitEthernet0/0	12619.0	29591.0
strasbourg	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	unsat	27874	246476	107531.0	107531.0	107531.0	107.53	107.53	107.53	650.0	GigabitEthernet0/0	12619.0	29591.0
miami	auburn	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	98763	518367	248400.0	248400.0	248400.0	248.399	248.399	248.399	610.0	GigabitEthernet0/0	12619.0	29591.0
providence	toledo	IpWildcardIpSpace{ipWildcard=200.1.41.0/24}	unsat	29161	248620	125676.0	125676.0	125676.0	125.676	125.676	125.676	649.0	GigabitEthernet0/0	12619.0	29591.0
lebanon	pulaski	IpWildcardIpSpace{ipWildcard=200.0.253.0/24}	unsat	73164	471731	189963.0	189963.0	189963.0	189.963	189.963	189.963	615.0	GigabitEthernet0/0	12619.0	29591.0
nodeidh24	wellsville	IpWildcardIpSpace{ipWildcard=200.1.56.0/24}	unsat	52133	286867	156665.0	156665.0	156665.0	156.664	156.664	156.664	683.0	GigabitEthernet0/0	12619.0	29591.0
nodeidh96	fredonia	IpWildcardIpSpace{ipWildcard=200.0.98.0/24}	unsat	19911	171423	77481.0	77481.0	77481.0	77.48	77.48	77.48	622.0	GigabitEthernet0/0	12619.0	29591.0
orangettcounty	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	unsat	46049	433877	183828.0	183828.0	183828.0	183.827	183.827	183.827	651.0	GigabitEthernet0/0	12619.0	29591.0
newttyorkttcity	manchester	IpWildcardIpSpace{ipWildcard=200.0.156.0/24}	unsat	67523	362758	177814.0	177814.0	177814.0	177.813	177.813	177.813	710.0	GigabitEthernet0/0	12619.0	29591.0
avila	nuremberg	IpWildcardIpSpace{ipWildcard=200.0.223.0/24}	unsat	81098	856981	360386.0	360386.0	360386.0	360.385	360.385	360.385	751.0	GigabitEthernet0/0	12619.0	29591.0
newcastle	saranacttlake	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	unsat	101651	800599	282620.0	282620.0	282620.0	282.619	282.619	282.619	631.0	GigabitEthernet0/0	12619.0	29591.0
luxembourg	whitesville	IpWildcardIpSpace{ipWildcard=200.1.59.0/24}	unsat	113199	501396	274229.0	274229.0	274229.0	274.228	274.228	274.228	640.0	GigabitEthernet0/0	12619.0	29591.0
canton	valencia	IpWildcardIpSpace{ipWildcard=200.1.47.0/24}	unsat	100835	681558	319760.0	319760.0	319760.0	319.759	319.759	319.759	708.0	GigabitEthernet0/0	12619.0	29591.0
frankfurt	altmar	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	47354	334368	139017.0	139017.0	139017.0	139.016	139.016	139.016	718.0	GigabitEthernet0/0	12619.0	29591.0
mountpelier	madrid	IpWildcardIpSpace{ipWildcard=200.0.151.0/24}	unsat	62494	475994	218822.0	218822.0	218822.0	218.821	218.821	218.821	704.0	GigabitEthernet0/0	12619.0	29591.0
stttlouis	middleburgh	IpWildcardIpSpace{ipWildcard=200.0.166.0/24}	unsat	188123	1285228	653569.0	653569.0	653569.0	653.568	653.568	653.568	625.0	GigabitEthernet0/0	12619.0	29591.0
alfred	nice	IpWildcardIpSpace{ipWildcard=200.0.189.0/24}	unsat	56531	480197	184123.0	184123.0	184123.0	184.123	184.123	184.123	613.0	GigabitEthernet0/0	12619.0	29591.0
amsterdam	santtfrancisco	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	unsat	49216	280666	149262.0	149262.0	149262.0	149.26	149.26	149.26	697.0	GigabitEthernet0/0	12619.0	29591.0
middleburgh	tampa	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	unsat	84493	471026	227898.0	227898.0	227898.0	227.897	227.897	227.897	645.0	GigabitEthernet0/0	12619.0	29591.0
florence	caen	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	unsat	47890	342839	204895.0	204895.0	204895.0	204.894	204.894	204.894	706.0	GigabitEthernet0/0	12619.0	29591.0
middlebury	tampa	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	unsat	77838	440989	238566.0	238566.0	238566.0	238.565	238.565	238.565	633.0	GigabitEthernet0/0	12619.0	29591.0
nuremberg	varna	IpWildcardIpSpace{ipWildcard=200.1.48.0/24}	unsat	55242	519331	212344.0	212344.0	212344.0	212.343	212.343	212.343	698.0	GigabitEthernet0/0	12619.0	29591.0
nodeidh91	barcelona	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	unsat	50802	329484	158495.0	158495.0	158495.0	158.494	158.494	158.494	701.0	GigabitEthernet0/0	12619.0	29591.0
zaragoza	losttangeles	IpWildcardIpSpace{ipWildcard=200.0.146.0/24}	unsat	38457	199650	129779.0	129779.0	129779.0	129.778	129.778	129.778	701.0	GigabitEthernet0/0	12619.0	29591.0
albanyidh64	london	IpWildcardIpSpace{ipWildcard=200.0.145.0/24}	unsat	60709	388193	183170.0	183170.0	183170.0	183.169	183.169	183.169	734.0	GigabitEthernet0/0	12619.0	29591.0
tallinn	leon	IpWildcardIpSpace{ipWildcard=200.0.139.0/24}	unsat	86723	535926	280744.0	280744.0	280744.0	280.743	280.743	280.743	716.0	GigabitEthernet0/0	12619.0	29591.0
omaha	nodeidh110	IpWildcardIpSpace{ipWildcard=200.0.202.0/24}	unsat	98473	591140	252021.0	252021.0	252021.0	252.02	252.02	252.02	623.0	GigabitEthernet0/0	12619.0	29591.0
charlotte	waterloo	IpWildcardIpSpace{ipWildcard=200.1.54.0/24}	unsat	68542	421113	211162.0	211162.0	211162.0	211.162	211.162	211.162	607.0	GigabitEthernet0/0	12619.0	29591.0
olean	miami	IpWildcardIpSpace{ipWildcard=200.0.165.0/24}	unsat	167292	849085	386124.0	386124.0	386124.0	386.124	386.124	386.124	702.0	GigabitEthernet0/0	12619.0	29591.0
cincinnati	ogdensburg	IpWildcardIpSpace{ipWildcard=200.0.227.0/24}	unsat	73973	413315	212027.0	212027.0	212027.0	212.027	212.027	212.027	573.0	GigabitEthernet0/0	12619.0	29591.0
nodeidh30	salamanca	IpWildcardIpSpace{ipWildcard=200.1.13.0/24}	unsat	47884	270244	148214.0	148214.0	148214.0	148.213	148.213	148.213	631.0	GigabitEthernet0/0	12619.0	29591.0
jamestown	logrono	IpWildcardIpSpace{ipWildcard=200.0.144.0/24}	unsat	102172	528891	299805.0	299805.0	299805.0	299.805	299.805	299.805	708.0	GigabitEthernet0/0	12619.0	29591.0
nodeidh21	bologna	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	unsat	68337	612417	253630.0	253630.0	253630.0	253.629	253.629	253.629	644.0	GigabitEthernet0/0	12619.0	29591.0
stamford	wellsville	IpWildcardIpSpace{ipWildcard=200.1.56.0/24}	unsat	77610	421581	220041.0	220041.0	220041.0	220.04	220.04	220.04	707.0	GigabitEthernet0/0	12619.0	29591.0
stuttgart	malone	IpWildcardIpSpace{ipWildcard=200.0.155.0/24}	unsat	42538	299558	131351.0	131351.0	131351.0	131.351	131.351	131.351	578.0	GigabitEthernet0/0	12619.0	29591.0
orangettcounty	nashville	IpWildcardIpSpace{ipWildcard=200.0.182.0/24}	unsat	24695	171279	95168.0	95168.0	95168.0	95.168	95.168	95.168	643.0	GigabitEthernet0/0	12619.0	29591.0
coxsackie	worcester	IpWildcardIpSpace{ipWildcard=200.1.63.0/24}	unsat	73405	397039	213850.0	213850.0	213850.0	213.85	213.85	213.85	631.0	GigabitEthernet0/0	12619.0	29591.0
nodeidh123	rowland	IpWildcardIpSpace{ipWildcard=200.1.10.0/24}	unsat	33010	206669	101330.0	101330.0	101330.0	101.33	101.33	101.33	710.0	GigabitEthernet0/0	12619.0	29591.0
santtantonio	malone	IpWildcardIpSpace{ipWildcard=200.0.155.0/24}	unsat	63108	428750	200190.0	200190.0	200190.0	200.19	200.19	200.19	621.0	GigabitEthernet0/0	12619.0	29591.0
rowland	essexttjunction	IpWildcardIpSpace{ipWildcard=200.0.93.0/24}	unsat	91580	725549	310299.0	310299.0	310299.0	310.298	310.298	310.298	700.0	GigabitEthernet0/0	12619.0	29591.0
bern	hamilton	IpWildcardIpSpace{ipWildcard=200.0.113.0/24}	unsat	32921	245171	143759.0	143759.0	143759.0	143.758	143.758	143.758	711.0	GigabitEthernet0/0	12619.0	29591.0
barcelona	nodeidh110	IpWildcardIpSpace{ipWildcard=200.0.202.0/24}	unsat	87164	517641	226804.0	226804.0	226804.0	226.803	226.803	226.803	608.0	GigabitEthernet0/0	12619.0	29591.0
bordeaux	buffalo	IpWildcardIpSpace{ipWildcard=200.0.46.0/24}	unsat	19228	157695	85645.0	85645.0	85645.0	85.643	85.643	85.643	655.0	GigabitEthernet0/0	12619.0	29591.0
ingleside	gouveneur	IpWildcardIpSpace{ipWildcard=200.0.107.0/24}	unsat	33709	304035	114337.0	114337.0	114337.0	114.336	114.336	114.336	645.0	GigabitEthernet0/0	12619.0	29591.0
portland	jamestown	IpWildcardIpSpace{ipWildcard=200.0.127.0/24}	unsat	92509	491888	232254.0	232254.0	232254.0	232.254	232.254	232.254	649.0	GigabitEthernet0/0	12619.0	29591.0
