srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nodeidh89	nodeidh96	IpWildcardIpSpace{ipWildcard=200.0.221.0/24}	sat	390	63536	5551.0	5551.0	5551.0	5.55	5.55	5.55	644.0	GigabitEthernet0/0	12619.0	28876.0
almond	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	sat	7081	240412	34031.0	34031.0	34031.0	34.03	34.03	34.03	642.0	GigabitEthernet0/0	12619.0	28876.0
dijon	marseille	IpWildcardIpSpace{ipWildcard=200.0.160.0/24}	sat	390	62422	5601.0	5601.0	5601.0	5.6	5.6	5.6	652.0	GigabitEthernet0/0	12619.0	28876.0
olean	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	sat	5719	199521	37950.0	37950.0	37950.0	37.949	37.949	37.949	643.0	GigabitEthernet0/0	12619.0	28876.0
dusseldorf	nodeidh21	IpWildcardIpSpace{ipWildcard=200.0.209.0/24}	sat	390	61328	5919.0	5919.0	5919.0	5.918	5.918	5.918	642.0	GigabitEthernet0/0	12619.0	28876.0
empiretttelephonettco	brussels	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	390	65639	6854.0	6854.0	6854.0	6.853	6.853	6.853	672.0	GigabitEthernet0/0	12619.0	28876.0
strasbourg	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	390	9681	1993.0	1993.0	1993.0	1.992	1.992	1.992	619.0	GigabitEthernet0/0	12619.0	28876.0
miami	auburn	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	390	14146	2010.0	2010.0	2010.0	2.009	2.009	2.009	591.0	GigabitEthernet0/0	12619.0	28876.0
providence	toledo	IpWildcardIpSpace{ipWildcard=200.1.41.0/24}	sat	390	63615	5872.0	5872.0	5872.0	5.871	5.871	5.871	606.0	GigabitEthernet0/0	12619.0	28876.0
lebanon	pulaski	IpWildcardIpSpace{ipWildcard=200.0.253.0/24}	sat	390	16516	2160.0	2160.0	2160.0	2.159	2.159	2.159	585.0	GigabitEthernet0/0	12619.0	28876.0
nodeidh24	wellsville	IpWildcardIpSpace{ipWildcard=200.1.56.0/24}	sat	390	61734	7491.0	7491.0	7491.0	7.491	7.491	7.491	644.0	GigabitEthernet0/0	12619.0	28876.0
nodeidh96	fredonia	IpWildcardIpSpace{ipWildcard=200.0.98.0/24}	sat	390	15908	2189.0	2189.0	2189.0	2.188	2.188	2.188	586.0	GigabitEthernet0/0	12619.0	28876.0
