srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
peeressen0	neuss	IpWildcardIpSpace{ipWildcard=200.0.94.0/24}	sat	108	2227	847.0	847.0	847.0	0.846	0.846	0.846	471.0	GigabitEthernet0/0	5815.0	13633.0
esslingen	padova	IpWildcardIpSpace{ipWildcard=200.0.107.0/24}	sat	4	141	472.0	472.0	472.0	0.472	0.472	0.472	342.0	GigabitEthernet0/0	5815.0	13633.0
brescia	geneve	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	7	186	454.0	454.0	454.0	0.453	0.453	0.453	309.0	GigabitEthernet0/0	5815.0	13633.0
innsbruck	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.131.0/24}	sat	8	193	457.0	457.0	457.0	0.456	0.456	0.456	287.0	GigabitEthernet0/0	5815.0	13633.0
brescia	malmo	IpWildcardIpSpace{ipWildcard=200.0.82.0/24}	sat	108	2507	939.0	939.0	939.0	0.938	0.938	0.938	329.0	GigabitEthernet0/0	5815.0	13633.0
rimini	dijon	IpWildcardIpSpace{ipWildcard=200.0.38.0/24}	sat	104	1849	666.0	666.0	666.0	0.665	0.665	0.665	289.0	GigabitEthernet0/0	5815.0	13633.0
bucharest	brindisi	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	253	2762	1069.0	1069.0	1069.0	1.068	1.068	1.068	264.0	GigabitEthernet0/0	5815.0	13633.0
tours	porto	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	sat	261	3137	1131.0	1131.0	1131.0	1.13	1.13	1.13	282.0	GigabitEthernet0/0	5815.0	13633.0
dresden	leuven	IpWildcardIpSpace{ipWildcard=200.0.69.0/24}	sat	108	2578	847.0	847.0	847.0	0.846	0.846	0.846	272.0	GigabitEthernet0/0	5815.0	13633.0
graz	rennes	IpWildcardIpSpace{ipWildcard=200.0.120.0/24}	sat	4	160	467.0	467.0	467.0	0.466	0.466	0.466	282.0	GigabitEthernet0/0	5815.0	13633.0
madrid	palermo	IpWildcardIpSpace{ipWildcard=200.0.108.0/24}	sat	105	1139	791.0	791.0	791.0	0.79	0.79	0.79	284.0	GigabitEthernet0/0	5815.0	13633.0
barcelona	denttbosch	IpWildcardIpSpace{ipWildcard=200.0.37.0/24}	sat	9	200	494.0	494.0	494.0	0.493	0.493	0.493	263.0	GigabitEthernet0/0	5815.0	13633.0
nuremberg	brussels	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	3	152	480.0	480.0	480.0	0.479	0.479	0.479	291.0	GigabitEthernet0/0	5815.0	13633.0
schaffhausen	borgomanero	IpWildcardIpSpace{ipWildcard=200.0.17.0/24}	sat	104	1477	671.0	671.0	671.0	0.67	0.67	0.67	272.0	GigabitEthernet0/0	5815.0	13633.0
toulouse	catania	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	sat	258	2628	984.0	984.0	984.0	0.984	0.984	0.984	280.0	GigabitEthernet0/0	5815.0	13633.0
karlsruhe	zug	IpWildcardIpSpace{ipWildcard=200.0.152.0/24}	sat	7	176	484.0	484.0	484.0	0.484	0.484	0.484	278.0	GigabitEthernet0/0	5815.0	13633.0
