srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
peeressen0	neuss	IpWildcardIpSpace{ipWildcard=200.0.94.0/24}	sat	8371	93592	10128.0	10128.0	10128.0	10.128	10.128	10.128	303.0	GigabitEthernet0/0	5815.0	13302.0
esslingen	padova	IpWildcardIpSpace{ipWildcard=200.0.107.0/24}	sat	9110	96711	11152.0	11152.0	11152.0	11.151	11.151	11.151	370.0	GigabitEthernet0/0	5815.0	13302.0
brescia	geneve	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	8193	88640	9592.0	9592.0	9592.0	9.591	9.591	9.591	283.0	GigabitEthernet0/0	5815.0	13302.0
innsbruck	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.131.0/24}	sat	7130	95093	8659.0	8659.0	8659.0	8.658	8.658	8.658	284.0	GigabitEthernet0/0	5815.0	13302.0
brescia	malmo	IpWildcardIpSpace{ipWildcard=200.0.82.0/24}	sat	7775	86277	9915.0	9915.0	9915.0	9.914	9.914	9.914	279.0	GigabitEthernet0/0	5815.0	13302.0
rimini	dijon	IpWildcardIpSpace{ipWildcard=200.0.38.0/24}	sat	7471	88887	9529.0	9529.0	9529.0	9.528	9.528	9.528	275.0	GigabitEthernet0/0	5815.0	13302.0
bucharest	brindisi	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	7296	80732	7945.0	7945.0	7945.0	7.944	7.944	7.944	284.0	GigabitEthernet0/0	5815.0	13302.0
tours	porto	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	sat	7181	85364	8448.0	8448.0	8448.0	8.447	8.447	8.447	283.0	GigabitEthernet0/0	5815.0	13302.0
dresden	leuven	IpWildcardIpSpace{ipWildcard=200.0.69.0/24}	sat	4327	69376	4794.0	4794.0	4794.0	4.794	4.794	4.794	275.0	GigabitEthernet0/0	5815.0	13302.0
graz	rennes	IpWildcardIpSpace{ipWildcard=200.0.120.0/24}	sat	10032	97726	9215.0	9215.0	9215.0	9.215	9.215	9.215	290.0	GigabitEthernet0/0	5815.0	13302.0
madrid	palermo	IpWildcardIpSpace{ipWildcard=200.0.108.0/24}	sat	4169	59496	4920.0	4920.0	4920.0	4.919	4.919	4.919	263.0	GigabitEthernet0/0	5815.0	13302.0
barcelona	denttbosch	IpWildcardIpSpace{ipWildcard=200.0.37.0/24}	sat	7512	91012	8749.0	8749.0	8749.0	8.748	8.748	8.748	266.0	GigabitEthernet0/0	5815.0	13302.0
nuremberg	brussels	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	5672	71894	6122.0	6122.0	6122.0	6.122	6.122	6.122	326.0	GigabitEthernet0/0	5815.0	13302.0
