srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
peeressen0	neuss	IpWildcardIpSpace{ipWildcard=200.0.94.0/24}	sat	175	1632	496.0	496.0	496.0	0.495	0.495	0.495	361.0	GigabitEthernet0/0	5815.0	13302.0
esslingen	padova	IpWildcardIpSpace{ipWildcard=200.0.107.0/24}	sat	175	14035	1029.0	1029.0	1029.0	1.028	1.028	1.028	302.0	GigabitEthernet0/0	5815.0	13302.0
brescia	geneve	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	175	1415	463.0	463.0	463.0	0.462	0.462	0.462	285.0	GigabitEthernet0/0	5815.0	13302.0
innsbruck	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.131.0/24}	sat	175	14039	1024.0	1024.0	1024.0	1.023	1.023	1.023	280.0	GigabitEthernet0/0	5815.0	13302.0
brescia	malmo	IpWildcardIpSpace{ipWildcard=200.0.82.0/24}	sat	175	1036	476.0	476.0	476.0	0.475	0.475	0.475	288.0	GigabitEthernet0/0	5815.0	13302.0
rimini	dijon	IpWildcardIpSpace{ipWildcard=200.0.38.0/24}	sat	175	1143	470.0	470.0	470.0	0.47	0.47	0.47	289.0	GigabitEthernet0/0	5815.0	13302.0
bucharest	brindisi	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	175	769	478.0	478.0	478.0	0.477	0.477	0.477	279.0	GigabitEthernet0/0	5815.0	13302.0
tours	porto	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	sat	175	1373	479.0	479.0	479.0	0.478	0.478	0.478	285.0	GigabitEthernet0/0	5815.0	13302.0
dresden	leuven	IpWildcardIpSpace{ipWildcard=200.0.69.0/24}	sat	175	761	481.0	481.0	481.0	0.481	0.481	0.481	304.0	GigabitEthernet0/0	5815.0	13302.0
graz	rennes	IpWildcardIpSpace{ipWildcard=200.0.120.0/24}	sat	175	610	477.0	477.0	477.0	0.476	0.476	0.476	279.0	GigabitEthernet0/0	5815.0	13302.0
madrid	palermo	IpWildcardIpSpace{ipWildcard=200.0.108.0/24}	sat	175	769	491.0	491.0	491.0	0.49	0.49	0.49	259.0	GigabitEthernet0/0	5815.0	13302.0
