srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
peeressen0	neuss	IpWildcardIpSpace{ipWildcard=200.0.94.0/24}	sat	3082	44174	3305.0	3305.0	3305.0	3.304	3.304	3.304	358.0	GigabitEthernet0/0	5815.0	13302.0
esslingen	padova	IpWildcardIpSpace{ipWildcard=200.0.107.0/24}	sat	13607	113274	16740.0	16740.0	16740.0	16.739	16.739	16.739	289.0	GigabitEthernet0/0	5815.0	13302.0
brescia	geneve	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	12891	106769	15879.0	15879.0	15879.0	15.878	15.878	15.878	286.0	GigabitEthernet0/0	5815.0	13302.0
innsbruck	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.131.0/24}	sat	6752	85411	7952.0	7952.0	7952.0	7.952	7.952	7.952	278.0	GigabitEthernet0/0	5815.0	13302.0
brescia	malmo	IpWildcardIpSpace{ipWildcard=200.0.82.0/24}	sat	5021	61014	5510.0	5510.0	5510.0	5.509	5.509	5.509	290.0	GigabitEthernet0/0	5815.0	13302.0
rimini	dijon	IpWildcardIpSpace{ipWildcard=200.0.38.0/24}	sat	11664	115637	15100.0	15100.0	15100.0	15.099	15.099	15.099	284.0	GigabitEthernet0/0	5815.0	13302.0
bucharest	brindisi	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	11477	106388	15456.0	15456.0	15456.0	15.455	15.455	15.455	286.0	GigabitEthernet0/0	5815.0	13302.0
tours	porto	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	sat	1577	31773	2287.0	2287.0	2287.0	2.286	2.286	2.286	275.0	GigabitEthernet0/0	5815.0	13302.0
dresden	leuven	IpWildcardIpSpace{ipWildcard=200.0.69.0/24}	sat	4060	61222	4842.0	4842.0	4842.0	4.841	4.841	4.841	299.0	GigabitEthernet0/0	5815.0	13302.0
graz	rennes	IpWildcardIpSpace{ipWildcard=200.0.120.0/24}	sat	18100	142755	22665.0	22665.0	22665.0	22.664	22.664	22.664	271.0	GigabitEthernet0/0	5815.0	13302.0
madrid	palermo	IpWildcardIpSpace{ipWildcard=200.0.108.0/24}	sat	8663	99794	11045.0	11045.0	11045.0	11.044	11.044	11.044	262.0	GigabitEthernet0/0	5815.0	13302.0
barcelona	denttbosch	IpWildcardIpSpace{ipWildcard=200.0.37.0/24}	sat	13382	107407	16594.0	16594.0	16594.0	16.594	16.594	16.594	281.0	GigabitEthernet0/0	5815.0	13302.0
nuremberg	brussels	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	8558	82858	8874.0	8874.0	8874.0	8.873	8.873	8.873	300.0	GigabitEthernet0/0	5815.0	13302.0
schaffhausen	borgomanero	IpWildcardIpSpace{ipWildcard=200.0.17.0/24}	sat	11147	115213	15139.0	15139.0	15139.0	15.138	15.138	15.138	274.0	GigabitEthernet0/0	5815.0	13302.0
toulouse	catania	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	sat	11842	123386	16733.0	16733.0	16733.0	16.732	16.732	16.732	300.0	GigabitEthernet0/0	5815.0	13302.0
karlsruhe	zug	IpWildcardIpSpace{ipWildcard=200.0.152.0/24}	sat	7509	92394	9817.0	9817.0	9817.0	9.816	9.816	9.816	259.0	GigabitEthernet0/0	5815.0	13302.0
brussels	reggiottemilia	IpWildcardIpSpace{ipWildcard=200.0.119.0/24}	sat	10794	95345	12760.0	12760.0	12760.0	12.759	12.759	12.759	268.0	GigabitEthernet0/0	5815.0	13302.0
antwerp	varese	IpWildcardIpSpace{ipWildcard=200.0.144.0/24}	sat	6343	78155	8103.0	8103.0	8103.0	8.102	8.102	8.102	258.0	GigabitEthernet0/0	5815.0	13302.0
birmingham	rome	IpWildcardIpSpace{ipWildcard=200.0.122.0/24}	sat	7381	87001	9809.0	9809.0	9809.0	9.808	9.808	9.808	314.0	GigabitEthernet0/0	5815.0	13302.0
stttpollen	evere	IpWildcardIpSpace{ipWildcard=200.0.47.0/24}	sat	9551	96802	12267.0	12267.0	12267.0	12.266	12.266	12.266	296.0	GigabitEthernet0/0	5815.0	13302.0
piacenza	bielbienne	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	sat	9862	109965	14169.0	14169.0	14169.0	14.168	14.168	14.168	300.0	GigabitEthernet0/0	5815.0	13302.0
leuven	manchester	IpWildcardIpSpace{ipWildcard=200.0.83.0/24}	sat	3062	47005	3412.0	3412.0	3412.0	3.411	3.411	3.411	261.0	GigabitEthernet0/0	5815.0	13302.0
novara	nodeid73	IpWildcardIpSpace{ipWildcard=200.0.100.0/24}	sat	12384	126530	16244.0	16244.0	16244.0	16.243	16.243	16.243	304.0	GigabitEthernet0/0	5815.0	13302.0
vicenza	bari	IpWildcardIpSpace{ipWildcard=200.0.6.0/24}	sat	9817	99801	13349.0	13349.0	13349.0	13.348	13.348	13.348	266.0	GigabitEthernet0/0	5815.0	13302.0
budapest	turin	IpWildcardIpSpace{ipWildcard=200.0.141.0/24}	sat	13496	122582	17485.0	17485.0	17485.0	17.485	17.485	17.485	270.0	GigabitEthernet0/0	5815.0	13302.0
ghent	innsbruck	IpWildcardIpSpace{ipWildcard=200.0.61.0/24}	sat	3866	57355	4717.0	4717.0	4717.0	4.716	4.716	4.716	253.0	GigabitEthernet0/0	5815.0	13302.0
hoofddorp	porto	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	sat	3669	61826	4194.0	4194.0	4194.0	4.193	4.193	4.193	272.0	GigabitEthernet0/0	5815.0	13302.0
pfaffikon	mons	IpWildcardIpSpace{ipWildcard=200.0.88.0/24}	sat	7111	87191	8122.0	8122.0	8122.0	8.122	8.122	8.122	251.0	GigabitEthernet0/0	5815.0	13302.0
utrecht	stuttgart	IpWildcardIpSpace{ipWildcard=200.0.134.0/24}	sat	8841	91892	10641.0	10641.0	10641.0	10.64	10.64	10.64	246.0	GigabitEthernet0/0	5815.0	13302.0
dusseldorf	madrid	IpWildcardIpSpace{ipWildcard=200.0.80.0/24}	sat	3605	56663	4372.0	4372.0	4372.0	4.371	4.371	4.371	390.0	GigabitEthernet0/0	5815.0	13302.0
amsterdam	poitiers	IpWildcardIpSpace{ipWildcard=200.0.114.0/24}	sat	9530	96045	11522.0	11522.0	11522.0	11.521	11.521	11.521	264.0	GigabitEthernet0/0	5815.0	13302.0
grenoble	winterthur	IpWildcardIpSpace{ipWildcard=200.0.150.0/24}	sat	12462	120316	15503.0	15503.0	15503.0	15.502	15.502	15.502	260.0	GigabitEthernet0/0	5815.0	13302.0
linz	warsaw	IpWildcardIpSpace{ipWildcard=200.0.149.0/24}	sat	9598	104183	12454.0	12454.0	12454.0	12.454	12.454	12.454	249.0	GigabitEthernet0/0	5815.0	13302.0
boblingen	hamburg	IpWildcardIpSpace{ipWildcard=200.0.56.0/24}	sat	10251	119187	12354.0	12354.0	12354.0	12.354	12.354	12.354	270.0	GigabitEthernet0/0	5815.0	13302.0
montpellier	cuneo	IpWildcardIpSpace{ipWildcard=200.0.36.0/24}	sat	6112	73035	6534.0	6534.0	6534.0	6.533	6.533	6.533	259.0	GigabitEthernet0/0	5815.0	13302.0
schaffhausen	chiasso	IpWildcardIpSpace{ipWildcard=200.0.31.0/24}	sat	20371	134074	26521.0	26521.0	26521.0	26.52	26.52	26.52	266.0	GigabitEthernet0/0	5815.0	13302.0
kolding	geneve	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	9126	97248	10695.0	10695.0	10695.0	10.695	10.695	10.695	266.0	GigabitEthernet0/0	5815.0	13302.0
firenze	barcelona	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	sat	21456	135909	24149.0	24149.0	24149.0	24.149	24.149	24.149	258.0	GigabitEthernet0/0	5815.0	13302.0
bergamo	charleroi	IpWildcardIpSpace{ipWildcard=200.0.30.0/24}	sat	6153	83250	7703.0	7703.0	7703.0	7.702	7.702	7.702	257.0	GigabitEthernet0/0	5815.0	13302.0
anderlecht	pfaffikon	IpWildcardIpSpace{ipWildcard=200.0.112.0/24}	sat	15559	121155	18450.0	18450.0	18450.0	18.45	18.45	18.45	258.0	GigabitEthernet0/0	5815.0	13302.0
parma	biella	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	11495	109015	15279.0	15279.0	15279.0	15.279	15.279	15.279	259.0	GigabitEthernet0/0	5815.0	13302.0
montpellier	bern	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	2115	34742	2138.0	2138.0	2138.0	2.137	2.137	2.137	254.0	GigabitEthernet0/0	5815.0	13302.0
