srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
palermo	thetthague	IpWildcardIpSpace{ipWildcard=200.0.237.0/24}	sat	82	2325	1757.0	1757.0	1757.0	1.755	1.755	1.755	786.0	GigabitEthernet0/0	10833.0	25382.0
florence	lisbon	IpWildcardIpSpace{ipWildcard=200.0.126.0/24}	sat	38	1236	1596.0	1596.0	1596.0	1.595	1.595	1.595	552.0	GigabitEthernet0/0	10833.0	25382.0
luxembourg	dresden	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	sat	44	1786	1590.0	1590.0	1590.0	1.589	1.589	1.589	600.0	GigabitEthernet0/0	10833.0	25382.0
melbourne	newttyork	IpWildcardIpSpace{ipWildcard=200.0.163.0/24}	sat	965	16110	4214.0	4214.0	4214.0	4.213	4.213	4.213	551.0	GigabitEthernet0/0	10833.0	25382.0
leuven	arab	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	70	2431	1836.0	1836.0	1836.0	1.836	1.836	1.836	550.0	GigabitEthernet0/0	10833.0	25382.0
knoxville	stockholm	IpWildcardIpSpace{ipWildcard=200.0.228.0/24}	sat	1357	24567	4904.0	4904.0	4904.0	4.904	4.904	4.904	556.0	GigabitEthernet0/0	10833.0	25382.0
manchester	batonttrouge	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	1421	16584	5379.0	5379.0	5379.0	5.378	5.378	5.378	581.0	GigabitEthernet0/0	10833.0	25382.0
krakov	orlando	IpWildcardIpSpace{ipWildcard=200.0.189.0/24}	sat	80	2916	1875.0	1875.0	1875.0	1.874	1.874	1.874	526.0	GigabitEthernet0/0	10833.0	25382.0
aarhus	washington	IpWildcardIpSpace{ipWildcard=200.1.1.0/24}	sat	68	4634	2624.0	2624.0	2624.0	2.623	2.623	2.623	517.0	GigabitEthernet0/0	10833.0	25382.0
napoli	lagrange	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	sat	242	5627	2516.0	2516.0	2516.0	2.515	2.515	2.515	509.0	GigabitEthernet0/0	10833.0	25382.0
westttpalmttbeach	ashville	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	37	1292	1739.0	1739.0	1739.0	1.739	1.739	1.739	536.0	GigabitEthernet0/0	10833.0	25382.0
lafayette	hattiesburg	IpWildcardIpSpace{ipWildcard=200.0.94.0/24}	sat	88	3378	2093.0	2093.0	2093.0	2.092	2.092	2.092	525.0	GigabitEthernet0/0	10833.0	25382.0
rockyttmount	augusta	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	60	3799	2054.0	2054.0	2054.0	2.053	2.053	2.053	507.0	GigabitEthernet0/0	10833.0	25382.0
dallas	luxembourg	IpWildcardIpSpace{ipWildcard=200.0.132.0/24}	sat	152	3279	2060.0	2060.0	2060.0	2.06	2.06	2.06	507.0	GigabitEthernet0/0	10833.0	25382.0
catania	nodeidh103	IpWildcardIpSpace{ipWildcard=200.0.173.0/24}	sat	23	1719	1761.0	1761.0	1761.0	1.76	1.76	1.76	508.0	GigabitEthernet0/0	10833.0	25382.0
treviso	nodeidh85	IpWildcardIpSpace{ipWildcard=200.0.177.0/24}	sat	65	2686	2005.0	2005.0	2005.0	2.005	2.005	2.005	527.0	GigabitEthernet0/0	10833.0	25382.0
opelika	gainesvilleidh15	IpWildcardIpSpace{ipWildcard=200.0.82.0/24}	sat	66	2228	1873.0	1873.0	1873.0	1.872	1.872	1.872	505.0	GigabitEthernet0/0	10833.0	25382.0
meridian	sauntttaugustine	IpWildcardIpSpace{ipWildcard=200.0.223.0/24}	sat	54	2299	1976.0	1976.0	1976.0	1.975	1.975	1.975	591.0	GigabitEthernet0/0	10833.0	25382.0
bologna	rouen	IpWildcardIpSpace{ipWildcard=200.0.217.0/24}	sat	369	4481	2639.0	2639.0	2639.0	2.639	2.639	2.639	504.0	GigabitEthernet0/0	10833.0	25382.0
utrecht	malmo	IpWildcardIpSpace{ipWildcard=200.0.137.0/24}	sat	1359	26005	5586.0	5586.0	5586.0	5.585	5.585	5.585	600.0	GigabitEthernet0/0	10833.0	25382.0
myrtlettbeach	leuven	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	sat	163	4112	2380.0	2380.0	2380.0	2.378	2.378	2.378	515.0	GigabitEthernet0/0	10833.0	25382.0
