srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
palermo	thetthague	IpWildcardIpSpace{ipWildcard=200.0.237.0/24}	sat	375	43190	5593.0	5593.0	5593.0	5.592	5.592	5.592	632.0	GigabitEthernet0/0	10833.0	24773.0
florence	lisbon	IpWildcardIpSpace{ipWildcard=200.0.126.0/24}	sat	1136	172145	7536.0	7536.0	7536.0	7.535	7.535	7.535	572.0	GigabitEthernet0/0	10833.0	24773.0
luxembourg	dresden	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	sat	779	89211	7633.0	7633.0	7633.0	7.632	7.632	7.632	636.0	GigabitEthernet0/0	10833.0	24773.0
melbourne	newttyork	IpWildcardIpSpace{ipWildcard=200.0.163.0/24}	sat	716	205578	7281.0	7281.0	7281.0	7.28	7.28	7.28	544.0	GigabitEthernet0/0	10833.0	24773.0
leuven	arab	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	1038	94028	8216.0	8216.0	8216.0	8.215	8.215	8.215	519.0	GigabitEthernet0/0	10833.0	24773.0
knoxville	stockholm	IpWildcardIpSpace{ipWildcard=200.0.228.0/24}	sat	391	63008	6491.0	6491.0	6491.0	6.49	6.49	6.49	574.0	GigabitEthernet0/0	10833.0	24773.0
manchester	batonttrouge	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	936	82513	8594.0	8594.0	8594.0	8.593	8.593	8.593	521.0	GigabitEthernet0/0	10833.0	24773.0
krakov	orlando	IpWildcardIpSpace{ipWildcard=200.0.189.0/24}	sat	803	151052	6993.0	6993.0	6993.0	6.993	6.993	6.993	541.0	GigabitEthernet0/0	10833.0	24773.0
aarhus	washington	IpWildcardIpSpace{ipWildcard=200.1.1.0/24}	sat	548	62729	7649.0	7649.0	7649.0	7.649	7.649	7.649	521.0	GigabitEthernet0/0	10833.0	24773.0
napoli	lagrange	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	sat	934	101388	10139.0	10139.0	10139.0	10.138	10.138	10.138	528.0	GigabitEthernet0/0	10833.0	24773.0
westttpalmttbeach	ashville	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	325	41978	2562.0	2562.0	2562.0	2.562	2.562	2.562	529.0	GigabitEthernet0/0	10833.0	24773.0
lafayette	hattiesburg	IpWildcardIpSpace{ipWildcard=200.0.94.0/24}	sat	518	58233	5126.0	5126.0	5126.0	5.125	5.125	5.125	514.0	GigabitEthernet0/0	10833.0	24773.0
rockyttmount	augusta	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	373	44036	4727.0	4727.0	4727.0	4.727	4.727	4.727	531.0	GigabitEthernet0/0	10833.0	24773.0
dallas	luxembourg	IpWildcardIpSpace{ipWildcard=200.0.132.0/24}	sat	437	64000	7178.0	7178.0	7178.0	7.177	7.177	7.177	518.0	GigabitEthernet0/0	10833.0	24773.0
catania	nodeidh103	IpWildcardIpSpace{ipWildcard=200.0.173.0/24}	sat	671	91764	6857.0	6857.0	6857.0	6.857	6.857	6.857	504.0	GigabitEthernet0/0	10833.0	24773.0
treviso	nodeidh85	IpWildcardIpSpace{ipWildcard=200.0.177.0/24}	sat	737	89034	6949.0	6949.0	6949.0	6.949	6.949	6.949	533.0	GigabitEthernet0/0	10833.0	24773.0
opelika	gainesvilleidh15	IpWildcardIpSpace{ipWildcard=200.0.82.0/24}	sat	659	62789	5497.0	5497.0	5497.0	5.496	5.496	5.496	597.0	GigabitEthernet0/0	10833.0	24773.0
meridian	sauntttaugustine	IpWildcardIpSpace{ipWildcard=200.0.223.0/24}	sat	462	56081	3375.0	3375.0	3375.0	3.374	3.374	3.374	512.0	GigabitEthernet0/0	10833.0	24773.0
bologna	rouen	IpWildcardIpSpace{ipWildcard=200.0.217.0/24}	sat	418	61692	6353.0	6353.0	6353.0	6.353	6.353	6.353	505.0	GigabitEthernet0/0	10833.0	24773.0
utrecht	malmo	IpWildcardIpSpace{ipWildcard=200.0.137.0/24}	sat	628	103260	9351.0	9351.0	9351.0	9.35	9.35	9.35	518.0	GigabitEthernet0/0	10833.0	24773.0
myrtlettbeach	leuven	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	sat	665	70614	8245.0	8245.0	8245.0	8.244	8.244	8.244	509.0	GigabitEthernet0/0	10833.0	24773.0
monza	hollywood	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	sat	467	76171	5275.0	5275.0	5275.0	5.274	5.274	5.274	507.0	GigabitEthernet0/0	10833.0	24773.0
lafayette	alexandria	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	444	49834	6541.0	6541.0	6541.0	6.541	6.541	6.541	508.0	GigabitEthernet0/0	10833.0	24773.0
huntsville	ghent	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	sat	409	69598	5792.0	5792.0	5792.0	5.791	5.791	5.791	508.0	GigabitEthernet0/0	10833.0	24773.0
nodeidh85	munich	IpWildcardIpSpace{ipWildcard=200.0.153.0/24}	sat	1085	109968	10581.0	10581.0	10581.0	10.58	10.58	10.58	522.0	GigabitEthernet0/0	10833.0	24773.0
nodeidh99	nyon	IpWildcardIpSpace{ipWildcard=200.0.185.0/24}	sat	366	53951	6343.0	6343.0	6343.0	6.342	6.342	6.342	502.0	GigabitEthernet0/0	10833.0	24773.0
trento	jackson	IpWildcardIpSpace{ipWildcard=200.0.105.0/24}	sat	616	53056	6245.0	6245.0	6245.0	6.245	6.245	6.245	539.0	GigabitEthernet0/0	10833.0	24773.0
savannah	arab	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	986	97156	8241.0	8241.0	8241.0	8.241	8.241	8.241	609.0	GigabitEthernet0/0	10833.0	24773.0
orangeburg	verottbeach	IpWildcardIpSpace{ipWildcard=200.0.251.0/24}	sat	422	52024	5974.0	5974.0	5974.0	5.973	5.973	5.973	1072.0	GigabitEthernet0/0	10833.0	24773.0
amsterdam	berlin	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	646	90291	7269.0	7269.0	7269.0	7.268	7.268	7.268	516.0	GigabitEthernet0/0	10833.0	24773.0
hamburg	pinettbluff	IpWildcardIpSpace{ipWildcard=200.0.202.0/24}	sat	422	45707	5833.0	5833.0	5833.0	5.832	5.832	5.832	507.0	GigabitEthernet0/0	10833.0	24773.0
salzburg	nodeidh100	IpWildcardIpSpace{ipWildcard=200.0.170.0/24}	sat	390	48764	5128.0	5128.0	5128.0	5.127	5.127	5.127	649.0	GigabitEthernet0/0	10833.0	24773.0
chiasso	essen	IpWildcardIpSpace{ipWildcard=200.0.71.0/24}	sat	377	59393	6002.0	6002.0	6002.0	6.001	6.001	6.001	503.0	GigabitEthernet0/0	10833.0	24773.0
alexanderttcity	macon	IpWildcardIpSpace{ipWildcard=200.0.134.0/24}	sat	638	39381	4264.0	4264.0	4264.0	4.263	4.263	4.263	502.0	GigabitEthernet0/0	10833.0	24773.0
zurich	lille	IpWildcardIpSpace{ipWildcard=200.0.124.0/24}	sat	519	97795	7476.0	7476.0	7476.0	7.475	7.475	7.475	523.0	GigabitEthernet0/0	10833.0	24773.0
nyon	nodeidh112	IpWildcardIpSpace{ipWildcard=200.0.175.0/24}	sat	376	40743	4341.0	4341.0	4341.0	4.341	4.341	4.341	500.0	GigabitEthernet0/0	10833.0	24773.0
