srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
palermo	thetthague	IpWildcardIpSpace{ipWildcard=200.0.237.0/24}	sat	10762	57355	15230.0	15230.0	15230.0	15.229	15.229	15.229	631.0	GigabitEthernet0/0	10833.0	25382.0
florence	lisbon	IpWildcardIpSpace{ipWildcard=200.0.126.0/24}	sat	10305	54922	13909.0	13909.0	13909.0	13.908	13.908	13.908	577.0	GigabitEthernet0/0	10833.0	25382.0
luxembourg	dresden	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	sat	9764	58330	14499.0	14499.0	14499.0	14.498	14.498	14.498	530.0	GigabitEthernet0/0	10833.0	25382.0
melbourne	newttyork	IpWildcardIpSpace{ipWildcard=200.0.163.0/24}	sat	9665	62888	14053.0	14053.0	14053.0	14.052	14.052	14.052	539.0	GigabitEthernet0/0	10833.0	25382.0
leuven	arab	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	12672	64856	17413.0	17413.0	17413.0	17.411	17.411	17.411	539.0	GigabitEthernet0/0	10833.0	25382.0
knoxville	stockholm	IpWildcardIpSpace{ipWildcard=200.0.228.0/24}	sat	9725	55925	12233.0	12233.0	12233.0	12.232	12.232	12.232	586.0	GigabitEthernet0/0	10833.0	25382.0
manchester	batonttrouge	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	12374	70977	23452.0	23452.0	23452.0	23.451	23.451	23.451	525.0	GigabitEthernet0/0	10833.0	25382.0
krakov	orlando	IpWildcardIpSpace{ipWildcard=200.0.189.0/24}	sat	11223	65906	15801.0	15801.0	15801.0	15.801	15.801	15.801	527.0	GigabitEthernet0/0	10833.0	25382.0
aarhus	washington	IpWildcardIpSpace{ipWildcard=200.1.1.0/24}	sat	12557	71722	17277.0	17277.0	17277.0	17.276	17.276	17.276	517.0	GigabitEthernet0/0	10833.0	25382.0
napoli	lagrange	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	sat	11108	55757	16008.0	16008.0	16008.0	16.008	16.008	16.008	511.0	GigabitEthernet0/0	10833.0	25382.0
westttpalmttbeach	ashville	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	12005	67843	19541.0	19541.0	19541.0	19.54	19.54	19.54	526.0	GigabitEthernet0/0	10833.0	25382.0
lafayette	hattiesburg	IpWildcardIpSpace{ipWildcard=200.0.94.0/24}	sat	11590	64587	16048.0	16048.0	16048.0	16.047	16.047	16.047	515.0	GigabitEthernet0/0	10833.0	25382.0
rockyttmount	augusta	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	12029	63307	18716.0	18716.0	18716.0	18.715	18.715	18.715	501.0	GigabitEthernet0/0	10833.0	25382.0
dallas	luxembourg	IpWildcardIpSpace{ipWildcard=200.0.132.0/24}	sat	11156	61703	18652.0	18652.0	18652.0	18.651	18.651	18.651	503.0	GigabitEthernet0/0	10833.0	25382.0
catania	nodeidh103	IpWildcardIpSpace{ipWildcard=200.0.173.0/24}	sat	13677	71230	20874.0	20874.0	20874.0	20.873	20.873	20.873	502.0	GigabitEthernet0/0	10833.0	25382.0
treviso	nodeidh85	IpWildcardIpSpace{ipWildcard=200.0.177.0/24}	sat	11793	63778	16552.0	16552.0	16552.0	16.552	16.552	16.552	528.0	GigabitEthernet0/0	10833.0	25382.0
opelika	gainesvilleidh15	IpWildcardIpSpace{ipWildcard=200.0.82.0/24}	sat	9814	57792	15003.0	15003.0	15003.0	15.002	15.002	15.002	496.0	GigabitEthernet0/0	10833.0	25382.0
meridian	sauntttaugustine	IpWildcardIpSpace{ipWildcard=200.0.223.0/24}	sat	11732	78515	18803.0	18803.0	18803.0	18.801	18.801	18.801	525.0	GigabitEthernet0/0	10833.0	25382.0
bologna	rouen	IpWildcardIpSpace{ipWildcard=200.0.217.0/24}	sat	9766	53167	12829.0	12829.0	12829.0	12.828	12.828	12.828	505.0	GigabitEthernet0/0	10833.0	25382.0
utrecht	malmo	IpWildcardIpSpace{ipWildcard=200.0.137.0/24}	sat	10602	64888	17272.0	17272.0	17272.0	17.271	17.271	17.271	621.0	GigabitEthernet0/0	10833.0	25382.0
myrtlettbeach	leuven	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	sat	10315	64846	16915.0	16915.0	16915.0	16.915	16.915	16.915	535.0	GigabitEthernet0/0	10833.0	25382.0
monza	hollywood	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	sat	11200	58972	15711.0	15711.0	15711.0	15.71	15.71	15.71	508.0	GigabitEthernet0/0	10833.0	25382.0
lafayette	alexandria	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	11029	60075	18034.0	18034.0	18034.0	18.033	18.033	18.033	490.0	GigabitEthernet0/0	10833.0	25382.0
