srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
palermo	thetthague	IpWildcardIpSpace{ipWildcard=200.0.237.0/24}	sat	339	47779	3964.0	3964.0	3964.0	3.963	3.963	3.963	551.0	GigabitEthernet0/0	10833.0	24773.0
florence	lisbon	IpWildcardIpSpace{ipWildcard=200.0.126.0/24}	sat	339	46289	4075.0	4075.0	4075.0	4.074	4.074	4.074	642.0	GigabitEthernet0/0	10833.0	24773.0
luxembourg	dresden	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	sat	339	46717	4295.0	4295.0	4295.0	4.294	4.294	4.294	541.0	GigabitEthernet0/0	10833.0	24773.0
melbourne	newttyork	IpWildcardIpSpace{ipWildcard=200.0.163.0/24}	sat	339	6065	1632.0	1632.0	1632.0	1.631	1.631	1.631	557.0	GigabitEthernet0/0	10833.0	24773.0
leuven	arab	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	339	5905	1588.0	1588.0	1588.0	1.587	1.587	1.587	606.0	GigabitEthernet0/0	10833.0	24773.0
knoxville	stockholm	IpWildcardIpSpace{ipWildcard=200.0.228.0/24}	sat	339	48548	4284.0	4284.0	4284.0	4.284	4.284	4.284	586.0	GigabitEthernet0/0	10833.0	24773.0
manchester	batonttrouge	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	339	3898	1594.0	1594.0	1594.0	1.593	1.593	1.593	2199.0	GigabitEthernet0/0	10833.0	24773.0
krakov	orlando	IpWildcardIpSpace{ipWildcard=200.0.189.0/24}	sat	443795	7937436	893478.0	893478.0	893478.0	893.476	893.476	893.476	514.0	GigabitEthernet0/0	10833.0	24773.0
aarhus	washington	IpWildcardIpSpace{ipWildcard=200.1.1.0/24}	sat	339	8224	1572.0	1572.0	1572.0	1.572	1.572	1.572	520.0	GigabitEthernet0/0	10833.0	24773.0
napoli	lagrange	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	sat	339	11109	1622.0	1622.0	1622.0	1.621	1.621	1.621	573.0	GigabitEthernet0/0	10833.0	24773.0
westttpalmttbeach	ashville	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	339	8605	1709.0	1709.0	1709.0	1.709	1.709	1.709	521.0	GigabitEthernet0/0	10833.0	24773.0
lafayette	hattiesburg	IpWildcardIpSpace{ipWildcard=200.0.94.0/24}	sat	339	5216	1707.0	1707.0	1707.0	1.706	1.706	1.706	519.0	GigabitEthernet0/0	10833.0	24773.0
rockyttmount	augusta	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	339	50286	4881.0	4881.0	4881.0	4.88	4.88	4.88	517.0	GigabitEthernet0/0	10833.0	24773.0
dallas	luxembourg	IpWildcardIpSpace{ipWildcard=200.0.132.0/24}	sat	339	4830	1597.0	1597.0	1597.0	1.596	1.596	1.596	504.0	GigabitEthernet0/0	10833.0	24773.0
catania	nodeidh103	IpWildcardIpSpace{ipWildcard=200.0.173.0/24}	sat	339	48747	4662.0	4662.0	4662.0	4.661	4.661	4.661	508.0	GigabitEthernet0/0	10833.0	24773.0
treviso	nodeidh85	IpWildcardIpSpace{ipWildcard=200.0.177.0/24}	sat	339	47868	4744.0	4744.0	4744.0	4.744	4.744	4.744	513.0	GigabitEthernet0/0	10833.0	24773.0
opelika	gainesvilleidh15	IpWildcardIpSpace{ipWildcard=200.0.82.0/24}	sat	339	7342	1702.0	1702.0	1702.0	1.701	1.701	1.701	530.0	GigabitEthernet0/0	10833.0	24773.0
meridian	sauntttaugustine	IpWildcardIpSpace{ipWildcard=200.0.223.0/24}	sat	339	5486	1674.0	1674.0	1674.0	1.673	1.673	1.673	579.0	GigabitEthernet0/0	10833.0	24773.0
bologna	rouen	IpWildcardIpSpace{ipWildcard=200.0.217.0/24}	sat	339	5123	1689.0	1689.0	1689.0	1.689	1.689	1.689	521.0	GigabitEthernet0/0	10833.0	24773.0
utrecht	malmo	IpWildcardIpSpace{ipWildcard=200.0.137.0/24}	sat	339	3185	1595.0	1595.0	1595.0	1.594	1.594	1.594	508.0	GigabitEthernet0/0	10833.0	24773.0
myrtlettbeach	leuven	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	sat	339	4810	1646.0	1646.0	1646.0	1.646	1.646	1.646	506.0	GigabitEthernet0/0	10833.0	24773.0
monza	hollywood	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	sat	339	7478	1734.0	1734.0	1734.0	1.733	1.733	1.733	508.0	GigabitEthernet0/0	10833.0	24773.0
lafayette	alexandria	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	339	3596	1778.0	1778.0	1778.0	1.777	1.777	1.777	515.0	GigabitEthernet0/0	10833.0	24773.0
huntsville	ghent	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	sat	339	50224	4837.0	4837.0	4837.0	4.836	4.836	4.836	507.0	GigabitEthernet0/0	10833.0	24773.0
nodeidh85	munich	IpWildcardIpSpace{ipWildcard=200.0.153.0/24}	sat	58337	1051736	166392.0	166392.0	166392.0	166.392	166.392	166.392	500.0	GigabitEthernet0/0	10833.0	24773.0
nodeidh99	nyon	IpWildcardIpSpace{ipWildcard=200.0.185.0/24}	sat	339	8513	1674.0	1674.0	1674.0	1.674	1.674	1.674	502.0	GigabitEthernet0/0	10833.0	24773.0
trento	jackson	IpWildcardIpSpace{ipWildcard=200.0.105.0/24}	sat	63209	1042556	181479.0	181479.0	181479.0	181.478	181.478	181.478	712.0	GigabitEthernet0/0	10833.0	24773.0
savannah	arab	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	339	5905	1680.0	1680.0	1680.0	1.679	1.679	1.679	506.0	GigabitEthernet0/0	10833.0	24773.0
orangeburg	verottbeach	IpWildcardIpSpace{ipWildcard=200.0.251.0/24}	sat	339	5459	1885.0	1885.0	1885.0	1.829	1.829	1.829	515.0	GigabitEthernet0/0	10833.0	24773.0
amsterdam	berlin	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	120562	2670934	371901.0	371901.0	371901.0	371.9	371.9	371.9	512.0	GigabitEthernet0/0	10833.0	24773.0
hamburg	pinettbluff	IpWildcardIpSpace{ipWildcard=200.0.202.0/24}	sat	339	7101	1738.0	1738.0	1738.0	1.737	1.737	1.737	645.0	GigabitEthernet0/0	10833.0	24773.0
salzburg	nodeidh100	IpWildcardIpSpace{ipWildcard=200.0.170.0/24}	sat	339	48372	5674.0	5674.0	5674.0	5.674	5.674	5.674	531.0	GigabitEthernet0/0	10833.0	24773.0
chiasso	essen	IpWildcardIpSpace{ipWildcard=200.0.71.0/24}	sat	339	48916	4555.0	4555.0	4555.0	4.554	4.554	4.554	656.0	GigabitEthernet0/0	10833.0	24773.0
alexanderttcity	macon	IpWildcardIpSpace{ipWildcard=200.0.134.0/24}	sat	339	6729	1711.0	1711.0	1711.0	1.71	1.71	1.71	495.0	GigabitEthernet0/0	10833.0	24773.0
zurich	lille	IpWildcardIpSpace{ipWildcard=200.0.124.0/24}	sat	339	48532	4573.0	4573.0	4573.0	4.572	4.572	4.572	510.0	GigabitEthernet0/0	10833.0	24773.0
