srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
stttkittstt&ttnevis	nodeid32	IpWildcardIpSpace{ipWildcard=200.2.85.0/24}	sat	1660	8645	1210.0	1210.0	1210.0	1.209	1.209	1.209	177.0	GigabitEthernet0/0	3060.0	7171.0
nodeid7	peernodeid12	IpWildcardIpSpace{ipWildcard=200.2.92.0/24}	sat	1746	9559	1171.0	1171.0	1171.0	1.17	1.17	1.17	153.0	GigabitEthernet0/0	3060.0	7171.0
dominica	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	1973	7934	1376.0	1376.0	1376.0	1.375	1.375	1.375	175.0	GigabitEthernet0/0	3060.0	7171.0
nodeid69	peerdominicanttrepublic1	IpWildcardIpSpace{ipWildcard=200.2.73.0/24}	sat	1695	7287	1277.0	1277.0	1277.0	1.277	1.277	1.277	172.0	GigabitEthernet0/0	3060.0	7171.0
peerstttcroix13	guatemala	IpWildcardIpSpace{ipWildcard=200.2.25.0/24}	sat	2091	8951	1570.0	1570.0	1570.0	1.569	1.569	1.569	164.0	GigabitEthernet0/0	3060.0	7171.0
turksttandttcaicos	bahamas	IpWildcardIpSpace{ipWildcard=200.2.96.0/24}	sat	1570	7319	1246.0	1246.0	1246.0	1.245	1.245	1.245	162.0	GigabitEthernet0/0	3060.0	7171.0
peerpanama12	nodeid9	IpWildcardIpSpace{ipWildcard=200.2.69.0/24}	sat	1799	9939	1261.0	1261.0	1261.0	1.26	1.26	1.26	164.0	GigabitEthernet0/0	3060.0	7171.0
peernodeid316	nodeid58	IpWildcardIpSpace{ipWildcard=200.2.38.0/24}	sat	1791	7745	1161.0	1161.0	1161.0	1.16	1.16	1.16	165.0	GigabitEthernet0/0	3060.0	7171.0
peerstttvincent15	stttvincent	IpWildcardIpSpace{ipWildcard=200.2.103.0/24}	sat	1662	7036	1072.0	1072.0	1072.0	1.071	1.071	1.071	164.0	GigabitEthernet0/0	3060.0	7171.0
peernodeid448	nodeid31	IpWildcardIpSpace{ipWildcard=200.2.77.0/24}	sat	2171	9382	1396.0	1396.0	1396.0	1.396	1.396	1.396	166.0	GigabitEthernet0/0	3060.0	7171.0
peerstttcroix13	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	1973	7934	1432.0	1432.0	1432.0	1.431	1.431	1.431	152.0	GigabitEthernet0/0	3060.0	7171.0
guyana	peernodeid316	IpWildcardIpSpace{ipWildcard=200.2.40.0/24}	sat	1728	7011	1126.0	1126.0	1126.0	1.125	1.125	1.125	143.0	GigabitEthernet0/0	3060.0	7171.0
martinique	nodeid50	IpWildcardIpSpace{ipWildcard=200.2.101.0/24}	sat	1319	6530	1045.0	1045.0	1045.0	1.045	1.045	1.045	149.0	GigabitEthernet0/0	3060.0	7171.0
venezuela	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	1973	7934	1351.0	1351.0	1351.0	1.351	1.351	1.351	166.0	GigabitEthernet0/0	3060.0	7171.0
nodeid44	nodeid8	IpWildcardIpSpace{ipWildcard=200.2.65.0/24}	sat	1327	7171	910.0	910.0	910.0	0.91	0.91	0.91	146.0	GigabitEthernet0/0	3060.0	7171.0
