srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
stttkittstt&ttnevis	nodeid32	IpWildcardIpSpace{ipWildcard=200.2.85.0/24}	sat	5	111	246.0	246.0	246.0	0.246	0.246	0.246	202.0	GigabitEthernet0/0	3344.0	7610.0
nodeid7	peernodeid12	IpWildcardIpSpace{ipWildcard=200.2.92.0/24}	sat	121	1883	443.0	443.0	443.0	0.442	0.442	0.442	169.0	GigabitEthernet0/0	3344.0	7610.0
dominica	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	3	105	369.0	369.0	369.0	0.368	0.368	0.368	182.0	GigabitEthernet0/0	3344.0	7610.0
nodeid69	peerdominicanttrepublic1	IpWildcardIpSpace{ipWildcard=200.2.73.0/24}	sat	105	1512	491.0	491.0	491.0	0.49	0.49	0.49	171.0	GigabitEthernet0/0	3344.0	7610.0
peerstttcroix13	guatemala	IpWildcardIpSpace{ipWildcard=200.2.25.0/24}	sat	13	328	262.0	262.0	262.0	0.261	0.261	0.261	175.0	GigabitEthernet0/0	3344.0	7610.0
turksttandttcaicos	bahamas	IpWildcardIpSpace{ipWildcard=200.2.96.0/24}	sat	8	128	244.0	244.0	244.0	0.244	0.244	0.244	205.0	GigabitEthernet0/0	3344.0	7610.0
peerpanama12	nodeid9	IpWildcardIpSpace{ipWildcard=200.2.69.0/24}	sat	5	142	234.0	234.0	234.0	0.233	0.233	0.233	165.0	GigabitEthernet0/0	3344.0	7610.0
peernodeid316	nodeid58	IpWildcardIpSpace{ipWildcard=200.2.38.0/24}	sat	18	280	257.0	257.0	257.0	0.257	0.257	0.257	162.0	GigabitEthernet0/0	3344.0	7610.0
peerstttvincent15	stttvincent	IpWildcardIpSpace{ipWildcard=200.2.103.0/24}	sat	9	161	251.0	251.0	251.0	0.25	0.25	0.25	162.0	GigabitEthernet0/0	3344.0	7610.0
peernodeid448	nodeid31	IpWildcardIpSpace{ipWildcard=200.2.77.0/24}	sat	26	362	271.0	271.0	271.0	0.27	0.27	0.27	176.0	GigabitEthernet0/0	3344.0	7610.0
peerstttcroix13	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	3	105	236.0	236.0	236.0	0.235	0.235	0.235	175.0	GigabitEthernet0/0	3344.0	7610.0
