srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
stttkittstt&ttnevis	nodeid32	IpWildcardIpSpace{ipWildcard=200.2.85.0/24}	sat	4308	19719	3432.0	3432.0	3432.0	3.431	3.431	3.431	190.0	GigabitEthernet0/0	3344.0	7610.0
nodeid7	peernodeid12	IpWildcardIpSpace{ipWildcard=200.2.92.0/24}	sat	2736	13811	1826.0	1826.0	1826.0	1.825	1.825	1.825	167.0	GigabitEthernet0/0	3344.0	7610.0
dominica	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	4537	18560	3180.0	3180.0	3180.0	3.18	3.18	3.18	171.0	GigabitEthernet0/0	3344.0	7610.0
nodeid69	peerdominicanttrepublic1	IpWildcardIpSpace{ipWildcard=200.2.73.0/24}	sat	2949	13013	2245.0	2245.0	2245.0	2.243	2.243	2.243	166.0	GigabitEthernet0/0	3344.0	7610.0
peerstttcroix13	guatemala	IpWildcardIpSpace{ipWildcard=200.2.25.0/24}	sat	6443	19999	4627.0	4627.0	4627.0	4.627	4.627	4.627	177.0	GigabitEthernet0/0	3344.0	7610.0
turksttandttcaicos	bahamas	IpWildcardIpSpace{ipWildcard=200.2.96.0/24}	sat	4346	16170	3388.0	3388.0	3388.0	3.387	3.387	3.387	194.0	GigabitEthernet0/0	3344.0	7610.0
peerpanama12	nodeid9	IpWildcardIpSpace{ipWildcard=200.2.69.0/24}	sat	3252	15605	2267.0	2267.0	2267.0	2.266	2.266	2.266	163.0	GigabitEthernet0/0	3344.0	7610.0
peernodeid316	nodeid58	IpWildcardIpSpace{ipWildcard=200.2.38.0/24}	sat	5090	19627	3773.0	3773.0	3773.0	3.772	3.772	3.772	167.0	GigabitEthernet0/0	3344.0	7610.0
peerstttvincent15	stttvincent	IpWildcardIpSpace{ipWildcard=200.2.103.0/24}	sat	2031	12666	1521.0	1521.0	1521.0	1.52	1.52	1.52	164.0	GigabitEthernet0/0	3344.0	7610.0
peernodeid448	nodeid31	IpWildcardIpSpace{ipWildcard=200.2.77.0/24}	sat	3849	18552	3091.0	3091.0	3091.0	3.091	3.091	3.091	176.0	GigabitEthernet0/0	3344.0	7610.0
peerstttcroix13	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	3602	15261	2730.0	2730.0	2730.0	2.73	2.73	2.73	167.0	GigabitEthernet0/0	3344.0	7610.0
guyana	peernodeid316	IpWildcardIpSpace{ipWildcard=200.2.40.0/24}	sat	4453	16934	3347.0	3347.0	3347.0	3.346	3.346	3.346	168.0	GigabitEthernet0/0	3344.0	7610.0
martinique	nodeid50	IpWildcardIpSpace{ipWildcard=200.2.101.0/24}	sat	2654	12998	1712.0	1712.0	1712.0	1.711	1.711	1.711	151.0	GigabitEthernet0/0	3344.0	7610.0
venezuela	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	3528	15714	2312.0	2312.0	2312.0	2.312	2.312	2.312	147.0	GigabitEthernet0/0	3344.0	7610.0
nodeid44	nodeid8	IpWildcardIpSpace{ipWildcard=200.2.65.0/24}	sat	5164	17965	4013.0	4013.0	4013.0	4.012	4.012	4.012	154.0	GigabitEthernet0/0	3344.0	7610.0
turksttandttcaicos	peerstttvincent15	IpWildcardIpSpace{ipWildcard=200.2.106.0/24}	sat	2661	11690	1773.0	1773.0	1773.0	1.772	1.772	1.772	153.0	GigabitEthernet0/0	3344.0	7610.0
