srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
stttkittstt&ttnevis	nodeid32	IpWildcardIpSpace{ipWildcard=200.2.85.0/24}	unsat	1472	5270	1583.0	1583.0	1583.0	1.582	1.582	1.582	172.0	GigabitEthernet0/0	3232.0	7532.0
nodeid7	peernodeid12	IpWildcardIpSpace{ipWildcard=200.2.92.0/24}	unsat	1357	7004	1669.0	1669.0	1669.0	1.668	1.668	1.668	160.0	GigabitEthernet0/0	3232.0	7532.0
dominica	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	unsat	1387	5969	1462.0	1462.0	1462.0	1.462	1.462	1.462	172.0	GigabitEthernet0/0	3232.0	7532.0
nodeid69	peerdominicanttrepublic1	IpWildcardIpSpace{ipWildcard=200.2.73.0/24}	unsat	1422	5828	1705.0	1705.0	1705.0	1.704	1.704	1.704	158.0	GigabitEthernet0/0	3232.0	7532.0
peerstttcroix13	guatemala	IpWildcardIpSpace{ipWildcard=200.2.25.0/24}	unsat	1467	3767	1382.0	1382.0	1382.0	1.381	1.381	1.381	171.0	GigabitEthernet0/0	3232.0	7532.0
turksttandttcaicos	bahamas	IpWildcardIpSpace{ipWildcard=200.2.96.0/24}	unsat	1670	5920	1504.0	1504.0	1504.0	1.503	1.503	1.503	192.0	GigabitEthernet0/0	3232.0	7532.0
peerpanama12	nodeid9	IpWildcardIpSpace{ipWildcard=200.2.69.0/24}	unsat	1162	4708	1561.0	1561.0	1561.0	1.56	1.56	1.56	167.0	GigabitEthernet0/0	3232.0	7532.0
peernodeid316	nodeid58	IpWildcardIpSpace{ipWildcard=200.2.38.0/24}	unsat	1391	6068	1770.0	1770.0	1770.0	1.769	1.769	1.769	171.0	GigabitEthernet0/0	3232.0	7532.0
peerstttvincent15	stttvincent	IpWildcardIpSpace{ipWildcard=200.2.103.0/24}	unsat	1166	5626	1274.0	1274.0	1274.0	1.273	1.273	1.273	168.0	GigabitEthernet0/0	3232.0	7532.0
peernodeid448	nodeid31	IpWildcardIpSpace{ipWildcard=200.2.77.0/24}	unsat	1603	5334	1455.0	1455.0	1455.0	1.453	1.453	1.453	165.0	GigabitEthernet0/0	3232.0	7532.0
peerstttcroix13	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	unsat	1639	6664	1815.0	1815.0	1815.0	1.815	1.815	1.815	167.0	GigabitEthernet0/0	3232.0	7532.0
guyana	peernodeid316	IpWildcardIpSpace{ipWildcard=200.2.40.0/24}	unsat	1649	5824	1482.0	1482.0	1482.0	1.481	1.481	1.481	145.0	GigabitEthernet0/0	3232.0	7532.0
martinique	nodeid50	IpWildcardIpSpace{ipWildcard=200.2.101.0/24}	unsat	936	4483	924.0	924.0	924.0	0.923	0.923	0.923	151.0	GigabitEthernet0/0	3232.0	7532.0
venezuela	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	unsat	1601	6420	1702.0	1702.0	1702.0	1.702	1.702	1.702	146.0	GigabitEthernet0/0	3232.0	7532.0
nodeid44	nodeid8	IpWildcardIpSpace{ipWildcard=200.2.65.0/24}	unsat	1483	4185	1089.0	1089.0	1089.0	1.089	1.089	1.089	147.0	GigabitEthernet0/0	3232.0	7532.0
turksttandttcaicos	peerstttvincent15	IpWildcardIpSpace{ipWildcard=200.2.106.0/24}	unsat	1428	5878	1613.0	1613.0	1613.0	1.612	1.612	1.612	147.0	GigabitEthernet0/0	3232.0	7532.0
suriname	nodeid44	IpWildcardIpSpace{ipWildcard=200.2.100.0/24}	unsat	1615	5536	1333.0	1333.0	1333.0	1.332	1.332	1.332	159.0	GigabitEthernet0/0	3232.0	7532.0
nodeid59	guyana	IpWildcardIpSpace{ipWildcard=200.2.66.0/24}	unsat	1634	5224	1562.0	1562.0	1562.0	1.561	1.561	1.561	150.0	GigabitEthernet0/0	3232.0	7532.0
nodeid35	nodeid27	IpWildcardIpSpace{ipWildcard=200.2.81.0/24}	unsat	1518	8233	1783.0	1783.0	1783.0	1.782	1.782	1.782	157.0	GigabitEthernet0/0	3232.0	7532.0
nodeid24	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	unsat	1405	5622	1444.0	1444.0	1444.0	1.444	1.444	1.444	164.0	GigabitEthernet0/0	3232.0	7532.0
stttvincent	martinique	IpWildcardIpSpace{ipWildcard=200.2.78.0/24}	unsat	1394	4515	1354.0	1354.0	1354.0	1.354	1.354	1.354	147.0	GigabitEthernet0/0	3232.0	7532.0
nodeid44	nodeid7	IpWildcardIpSpace{ipWildcard=200.2.52.0/24}	unsat	1575	7056	1577.0	1577.0	1577.0	1.576	1.576	1.576	154.0	GigabitEthernet0/0	3232.0	7532.0
stttkittstt&ttnevis	peerstttmartin14	IpWildcardIpSpace{ipWildcard=200.2.70.0/24}	unsat	1124	4779	1059.0	1059.0	1059.0	1.059	1.059	1.059	146.0	GigabitEthernet0/0	3232.0	7532.0
stttcroix	mexico	IpWildcardIpSpace{ipWildcard=200.2.107.0/24}	unsat	1908	4756	1663.0	1663.0	1663.0	1.662	1.662	1.662	149.0	GigabitEthernet0/0	3232.0	7532.0
nodeid26	nodeid29	IpWildcardIpSpace{ipWildcard=200.2.50.0/24}	unsat	1539	5663	1606.0	1606.0	1606.0	1.605	1.605	1.605	150.0	GigabitEthernet0/0	3232.0	7532.0
curacao	nodeid50	IpWildcardIpSpace{ipWildcard=200.2.101.0/24}	unsat	1249	5241	1316.0	1316.0	1316.0	1.314	1.314	1.314	172.0	GigabitEthernet0/0	3232.0	7532.0
nodeid37	peerdominicanttrepublic1	IpWildcardIpSpace{ipWildcard=200.2.73.0/24}	unsat	1296	5474	1395.0	1395.0	1395.0	1.394	1.394	1.394	144.0	GigabitEthernet0/0	3232.0	7532.0
peercuracao0	nodeid63	IpWildcardIpSpace{ipWildcard=200.2.28.0/24}	unsat	1322	3690	1102.0	1102.0	1102.0	1.102	1.102	1.102	145.0	GigabitEthernet0/0	3232.0	7532.0
