srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
stttkittstt&ttnevis	nodeid32	IpWildcardIpSpace{ipWildcard=200.2.85.0/24}	sat	0	105	235.0	235.0	235.0	0.234	0.234	0.234	176.0	GigabitEthernet0/0	3344.0	7610.0
nodeid7	peernodeid12	IpWildcardIpSpace{ipWildcard=200.2.92.0/24}	sat	0	105	223.0	223.0	223.0	0.222	0.222	0.222	196.0	GigabitEthernet0/0	3344.0	7610.0
dominica	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	0	105	225.0	225.0	225.0	0.224	0.224	0.224	179.0	GigabitEthernet0/0	3344.0	7610.0
nodeid69	peerdominicanttrepublic1	IpWildcardIpSpace{ipWildcard=200.2.73.0/24}	sat	0	105	238.0	238.0	238.0	0.238	0.238	0.238	163.0	GigabitEthernet0/0	3344.0	7610.0
peerstttcroix13	guatemala	IpWildcardIpSpace{ipWildcard=200.2.25.0/24}	sat	0	105	230.0	230.0	230.0	0.229	0.229	0.229	182.0	GigabitEthernet0/0	3344.0	7610.0
turksttandttcaicos	bahamas	IpWildcardIpSpace{ipWildcard=200.2.96.0/24}	sat	0	105	228.0	228.0	228.0	0.227	0.227	0.227	203.0	GigabitEthernet0/0	3344.0	7610.0
peerpanama12	nodeid9	IpWildcardIpSpace{ipWildcard=200.2.69.0/24}	sat	0	12	221.0	221.0	221.0	0.22	0.22	0.22	172.0	GigabitEthernet0/0	3344.0	7610.0
peernodeid316	nodeid58	IpWildcardIpSpace{ipWildcard=200.2.38.0/24}	sat	0	105	223.0	223.0	223.0	0.223	0.223	0.223	162.0	GigabitEthernet0/0	3344.0	7610.0
peerstttvincent15	stttvincent	IpWildcardIpSpace{ipWildcard=200.2.103.0/24}	sat	0	9	224.0	224.0	224.0	0.223	0.223	0.223	166.0	GigabitEthernet0/0	3344.0	7610.0
peernodeid448	nodeid31	IpWildcardIpSpace{ipWildcard=200.2.77.0/24}	sat	1537	6218	1931.0	1931.0	1931.0	1.93	1.93	1.93	163.0	GigabitEthernet0/0	3344.0	7610.0
peerstttcroix13	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	0	105	224.0	224.0	224.0	0.224	0.224	0.224	152.0	GigabitEthernet0/0	3344.0	7610.0
guyana	peernodeid316	IpWildcardIpSpace{ipWildcard=200.2.40.0/24}	sat	0	105	223.0	223.0	223.0	0.222	0.222	0.222	149.0	GigabitEthernet0/0	3344.0	7610.0
martinique	nodeid50	IpWildcardIpSpace{ipWildcard=200.2.101.0/24}	sat	0	12	225.0	225.0	225.0	0.224	0.224	0.224	153.0	GigabitEthernet0/0	3344.0	7610.0
venezuela	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	0	105	223.0	223.0	223.0	0.222	0.222	0.222	150.0	GigabitEthernet0/0	3344.0	7610.0
nodeid44	nodeid8	IpWildcardIpSpace{ipWildcard=200.2.65.0/24}	sat	0	10	222.0	222.0	222.0	0.222	0.222	0.222	149.0	GigabitEthernet0/0	3344.0	7610.0
turksttandttcaicos	peerstttvincent15	IpWildcardIpSpace{ipWildcard=200.2.106.0/24}	sat	0	105	224.0	224.0	224.0	0.223	0.223	0.223	150.0	GigabitEthernet0/0	3344.0	7610.0
suriname	nodeid44	IpWildcardIpSpace{ipWildcard=200.2.100.0/24}	sat	4154	14400	3974.0	3974.0	3974.0	3.973	3.973	3.973	163.0	GigabitEthernet0/0	3344.0	7610.0
nodeid59	guyana	IpWildcardIpSpace{ipWildcard=200.2.66.0/24}	sat	0	105	224.0	224.0	224.0	0.224	0.224	0.224	149.0	GigabitEthernet0/0	3344.0	7610.0
nodeid35	nodeid27	IpWildcardIpSpace{ipWildcard=200.2.81.0/24}	sat	0	10	229.0	229.0	229.0	0.228	0.228	0.228	164.0	GigabitEthernet0/0	3344.0	7610.0
nodeid24	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	0	105	229.0	229.0	229.0	0.228	0.228	0.228	159.0	GigabitEthernet0/0	3344.0	7610.0
stttvincent	martinique	IpWildcardIpSpace{ipWildcard=200.2.78.0/24}	sat	0	105	223.0	223.0	223.0	0.223	0.223	0.223	151.0	GigabitEthernet0/0	3344.0	7610.0
