srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
stttkittstt&ttnevis	nodeid32	IpWildcardIpSpace{ipWildcard=200.2.85.0/24}	sat	593	5916	615.0	615.0	615.0	0.614	0.614	0.614	171.0	GigabitEthernet0/0	3344.0	7610.0
nodeid7	peernodeid12	IpWildcardIpSpace{ipWildcard=200.2.92.0/24}	sat	543	6890	475.0	475.0	475.0	0.475	0.475	0.475	154.0	GigabitEthernet0/0	3344.0	7610.0
dominica	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	7529	25346	6192.0	6192.0	6192.0	6.192	6.192	6.192	172.0	GigabitEthernet0/0	3344.0	7610.0
nodeid69	peerdominicanttrepublic1	IpWildcardIpSpace{ipWildcard=200.2.73.0/24}	sat	205	3771	324.0	324.0	324.0	0.323	0.323	0.323	195.0	GigabitEthernet0/0	3344.0	7610.0
peerstttcroix13	guatemala	IpWildcardIpSpace{ipWildcard=200.2.25.0/24}	sat	4844	17060	3761.0	3761.0	3761.0	3.76	3.76	3.76	185.0	GigabitEthernet0/0	3344.0	7610.0
turksttandttcaicos	bahamas	IpWildcardIpSpace{ipWildcard=200.2.96.0/24}	sat	10537	25572	9540.0	9540.0	9540.0	9.539	9.539	9.539	201.0	GigabitEthernet0/0	3344.0	7610.0
peerpanama12	nodeid9	IpWildcardIpSpace{ipWildcard=200.2.69.0/24}	sat	6352	22853	4812.0	4812.0	4812.0	4.811	4.811	4.811	170.0	GigabitEthernet0/0	3344.0	7610.0
peernodeid316	nodeid58	IpWildcardIpSpace{ipWildcard=200.2.38.0/24}	sat	1050	8172	772.0	772.0	772.0	0.771	0.771	0.771	159.0	GigabitEthernet0/0	3344.0	7610.0
peerstttvincent15	stttvincent	IpWildcardIpSpace{ipWildcard=200.2.103.0/24}	sat	11224	26599	8920.0	8920.0	8920.0	8.92	8.92	8.92	161.0	GigabitEthernet0/0	3344.0	7610.0
peernodeid448	nodeid31	IpWildcardIpSpace{ipWildcard=200.2.77.0/24}	sat	4045	18365	2657.0	2657.0	2657.0	2.657	2.657	2.657	181.0	GigabitEthernet0/0	3344.0	7610.0
peerstttcroix13	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	7566	27488	5873.0	5873.0	5873.0	5.872	5.872	5.872	166.0	GigabitEthernet0/0	3344.0	7610.0
guyana	peernodeid316	IpWildcardIpSpace{ipWildcard=200.2.40.0/24}	sat	2577	13587	2049.0	2049.0	2049.0	2.049	2.049	2.049	147.0	GigabitEthernet0/0	3344.0	7610.0
