srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
au	pacwave	IpWildcardIpSpace{ipWildcard=200.0.52.0/24}	sat	109	1122	244.0	244.0	244.0	0.244	0.244	0.244	140.0	GigabitEthernet0/0	2491.0	5872.0
wash	auid66	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	110	1132	246.0	246.0	246.0	0.245	0.245	0.245	156.0	GigabitEthernet0/0	2491.0	5872.0
abilene	sunn	IpWildcardIpSpace{ipWildcard=200.0.66.0/24}	sat	7	86	160.0	160.0	160.0	0.159	0.159	0.159	166.0	GigabitEthernet0/0	2491.0	5872.0
nodeid40	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	1	38	153.0	153.0	153.0	0.152	0.152	0.152	156.0	GigabitEthernet0/0	2491.0	5872.0
ga	geant	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	104	705	223.0	223.0	223.0	0.222	0.222	0.222	148.0	GigabitEthernet0/0	2491.0	5872.0
pacwave	ligo	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	102	1343	264.0	264.0	264.0	0.264	0.264	0.264	126.0	GigabitEthernet0/0	2491.0	5872.0
yuccattmt	doe	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	253	2087	354.0	354.0	354.0	0.353	0.353	0.353	122.0	GigabitEthernet0/0	2491.0	5872.0
pppl	jlab	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	108	1158	245.0	245.0	245.0	0.244	0.244	0.244	126.0	GigabitEthernet0/0	2491.0	5872.0
nnsa	lanl	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	104	1325	259.0	259.0	259.0	0.257	0.257	0.257	122.0	GigabitEthernet0/0	2491.0	5872.0
yuccattmt	bnl	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	106	692	221.0	221.0	221.0	0.22	0.22	0.22	122.0	GigabitEthernet0/0	2491.0	5872.0
au	osti	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	103	1204	230.0	230.0	230.0	0.229	0.229	0.229	124.0	GigabitEthernet0/0	2491.0	5872.0
ligo	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	1	38	150.0	150.0	150.0	0.149	0.149	0.149	123.0	GigabitEthernet0/0	2491.0	5872.0
sinet	sea	IpWildcardIpSpace{ipWildcard=200.0.60.0/24}	sat	5	57	151.0	151.0	151.0	0.15	0.15	0.15	132.0	GigabitEthernet0/0	2491.0	5872.0
inl	ligo	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	102	1343	260.0	260.0	260.0	0.26	0.26	0.26	121.0	GigabitEthernet0/0	2491.0	5872.0
nrel	equinixid53	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	107	1292	245.0	245.0	245.0	0.244	0.244	0.244	120.0	GigabitEthernet0/0	2491.0	5872.0
arm	netl	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	7	63	155.0	155.0	155.0	0.154	0.154	0.154	126.0	GigabitEthernet0/0	2491.0	5872.0
nodeid41	equinix	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	109	924	232.0	232.0	232.0	0.232	0.232	0.232	119.0	GigabitEthernet0/0	2491.0	5872.0
ga	srs	IpWildcardIpSpace{ipWildcard=200.0.64.0/24}	sat	102	664	216.0	216.0	216.0	0.215	0.215	0.215	119.0	GigabitEthernet0/0	2491.0	5872.0
equinix	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	1	38	152.0	152.0	152.0	0.152	0.152	0.152	130.0	GigabitEthernet0/0	2491.0	5872.0
nodeid40	nrel	IpWildcardIpSpace{ipWildcard=200.0.47.0/24}	sat	3	52	159.0	159.0	159.0	0.158	0.158	0.158	127.0	GigabitEthernet0/0	2491.0	5872.0
nodeid43	psfc	IpWildcardIpSpace{ipWildcard=200.0.57.0/24}	sat	110	1278	241.0	241.0	241.0	0.241	0.241	0.241	123.0	GigabitEthernet0/0	2491.0	5872.0
fnal	srs	IpWildcardIpSpace{ipWildcard=200.0.64.0/24}	sat	102	664	221.0	221.0	221.0	0.22	0.22	0.22	125.0	GigabitEthernet0/0	2491.0	5872.0
nodeid43	pacificwave	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	sat	109	878	237.0	237.0	237.0	0.237	0.237	0.237	120.0	GigabitEthernet0/0	2491.0	5872.0
ampath	doedasha	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	3	48	152.0	152.0	152.0	0.152	0.152	0.152	129.0	GigabitEthernet0/0	2491.0	5872.0
lanl	atla	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	sat	2	42	148.0	148.0	148.0	0.147	0.147	0.147	125.0	GigabitEthernet0/0	2491.0	5872.0
nodeid39	nodeid41	IpWildcardIpSpace{ipWildcard=200.0.44.0/24}	sat	1	36	153.0	153.0	153.0	0.152	0.152	0.152	137.0	GigabitEthernet0/0	2491.0	5872.0
sunn	bnl	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	106	692	219.0	219.0	219.0	0.218	0.218	0.218	134.0	GigabitEthernet0/0	2491.0	5872.0
nodeid42	noaa	IpWildcardIpSpace{ipWildcard=200.0.35.0/24}	sat	103	855	241.0	241.0	241.0	0.241	0.241	0.241	118.0	GigabitEthernet0/0	2491.0	5872.0
pacwave	bnl	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	106	692	218.0	218.0	218.0	0.217	0.217	0.217	130.0	GigabitEthernet0/0	2491.0	5872.0
starlight	chidashsl	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	2	37	150.0	150.0	150.0	0.149	0.149	0.149	131.0	GigabitEthernet0/0	2491.0	5872.0
pantex	nodeid21	IpWildcardIpSpace{ipWildcard=200.0.39.0/24}	sat	108	1207	246.0	246.0	246.0	0.245	0.245	0.245	120.0	GigabitEthernet0/0	2491.0	5872.0
chic	equinixid53	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	107	1292	246.0	246.0	246.0	0.245	0.245	0.245	120.0	GigabitEthernet0/0	2491.0	5872.0
sea	nash	IpWildcardIpSpace{ipWildcard=200.0.31.0/24}	sat	4	41	154.0	154.0	154.0	0.154	0.154	0.154	131.0	GigabitEthernet0/0	2491.0	5872.0
