srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
au	pacwave	IpWildcardIpSpace{ipWildcard=200.0.52.0/24}	sat	736	5123	570.0	570.0	570.0	0.569	0.569	0.569	141.0	GigabitEthernet0/0	2491.0	5872.0
wash	auid66	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	1012	5741	636.0	636.0	636.0	0.635	0.635	0.635	146.0	GigabitEthernet0/0	2491.0	5872.0
abilene	sunn	IpWildcardIpSpace{ipWildcard=200.0.66.0/24}	sat	719	3917	503.0	503.0	503.0	0.503	0.503	0.503	160.0	GigabitEthernet0/0	2491.0	5872.0
nodeid40	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	780	4482	464.0	464.0	464.0	0.463	0.463	0.463	147.0	GigabitEthernet0/0	2491.0	5872.0
ga	geant	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	689	4730	484.0	484.0	484.0	0.483	0.483	0.483	143.0	GigabitEthernet0/0	2491.0	5872.0
pacwave	ligo	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	584	2669	398.0	398.0	398.0	0.397	0.397	0.397	128.0	GigabitEthernet0/0	2491.0	5872.0
yuccattmt	doe	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	965	5039	553.0	553.0	553.0	0.552	0.552	0.552	122.0	GigabitEthernet0/0	2491.0	5872.0
pppl	jlab	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	883	4984	578.0	578.0	578.0	0.578	0.578	0.578	125.0	GigabitEthernet0/0	2491.0	5872.0
nnsa	lanl	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	532	3191	364.0	364.0	364.0	0.363	0.363	0.363	120.0	GigabitEthernet0/0	2491.0	5872.0
yuccattmt	bnl	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	976	4965	601.0	601.0	601.0	0.6	0.6	0.6	120.0	GigabitEthernet0/0	2491.0	5872.0
au	osti	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	645	3939	428.0	428.0	428.0	0.427	0.427	0.427	121.0	GigabitEthernet0/0	2491.0	5872.0
ligo	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	780	4482	462.0	462.0	462.0	0.461	0.461	0.461	123.0	GigabitEthernet0/0	2491.0	5872.0
sinet	sea	IpWildcardIpSpace{ipWildcard=200.0.60.0/24}	sat	753	4281	465.0	465.0	465.0	0.464	0.464	0.464	133.0	GigabitEthernet0/0	2491.0	5872.0
inl	ligo	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	584	2669	393.0	393.0	393.0	0.392	0.392	0.392	122.0	GigabitEthernet0/0	2491.0	5872.0
nrel	equinixid53	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	833	4320	564.0	564.0	564.0	0.563	0.563	0.563	121.0	GigabitEthernet0/0	2491.0	5872.0
arm	netl	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	780	3335	474.0	474.0	474.0	0.473	0.473	0.473	127.0	GigabitEthernet0/0	2491.0	5872.0
nodeid41	equinix	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	828	4561	499.0	499.0	499.0	0.498	0.498	0.498	119.0	GigabitEthernet0/0	2491.0	5872.0
ga	srs	IpWildcardIpSpace{ipWildcard=200.0.64.0/24}	sat	888	5003	579.0	579.0	579.0	0.578	0.578	0.578	122.0	GigabitEthernet0/0	2491.0	5872.0
equinix	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	780	4482	462.0	462.0	462.0	0.461	0.461	0.461	125.0	GigabitEthernet0/0	2491.0	5872.0
nodeid40	nrel	IpWildcardIpSpace{ipWildcard=200.0.47.0/24}	sat	391	3057	310.0	310.0	310.0	0.309	0.309	0.309	139.0	GigabitEthernet0/0	2491.0	5872.0
nodeid43	psfc	IpWildcardIpSpace{ipWildcard=200.0.57.0/24}	sat	876	4941	534.0	534.0	534.0	0.533	0.533	0.533	138.0	GigabitEthernet0/0	2491.0	5872.0
fnal	srs	IpWildcardIpSpace{ipWildcard=200.0.64.0/24}	sat	888	5003	591.0	591.0	591.0	0.591	0.591	0.591	121.0	GigabitEthernet0/0	2491.0	5872.0
nodeid43	pacificwave	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	sat	762	4243	529.0	529.0	529.0	0.528	0.528	0.528	120.0	GigabitEthernet0/0	2491.0	5872.0
ampath	doedasha	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	650	3953	424.0	424.0	424.0	0.424	0.424	0.424	127.0	GigabitEthernet0/0	2491.0	5872.0
lanl	atla	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	sat	646	4228	467.0	467.0	467.0	0.467	0.467	0.467	129.0	GigabitEthernet0/0	2491.0	5872.0
nodeid39	nodeid41	IpWildcardIpSpace{ipWildcard=200.0.44.0/24}	sat	756	4179	518.0	518.0	518.0	0.518	0.518	0.518	140.0	GigabitEthernet0/0	2491.0	5872.0
sunn	bnl	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	976	4965	595.0	595.0	595.0	0.594	0.594	0.594	134.0	GigabitEthernet0/0	2491.0	5872.0
nodeid42	noaa	IpWildcardIpSpace{ipWildcard=200.0.35.0/24}	sat	763	4984	527.0	527.0	527.0	0.527	0.527	0.527	123.0	GigabitEthernet0/0	2491.0	5872.0
pacwave	bnl	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	976	4965	592.0	592.0	592.0	0.592	0.592	0.592	137.0	GigabitEthernet0/0	2491.0	5872.0
starlight	chidashsl	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	770	4322	495.0	495.0	495.0	0.495	0.495	0.495	132.0	GigabitEthernet0/0	2491.0	5872.0
pantex	nodeid21	IpWildcardIpSpace{ipWildcard=200.0.39.0/24}	sat	790	3801	482.0	482.0	482.0	0.481	0.481	0.481	123.0	GigabitEthernet0/0	2491.0	5872.0
chic	equinixid53	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	833	4320	559.0	559.0	559.0	0.558	0.558	0.558	119.0	GigabitEthernet0/0	2491.0	5872.0
sea	nash	IpWildcardIpSpace{ipWildcard=200.0.31.0/24}	sat	743	3185	483.0	483.0	483.0	0.482	0.482	0.482	132.0	GigabitEthernet0/0	2491.0	5872.0
chic	equinix	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	828	4561	501.0	501.0	501.0	0.501	0.501	0.501	127.0	GigabitEthernet0/0	2491.0	5872.0
peernrel0	sdsc	IpWildcardIpSpace{ipWildcard=200.0.59.0/24}	sat	577	3752	425.0	425.0	425.0	0.424	0.424	0.424	126.0	GigabitEthernet0/0	2491.0	5872.0
nash	pppl	IpWildcardIpSpace{ipWildcard=200.0.56.0/24}	sat	842	5404	562.0	562.0	562.0	0.561	0.561	0.561	122.0	GigabitEthernet0/0	2491.0	5872.0
geant	snla	IpWildcardIpSpace{ipWildcard=200.0.62.0/24}	sat	734	3309	453.0	453.0	453.0	0.452	0.452	0.452	125.0	GigabitEthernet0/0	2491.0	5872.0
nodeid38	sunn	IpWildcardIpSpace{ipWildcard=200.0.66.0/24}	sat	719	3917	504.0	504.0	504.0	0.504	0.504	0.504	136.0	GigabitEthernet0/0	2491.0	5872.0
chic	psfc	IpWildcardIpSpace{ipWildcard=200.0.57.0/24}	sat	876	4941	524.0	524.0	524.0	0.524	0.524	0.524	120.0	GigabitEthernet0/0	2491.0	5872.0
orau	nodeid25	IpWildcardIpSpace{ipWildcard=200.0.40.0/24}	sat	822	4581	553.0	553.0	553.0	0.552	0.552	0.552	119.0	GigabitEthernet0/0	2491.0	5872.0
albu	netl	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	780	3335	469.0	469.0	469.0	0.469	0.469	0.469	121.0	GigabitEthernet0/0	2491.0	5872.0
arm	bechteldashnv	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	713	4232	518.0	518.0	518.0	0.517	0.517	0.517	116.0	GigabitEthernet0/0	2491.0	5872.0
orau	inl	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	721	4652	508.0	508.0	508.0	0.507	0.507	0.507	118.0	GigabitEthernet0/0	2491.0	5872.0
ga	nodeid43	IpWildcardIpSpace{ipWildcard=200.0.46.0/24}	sat	612	3787	411.0	411.0	411.0	0.411	0.411	0.411	120.0	GigabitEthernet0/0	2491.0	5872.0
chidashsl	alliedttsignal	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	1033	5104	658.0	658.0	658.0	0.658	0.658	0.658	120.0	GigabitEthernet0/0	2491.0	5872.0
peernrel0	nodeid40	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	731	3818	470.0	470.0	470.0	0.469	0.469	0.469	123.0	GigabitEthernet0/0	2491.0	5872.0
pppl	pantex	IpWildcardIpSpace{ipWildcard=200.0.53.0/24}	sat	742	4203	474.0	474.0	474.0	0.474	0.474	0.474	121.0	GigabitEthernet0/0	2491.0	5872.0
sinet	fnal	IpWildcardIpSpace{ipWildcard=200.0.22.0/24}	sat	697	4040	496.0	496.0	496.0	0.495	0.495	0.495	122.0	GigabitEthernet0/0	2491.0	5872.0
inl	pacificwave	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	sat	762	4243	529.0	529.0	529.0	0.529	0.529	0.529	121.0	GigabitEthernet0/0	2491.0	5872.0
newy	sinet	IpWildcardIpSpace{ipWildcard=200.0.61.0/24}	sat	995	5471	674.0	674.0	674.0	0.674	0.674	0.674	120.0	GigabitEthernet0/0	2491.0	5872.0
