srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
au	pacwave	IpWildcardIpSpace{ipWildcard=200.0.52.0/24}	sat	104	1175	271.0	271.0	271.0	0.27	0.27	0.27	142.0	GigabitEthernet0/0	2629.0	6150.0
wash	auid66	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	103	1409	278.0	278.0	278.0	0.277	0.277	0.277	140.0	GigabitEthernet0/0	2629.0	6150.0
abilene	sunn	IpWildcardIpSpace{ipWildcard=200.0.66.0/24}	sat	7	102	171.0	171.0	171.0	0.171	0.171	0.171	159.0	GigabitEthernet0/0	2629.0	6150.0
nodeid40	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	2	64	167.0	167.0	167.0	0.166	0.166	0.166	207.0	GigabitEthernet0/0	2629.0	6150.0
ga	geant	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	108	1256	246.0	246.0	246.0	0.245	0.245	0.245	143.0	GigabitEthernet0/0	2629.0	6150.0
pacwave	ligo	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	105	1162	280.0	280.0	280.0	0.279	0.279	0.279	146.0	GigabitEthernet0/0	2629.0	6150.0
yuccattmt	doe	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	436	2373	418.0	418.0	418.0	0.418	0.418	0.418	126.0	GigabitEthernet0/0	2629.0	6150.0
pppl	jlab	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	480	2082	399.0	399.0	399.0	0.398	0.398	0.398	120.0	GigabitEthernet0/0	2629.0	6150.0
nnsa	lanl	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	110	1157	282.0	282.0	282.0	0.281	0.281	0.281	124.0	GigabitEthernet0/0	2629.0	6150.0
yuccattmt	bnl	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	109	1255	240.0	240.0	240.0	0.24	0.24	0.24	124.0	GigabitEthernet0/0	2629.0	6150.0
au	osti	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	106	1382	265.0	265.0	265.0	0.265	0.265	0.265	121.0	GigabitEthernet0/0	2629.0	6150.0
ligo	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	2	63	164.0	164.0	164.0	0.164	0.164	0.164	124.0	GigabitEthernet0/0	2629.0	6150.0
sinet	sea	IpWildcardIpSpace{ipWildcard=200.0.60.0/24}	sat	6	74	166.0	166.0	166.0	0.165	0.165	0.165	130.0	GigabitEthernet0/0	2629.0	6150.0
inl	ligo	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	105	1184	259.0	259.0	259.0	0.259	0.259	0.259	121.0	GigabitEthernet0/0	2629.0	6150.0
nrel	equinixid53	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	470	2200	392.0	392.0	392.0	0.391	0.391	0.391	119.0	GigabitEthernet0/0	2629.0	6150.0
arm	netl	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	9	130	172.0	172.0	172.0	0.171	0.171	0.171	128.0	GigabitEthernet0/0	2629.0	6150.0
nodeid41	equinix	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	115	1193	268.0	268.0	268.0	0.267	0.267	0.267	120.0	GigabitEthernet0/0	2629.0	6150.0
ga	srs	IpWildcardIpSpace{ipWildcard=200.0.64.0/24}	sat	103	698	256.0	256.0	256.0	0.255	0.255	0.255	120.0	GigabitEthernet0/0	2629.0	6150.0
equinix	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	1	56	163.0	163.0	163.0	0.162	0.162	0.162	123.0	GigabitEthernet0/0	2629.0	6150.0
nodeid40	nrel	IpWildcardIpSpace{ipWildcard=200.0.47.0/24}	sat	3	83	168.0	168.0	168.0	0.167	0.167	0.167	122.0	GigabitEthernet0/0	2629.0	6150.0
nodeid43	psfc	IpWildcardIpSpace{ipWildcard=200.0.57.0/24}	sat	362	2089	344.0	344.0	344.0	0.343	0.343	0.343	138.0	GigabitEthernet0/0	2629.0	6150.0
fnal	srs	IpWildcardIpSpace{ipWildcard=200.0.64.0/24}	sat	103	703	244.0	244.0	244.0	0.243	0.243	0.243	123.0	GigabitEthernet0/0	2629.0	6150.0
nodeid43	pacificwave	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	sat	106	1130	236.0	236.0	236.0	0.236	0.236	0.236	123.0	GigabitEthernet0/0	2629.0	6150.0
ampath	doedasha	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	5	89	170.0	170.0	170.0	0.169	0.169	0.169	124.0	GigabitEthernet0/0	2629.0	6150.0
lanl	atla	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	sat	2	63	163.0	163.0	163.0	0.162	0.162	0.162	128.0	GigabitEthernet0/0	2629.0	6150.0
nodeid39	nodeid41	IpWildcardIpSpace{ipWildcard=200.0.44.0/24}	sat	2	57	166.0	166.0	166.0	0.165	0.165	0.165	123.0	GigabitEthernet0/0	2629.0	6150.0
sunn	bnl	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	334	2034	343.0	343.0	343.0	0.342	0.342	0.342	132.0	GigabitEthernet0/0	2629.0	6150.0
nodeid42	noaa	IpWildcardIpSpace{ipWildcard=200.0.35.0/24}	sat	105	1246	253.0	253.0	253.0	0.253	0.253	0.253	130.0	GigabitEthernet0/0	2629.0	6150.0
pacwave	bnl	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	104	1299	239.0	239.0	239.0	0.238	0.238	0.238	122.0	GigabitEthernet0/0	2629.0	6150.0
starlight	chidashsl	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	3	51	165.0	165.0	165.0	0.164	0.164	0.164	138.0	GigabitEthernet0/0	2629.0	6150.0
pantex	nodeid21	IpWildcardIpSpace{ipWildcard=200.0.39.0/24}	sat	489	2317	407.0	407.0	407.0	0.406	0.406	0.406	126.0	GigabitEthernet0/0	2629.0	6150.0
