srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
au	pacwave	IpWildcardIpSpace{ipWildcard=200.0.52.0/24}	sat	109	2275	290.0	290.0	290.0	0.29	0.29	0.29	125.0	GigabitEthernet0/0	2629.0	6001.0
wash	auid66	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	106	1435	297.0	297.0	297.0	0.297	0.297	0.297	142.0	GigabitEthernet0/0	2629.0	6001.0
abilene	sunn	IpWildcardIpSpace{ipWildcard=200.0.66.0/24}	sat	6	142	174.0	174.0	174.0	0.174	0.174	0.174	167.0	GigabitEthernet0/0	2629.0	6001.0
nodeid40	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	17	355	177.0	177.0	177.0	0.177	0.177	0.177	143.0	GigabitEthernet0/0	2629.0	6001.0
ga	geant	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	256	2303	335.0	335.0	335.0	0.334	0.334	0.334	142.0	GigabitEthernet0/0	2629.0	6001.0
pacwave	ligo	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	104	1840	287.0	287.0	287.0	0.287	0.287	0.287	130.0	GigabitEthernet0/0	2629.0	6001.0
yuccattmt	doe	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	2083	8589	1006.0	1006.0	1006.0	1.005	1.005	1.005	122.0	GigabitEthernet0/0	2629.0	6001.0
pppl	jlab	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	1323	5085	694.0	694.0	694.0	0.693	0.693	0.693	124.0	GigabitEthernet0/0	2629.0	6001.0
nnsa	lanl	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	142	1699	296.0	296.0	296.0	0.295	0.295	0.295	125.0	GigabitEthernet0/0	2629.0	6001.0
yuccattmt	bnl	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	2081	8079	1052.0	1052.0	1052.0	1.052	1.052	1.052	123.0	GigabitEthernet0/0	2629.0	6001.0
au	osti	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	104	1057	236.0	236.0	236.0	0.236	0.236	0.236	120.0	GigabitEthernet0/0	2629.0	6001.0
ligo	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	17	354	175.0	175.0	175.0	0.174	0.174	0.174	123.0	GigabitEthernet0/0	2629.0	6001.0
sinet	sea	IpWildcardIpSpace{ipWildcard=200.0.60.0/24}	sat	6	133	171.0	171.0	171.0	0.17	0.17	0.17	130.0	GigabitEthernet0/0	2629.0	6001.0
inl	ligo	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	105	1897	283.0	283.0	283.0	0.283	0.283	0.283	124.0	GigabitEthernet0/0	2629.0	6001.0
nrel	equinixid53	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	479	3801	424.0	424.0	424.0	0.423	0.423	0.423	122.0	GigabitEthernet0/0	2629.0	6001.0
arm	netl	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	20	227	178.0	178.0	178.0	0.178	0.178	0.178	125.0	GigabitEthernet0/0	2629.0	6001.0
nodeid41	equinix	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	119	2042	257.0	257.0	257.0	0.256	0.256	0.256	127.0	GigabitEthernet0/0	2629.0	6001.0
ga	srs	IpWildcardIpSpace{ipWildcard=200.0.64.0/24}	sat	101	991	259.0	259.0	259.0	0.259	0.259	0.259	119.0	GigabitEthernet0/0	2629.0	6001.0
equinix	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	18	349	176.0	176.0	176.0	0.175	0.175	0.175	124.0	GigabitEthernet0/0	2629.0	6001.0
nodeid40	nrel	IpWildcardIpSpace{ipWildcard=200.0.47.0/24}	sat	30	255	184.0	184.0	184.0	0.184	0.184	0.184	122.0	GigabitEthernet0/0	2629.0	6001.0
