srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
au	pacwave	IpWildcardIpSpace{ipWildcard=200.0.52.0/24}	sat	653	4026	465.0	465.0	465.0	0.464	0.464	0.464	144.0	GigabitEthernet0/0	2629.0	6150.0
wash	auid66	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	742	3579	533.0	533.0	533.0	0.532	0.532	0.532	139.0	GigabitEthernet0/0	2629.0	6150.0
abilene	sunn	IpWildcardIpSpace{ipWildcard=200.0.66.0/24}	sat	1048	4763	667.0	667.0	667.0	0.666	0.666	0.666	165.0	GigabitEthernet0/0	2629.0	6150.0
nodeid40	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	620	2925	415.0	415.0	415.0	0.414	0.414	0.414	143.0	GigabitEthernet0/0	2629.0	6150.0
ga	geant	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	859	4232	558.0	558.0	558.0	0.558	0.558	0.558	145.0	GigabitEthernet0/0	2629.0	6150.0
pacwave	ligo	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	749	4279	481.0	481.0	481.0	0.48	0.48	0.48	125.0	GigabitEthernet0/0	2629.0	6150.0
yuccattmt	doe	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	652	3984	485.0	485.0	485.0	0.484	0.484	0.484	126.0	GigabitEthernet0/0	2629.0	6150.0
pppl	jlab	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	680	3702	508.0	508.0	508.0	0.508	0.508	0.508	121.0	GigabitEthernet0/0	2629.0	6150.0
nnsa	lanl	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	653	4491	468.0	468.0	468.0	0.466	0.466	0.466	125.0	GigabitEthernet0/0	2629.0	6150.0
yuccattmt	bnl	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	1005	4126	614.0	614.0	614.0	0.614	0.614	0.614	120.0	GigabitEthernet0/0	2629.0	6150.0
