srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
au	pacwave	IpWildcardIpSpace{ipWildcard=200.0.52.0/24}	unsat	604	3824	538.0	538.0	538.0	0.537	0.537	0.537	124.0	GigabitEthernet0/0	2629.0	6150.0
wash	auid66	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	638	3339	531.0	531.0	531.0	0.53	0.53	0.53	140.0	GigabitEthernet0/0	2629.0	6150.0
abilene	sunn	IpWildcardIpSpace{ipWildcard=200.0.66.0/24}	unsat	519	2998	439.0	439.0	439.0	0.438	0.438	0.438	160.0	GigabitEthernet0/0	2629.0	6150.0
nodeid40	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	566	3457	528.0	528.0	528.0	0.527	0.527	0.527	141.0	GigabitEthernet0/0	2629.0	6150.0
ga	geant	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	unsat	738	2823	611.0	611.0	611.0	0.61	0.61	0.61	144.0	GigabitEthernet0/0	2629.0	6150.0
pacwave	ligo	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	unsat	383	2689	438.0	438.0	438.0	0.438	0.438	0.438	126.0	GigabitEthernet0/0	2629.0	6150.0
yuccattmt	doe	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	581	2620	480.0	480.0	480.0	0.479	0.479	0.479	121.0	GigabitEthernet0/0	2629.0	6150.0
pppl	jlab	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	unsat	394	2804	399.0	399.0	399.0	0.399	0.399	0.399	129.0	GigabitEthernet0/0	2629.0	6150.0
nnsa	lanl	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	593	3420	529.0	529.0	529.0	0.529	0.529	0.529	120.0	GigabitEthernet0/0	2629.0	6150.0
yuccattmt	bnl	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	unsat	615	2606	578.0	578.0	578.0	0.577	0.577	0.577	122.0	GigabitEthernet0/0	2629.0	6150.0
au	osti	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	unsat	541	2661	467.0	467.0	467.0	0.466	0.466	0.466	122.0	GigabitEthernet0/0	2629.0	6150.0
