srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
au	pacwave	IpWildcardIpSpace{ipWildcard=200.0.52.0/24}	sat	0	84	167.0	167.0	167.0	0.166	0.166	0.166	139.0	GigabitEthernet0/0	2629.0	6001.0
wash	auid66	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	0	85	170.0	170.0	170.0	0.169	0.169	0.169	140.0	GigabitEthernet0/0	2629.0	6001.0
abilene	sunn	IpWildcardIpSpace{ipWildcard=200.0.66.0/24}	sat	185	1938	344.0	344.0	344.0	0.343	0.343	0.343	163.0	GigabitEthernet0/0	2629.0	6001.0
nodeid40	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	0	16	165.0	165.0	165.0	0.165	0.165	0.165	151.0	GigabitEthernet0/0	2629.0	6001.0
ga	geant	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	0	84	170.0	170.0	170.0	0.169	0.169	0.169	144.0	GigabitEthernet0/0	2629.0	6001.0
pacwave	ligo	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	0	85	167.0	167.0	167.0	0.166	0.166	0.166	124.0	GigabitEthernet0/0	2629.0	6001.0
yuccattmt	doe	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	0	84	166.0	166.0	166.0	0.166	0.166	0.166	125.0	GigabitEthernet0/0	2629.0	6001.0
pppl	jlab	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	0	84	165.0	165.0	165.0	0.165	0.165	0.165	122.0	GigabitEthernet0/0	2629.0	6001.0
nnsa	lanl	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	0	84	166.0	166.0	166.0	0.164	0.164	0.164	120.0	GigabitEthernet0/0	2629.0	6001.0
yuccattmt	bnl	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	0	84	165.0	165.0	165.0	0.164	0.164	0.164	121.0	GigabitEthernet0/0	2629.0	6001.0
au	osti	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	0	84	164.0	164.0	164.0	0.164	0.164	0.164	120.0	GigabitEthernet0/0	2629.0	6001.0
ligo	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	0	16	164.0	164.0	164.0	0.164	0.164	0.164	125.0	GigabitEthernet0/0	2629.0	6001.0
sinet	sea	IpWildcardIpSpace{ipWildcard=200.0.60.0/24}	sat	584	6365	491.0	491.0	491.0	0.49	0.49	0.49	131.0	GigabitEthernet0/0	2629.0	6001.0
inl	ligo	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	0	85	163.0	163.0	163.0	0.163	0.163	0.163	120.0	GigabitEthernet0/0	2629.0	6001.0
nrel	equinixid53	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	0	84	162.0	162.0	162.0	0.161	0.161	0.161	120.0	GigabitEthernet0/0	2629.0	6001.0
arm	netl	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	0	15	161.0	161.0	161.0	0.161	0.161	0.161	125.0	GigabitEthernet0/0	2629.0	6001.0
nodeid41	equinix	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	0	84	164.0	164.0	164.0	0.163	0.163	0.163	120.0	GigabitEthernet0/0	2629.0	6001.0
