srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
au	pacwave	IpWildcardIpSpace{ipWildcard=200.0.52.0/24}	unsat	781	3929	525.0	525.0	525.0	0.524	0.524	0.524	146.0	GigabitEthernet0/0	2629.0	6150.0
wash	auid66	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	872	5033	576.0	576.0	576.0	0.575	0.575	0.575	138.0	GigabitEthernet0/0	2629.0	6150.0
abilene	sunn	IpWildcardIpSpace{ipWildcard=200.0.66.0/24}	unsat	672	3339	490.0	490.0	490.0	0.49	0.49	0.49	162.0	GigabitEthernet0/0	2629.0	6150.0
nodeid40	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	849	4497	573.0	573.0	573.0	0.573	0.573	0.573	141.0	GigabitEthernet0/0	2629.0	6150.0
ga	geant	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	unsat	810	4588	612.0	612.0	612.0	0.611	0.611	0.611	144.0	GigabitEthernet0/0	2629.0	6150.0
pacwave	ligo	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	unsat	873	4788	546.0	546.0	546.0	0.545	0.545	0.545	127.0	GigabitEthernet0/0	2629.0	6150.0
yuccattmt	doe	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	775	3558	496.0	496.0	496.0	0.496	0.496	0.496	121.0	GigabitEthernet0/0	2629.0	6150.0
pppl	jlab	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	unsat	803	4430	557.0	557.0	557.0	0.557	0.557	0.557	123.0	GigabitEthernet0/0	2629.0	6150.0
nnsa	lanl	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	884	4235	557.0	557.0	557.0	0.556	0.556	0.556	125.0	GigabitEthernet0/0	2629.0	6150.0
yuccattmt	bnl	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	unsat	927	4557	601.0	601.0	601.0	0.6	0.6	0.6	121.0	GigabitEthernet0/0	2629.0	6150.0
au	osti	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	unsat	689	3699	477.0	477.0	477.0	0.476	0.476	0.476	123.0	GigabitEthernet0/0	2629.0	6150.0
ligo	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	859	4561	564.0	564.0	564.0	0.564	0.564	0.564	126.0	GigabitEthernet0/0	2629.0	6150.0
sinet	sea	IpWildcardIpSpace{ipWildcard=200.0.60.0/24}	unsat	775	3928	488.0	488.0	488.0	0.486	0.486	0.486	130.0	GigabitEthernet0/0	2629.0	6150.0
