srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
annttarbor	findlay	IpWildcardIpSpace{ipWildcard=200.0.214.0/24}	sat	177	14382	10729.0	10729.0	10729.0	10.727	10.727	10.727	1752.0	GigabitEthernet0/0	28943.0	67920.0
norristtcity	southttboston	IpWildcardIpSpace{ipWildcard=200.2.150.0/24}	sat	82	11930	9411.0	9411.0	9411.0	9.411	9.411	9.411	1689.0	GigabitEthernet0/0	28943.0	67920.0
bayttcity	monticello	IpWildcardIpSpace{ipWildcard=200.1.205.0/24}	sat	196	21156	13088.0	13088.0	13088.0	13.087	13.087	13.087	1592.0	GigabitEthernet0/0	28943.0	67920.0
spooner	battlettcreek	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	sat	154	16692	10538.0	10538.0	10538.0	10.537	10.537	10.537	1376.0	GigabitEthernet0/0	28943.0	67920.0
lexington	jennings	IpWildcardIpSpace{ipWildcard=200.1.62.0/24}	sat	336	138067	17696.0	17696.0	17696.0	17.695	17.695	17.695	1825.0	GigabitEthernet0/0	28943.0	67920.0
southfielddetroit	vincennes	IpWildcardIpSpace{ipWildcard=200.2.194.0/24}	sat	756	61506	15088.0	15088.0	15088.0	15.086	15.086	15.086	1785.0	GigabitEthernet0/0	28943.0	67920.0
bryan	harrisburg	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	sat	185	25311	13945.0	13945.0	13945.0	13.944	13.944	13.944	1596.0	GigabitEthernet0/0	28943.0	67920.0
conway	pinson	IpWildcardIpSpace{ipWildcard=200.2.67.0/24}	sat	341	64394	12595.0	12595.0	12595.0	12.595	12.595	12.595	1400.0	GigabitEthernet0/0	28943.0	67920.0
tallahassee	culpeper	IpWildcardIpSpace{ipWildcard=200.0.158.0/24}	sat	2158	64696	38429.0	38429.0	38429.0	38.428	38.428	38.428	1658.0	GigabitEthernet0/0	28943.0	67920.0
collinsville	london	IpWildcardIpSpace{ipWildcard=200.1.124.0/24}	sat	1672	61933	17676.0	17676.0	17676.0	17.676	17.676	17.676	1415.0	GigabitEthernet0/0	28943.0	67920.0
demopolis	greenwoodid641	IpWildcardIpSpace{ipWildcard=200.1.11.0/24}	sat	171	30809	12879.0	12879.0	12879.0	12.878	12.878	12.878	1457.0	GigabitEthernet0/0	28943.0	67920.0
martin	paoli	IpWildcardIpSpace{ipWildcard=200.2.44.0/24}	sat	9510	202181	62313.0	62313.0	62313.0	62.312	62.312	62.312	1355.0	GigabitEthernet0/0	28943.0	67920.0
greensburg	elgin	IpWildcardIpSpace{ipWildcard=200.0.193.0/24}	sat	227	45871	14548.0	14548.0	14548.0	14.547	14.547	14.547	1640.0	GigabitEthernet0/0	28943.0	67920.0
chester	crane	IpWildcardIpSpace{ipWildcard=200.0.151.0/24}	sat	192	16842	11224.0	11224.0	11224.0	11.223	11.223	11.223	1954.0	GigabitEthernet0/0	28943.0	67920.0
logansport	childersburg	IpWildcardIpSpace{ipWildcard=200.0.116.0/24}	sat	457	62827	12868.0	12868.0	12868.0	12.867	12.867	12.867	1512.0	GigabitEthernet0/0	28943.0	67920.0
burlington	morrilton	IpWildcardIpSpace{ipWildcard=200.1.212.0/24}	sat	122	17228	12837.0	12837.0	12837.0	12.836	12.836	12.836	1567.0	GigabitEthernet0/0	28943.0	67920.0
huntingdon	huntingtonid730	IpWildcardIpSpace{ipWildcard=200.1.40.0/24}	sat	375	35120	16237.0	16237.0	16237.0	16.236	16.236	16.236	1646.0	GigabitEthernet0/0	28943.0	67920.0
warsaw	americus	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	443	139216	14995.0	14995.0	14995.0	14.995	14.995	14.995	1855.0	GigabitEthernet0/0	28943.0	67920.0
saginaw	birmingham	IpWildcardIpSpace{ipWildcard=200.0.68.0/24}	sat	6196	110132	44862.0	44862.0	44862.0	44.862	44.862	44.862	1481.0	GigabitEthernet0/0	28943.0	67920.0
nodeid390	eufaula	IpWildcardIpSpace{ipWildcard=200.0.203.0/24}	sat	7310	281788	64223.0	64223.0	64223.0	64.223	64.223	64.223	1582.0	GigabitEthernet0/0	28943.0	67920.0
