srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
annttarbor	findlay	IpWildcardIpSpace{ipWildcard=200.0.214.0/24}	sat	6043	1324330	159614.0	159614.0	159614.0	158.427	158.427	158.427	1628.0	GigabitEthernet0/0	28943.0	66269.0
norristtcity	southttboston	IpWildcardIpSpace{ipWildcard=200.2.150.0/24}	sat	1006	539560	66645.0	66645.0	66645.0	66.644	66.644	66.644	1611.0	GigabitEthernet0/0	28943.0	66269.0
bayttcity	monticello	IpWildcardIpSpace{ipWildcard=200.1.205.0/24}	sat	5286	1348913	175586.0	175586.0	175586.0	175.586	175.586	175.586	1409.0	GigabitEthernet0/0	28943.0	66269.0
spooner	battlettcreek	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	sat	865	307654	34455.0	34455.0	34455.0	34.454	34.454	34.454	1354.0	GigabitEthernet0/0	28943.0	66269.0
lexington	jennings	IpWildcardIpSpace{ipWildcard=200.1.62.0/24}	sat	2076	839900	63377.0	63377.0	63377.0	63.377	63.377	63.377	1398.0	GigabitEthernet0/0	28943.0	66269.0
southfielddetroit	vincennes	IpWildcardIpSpace{ipWildcard=200.2.194.0/24}	sat	692	234108	34764.0	34764.0	34764.0	34.763	34.763	34.763	1603.0	GigabitEthernet0/0	28943.0	66269.0
bryan	harrisburg	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	sat	1033	240760	46198.0	46198.0	46198.0	46.197	46.197	46.197	1556.0	GigabitEthernet0/0	28943.0	66269.0
conway	pinson	IpWildcardIpSpace{ipWildcard=200.2.67.0/24}	sat	1858	776035	72584.0	72584.0	72584.0	72.584	72.584	72.584	1382.0	GigabitEthernet0/0	28943.0	66269.0
tallahassee	culpeper	IpWildcardIpSpace{ipWildcard=200.0.158.0/24}	sat	87180	2706825	633165.0	633165.0	633165.0	633.164	633.164	633.164	1410.0	GigabitEthernet0/0	28943.0	66269.0
collinsville	london	IpWildcardIpSpace{ipWildcard=200.1.124.0/24}	sat	860	239449	39538.0	39538.0	39538.0	39.537	39.537	39.537	1398.0	GigabitEthernet0/0	28943.0	66269.0
demopolis	greenwoodid641	IpWildcardIpSpace{ipWildcard=200.1.11.0/24}	sat	1202	435985	61509.0	61509.0	61509.0	61.508	61.508	61.508	1366.0	GigabitEthernet0/0	28943.0	66269.0
martin	paoli	IpWildcardIpSpace{ipWildcard=200.2.44.0/24}	sat	1820	706650	72662.0	72662.0	72662.0	72.661	72.661	72.661	1415.0	GigabitEthernet0/0	28943.0	66269.0
greensburg	elgin	IpWildcardIpSpace{ipWildcard=200.0.193.0/24}	sat	2040	1089787	112726.0	112726.0	112726.0	112.725	112.725	112.725	1762.0	GigabitEthernet0/0	28943.0	66269.0
chester	crane	IpWildcardIpSpace{ipWildcard=200.0.151.0/24}	sat	631	199552	30614.0	30614.0	30614.0	30.613	30.613	30.613	1473.0	GigabitEthernet0/0	28943.0	66269.0
logansport	childersburg	IpWildcardIpSpace{ipWildcard=200.0.116.0/24}	sat	3585	1360211	147398.0	147398.0	147398.0	147.398	147.398	147.398	2104.0	GigabitEthernet0/0	28943.0	66269.0
urlington	morrilton	IpWildcardIpSpace{ipWildcard=200.1.212.0/24}	sat	1082	1136234	82230.0	82230.0	82230.0	82.229	82.229	82.229	1565.0	GigabitEthernet0/0	28943.0	66269.0
huntingdon	huntingtonid730	IpWildcardIpSpace{ipWildcard=200.1.40.0/24}	sat	3776	1306626	127333.0	127333.0	127333.0	127.332	127.332	127.332	1845.0	GigabitEthernet0/0	28943.0	66269.0
