srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
preili	ragona	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	sat	102	1388	219.0	219.0	219.0	0.219	0.219	0.219	165.0	GigabitEthernet0/0	2382.0	5625.0
grobina	talsi	IpWildcardIpSpace{ipWildcard=200.0.58.0/24}	sat	101	1320	208.0	208.0	208.0	0.206	0.206	0.206	156.0	GigabitEthernet0/0	2382.0	5625.0
bauska	cibla	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	103	1426	207.0	207.0	207.0	0.206	0.206	0.206	129.0	GigabitEthernet0/0	2382.0	5625.0
gulbene	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	0	32	146.0	146.0	146.0	0.146	0.146	0.146	160.0	GigabitEthernet0/0	2382.0	5625.0
kraslava	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	0	32	140.0	140.0	140.0	0.139	0.139	0.139	148.0	GigabitEthernet0/0	2382.0	5625.0
skriveri	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	0	32	145.0	145.0	145.0	0.144	0.144	0.144	149.0	GigabitEthernet0/0	2382.0	5625.0
saldus	peerbalvi0	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	158	3351	199.0	199.0	199.0	0.198	0.198	0.198	147.0	GigabitEthernet0/0	2382.0	5625.0
riga	limbazi	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	sat	1	47	145.0	145.0	145.0	0.144	0.144	0.144	140.0	GigabitEthernet0/0	2382.0	5625.0
limbazi	liepupe	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	1	35	145.0	145.0	145.0	0.145	0.145	0.145	130.0	GigabitEthernet0/0	2382.0	5625.0
kraslava	ludza	IpWildcardIpSpace{ipWildcard=200.0.37.0/24}	sat	2	54	153.0	153.0	153.0	0.152	0.152	0.152	137.0	GigabitEthernet0/0	2382.0	5625.0
jekabpils	sigulda	IpWildcardIpSpace{ipWildcard=200.0.55.0/24}	sat	1	48	136.0	136.0	136.0	0.136	0.136	0.136	137.0	GigabitEthernet0/0	2382.0	5625.0
ulbroka	jumprava	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	0	32	140.0	140.0	140.0	0.14	0.14	0.14	133.0	GigabitEthernet0/0	2382.0	5625.0
jurmala	salagriva	IpWildcardIpSpace{ipWildcard=200.0.52.0/24}	sat	104	926	208.0	208.0	208.0	0.207	0.207	0.207	134.0	GigabitEthernet0/0	2382.0	5625.0
iecava	liepupe	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	1	35	145.0	145.0	145.0	0.144	0.144	0.144	136.0	GigabitEthernet0/0	2382.0	5625.0
kalnciems	preili	IpWildcardIpSpace{ipWildcard=200.0.46.0/24}	sat	1	40	142.0	142.0	142.0	0.141	0.141	0.141	140.0	GigabitEthernet0/0	2382.0	5625.0
aizkroukle	ikskile	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	0	33	144.0	144.0	144.0	0.143	0.143	0.143	143.0	GigabitEthernet0/0	2382.0	5625.0
aloja	daugapils	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	0	32	144.0	144.0	144.0	0.144	0.144	0.144	151.0	GigabitEthernet0/0	2382.0	5625.0
salagriva	aloja	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	1	44	149.0	149.0	149.0	0.148	0.148	0.148	149.0	GigabitEthernet0/0	2382.0	5625.0
vangazi	carnikava	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	1	39	146.0	146.0	146.0	0.145	0.145	0.145	145.0	GigabitEthernet0/0	2382.0	5625.0
lielvarde	platone	IpWildcardIpSpace{ipWildcard=200.0.44.0/24}	sat	2	53	144.0	144.0	144.0	0.142	0.142	0.142	151.0	GigabitEthernet0/0	2382.0	5625.0
ozolnieki	ventspits	IpWildcardIpSpace{ipWildcard=200.0.63.0/24}	sat	104	959	196.0	196.0	196.0	0.195	0.195	0.195	124.0	GigabitEthernet0/0	2382.0	5625.0
valmiera	iecava	IpWildcardIpSpace{ipWildcard=200.0.17.0/24}	sat	103	1328	209.0	209.0	209.0	0.208	0.208	0.208	148.0	GigabitEthernet0/0	2382.0	5625.0
strenci	salaspils	IpWildcardIpSpace{ipWildcard=200.0.53.0/24}	sat	2	44	146.0	146.0	146.0	0.146	0.146	0.146	138.0	GigabitEthernet0/0	2382.0	5625.0
broceni	jekabpils	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	1	45	148.0	148.0	148.0	0.147	0.147	0.147	143.0	GigabitEthernet0/0	2382.0	5625.0
liepaja	jelgava	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	0	34	143.0	143.0	143.0	0.143	0.143	0.143	150.0	GigabitEthernet0/0	2382.0	5625.0
adazi	grobina	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	101	929	193.0	193.0	193.0	0.193	0.193	0.193	141.0	GigabitEthernet0/0	2382.0	5625.0
liepupe	jekabpils	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	1	45	146.0	146.0	146.0	0.145	0.145	0.145	118.0	GigabitEthernet0/0	2382.0	5625.0
balvi	aizpute	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	103	1224	194.0	194.0	194.0	0.193	0.193	0.193	115.0	GigabitEthernet0/0	2382.0	5625.0
livberze	vijkene	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	sat	104	987	197.0	197.0	197.0	0.197	0.197	0.197	115.0	GigabitEthernet0/0	2382.0	5625.0
ledurga	aizkroukle	IpWildcardIpSpace{ipWildcard=200.0.1.0/24}	sat	1	40	140.0	140.0	140.0	0.14	0.14	0.14	118.0	GigabitEthernet0/0	2382.0	5625.0
lielvarde	gulbene	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	102	1329	204.0	204.0	204.0	0.203	0.203	0.203	116.0	GigabitEthernet0/0	2382.0	5625.0
jurmala	dobele	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	sat	2	49	138.0	138.0	138.0	0.137	0.137	0.137	118.0	GigabitEthernet0/0	2382.0	5625.0
sigulda	baldone	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	sat	104	1429	209.0	209.0	209.0	0.209	0.209	0.209	114.0	GigabitEthernet0/0	2382.0	5625.0
baldone	mazsalaca	IpWildcardIpSpace{ipWildcard=200.0.39.0/24}	sat	1	40	144.0	144.0	144.0	0.143	0.143	0.143	131.0	GigabitEthernet0/0	2382.0	5625.0
kapsede	lielvarde	IpWildcardIpSpace{ipWildcard=200.0.31.0/24}	sat	1	44	146.0	146.0	146.0	0.146	0.146	0.146	119.0	GigabitEthernet0/0	2382.0	5625.0
strenci	zvigzdene	IpWildcardIpSpace{ipWildcard=200.0.69.0/24}	sat	103	1455	202.0	202.0	202.0	0.201	0.201	0.201	159.0	GigabitEthernet0/0	2382.0	5625.0
preili	riga	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	1	71	137.0	137.0	137.0	0.136	0.136	0.136	190.0	GigabitEthernet0/0	2382.0	5625.0
livani	saldus	IpWildcardIpSpace{ipWildcard=200.0.54.0/24}	sat	0	33	137.0	137.0	137.0	0.137	0.137	0.137	117.0	GigabitEthernet0/0	2382.0	5625.0
carnikava	jumprava	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	0	32	140.0	140.0	140.0	0.14	0.14	0.14	116.0	GigabitEthernet0/0	2382.0	5625.0
auce	kegums	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	1	45	142.0	142.0	142.0	0.141	0.141	0.141	115.0	GigabitEthernet0/0	2382.0	5625.0
saldus	valmiera	IpWildcardIpSpace{ipWildcard=200.0.61.0/24}	sat	0	33	139.0	139.0	139.0	0.139	0.139	0.139	114.0	GigabitEthernet0/0	2382.0	5625.0
