srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
preili	ragona	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	sat	162	1463	219.0	219.0	219.0	0.219	0.219	0.219	139.0	GigabitEthernet0/0	2382.0	5625.0
grobina	talsi	IpWildcardIpSpace{ipWildcard=200.0.58.0/24}	sat	222	1097	196.0	196.0	196.0	0.195	0.195	0.195	147.0	GigabitEthernet0/0	2382.0	5625.0
bauska	cibla	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	223	1757	260.0	260.0	260.0	0.259	0.259	0.259	129.0	GigabitEthernet0/0	2382.0	5625.0
gulbene	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	174	1462	229.0	229.0	229.0	0.228	0.228	0.228	162.0	GigabitEthernet0/0	2382.0	5625.0
kraslava	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	174	1462	223.0	223.0	223.0	0.222	0.222	0.222	153.0	GigabitEthernet0/0	2382.0	5625.0
skriveri	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	174	1462	217.0	217.0	217.0	0.216	0.216	0.216	145.0	GigabitEthernet0/0	2382.0	5625.0
saldus	peerbalvi0	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	201	2995	188.0	188.0	188.0	0.186	0.186	0.186	148.0	GigabitEthernet0/0	2382.0	5625.0
riga	limbazi	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	sat	169	1238	212.0	212.0	212.0	0.211	0.211	0.211	137.0	GigabitEthernet0/0	2382.0	5625.0
limbazi	liepupe	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	228	1580	259.0	259.0	259.0	0.257	0.257	0.257	151.0	GigabitEthernet0/0	2382.0	5625.0
kraslava	ludza	IpWildcardIpSpace{ipWildcard=200.0.37.0/24}	sat	203	1830	264.0	264.0	264.0	0.263	0.263	0.263	138.0	GigabitEthernet0/0	2382.0	5625.0
