srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
preili	ragona	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	sat	101	972	207.0	207.0	207.0	0.205	0.205	0.205	325.0	GigabitEthernet0/0	2522.0	5906.0
grobina	talsi	IpWildcardIpSpace{ipWildcard=200.0.58.0/24}	sat	102	1179	226.0	226.0	226.0	0.225	0.225	0.225	188.0	GigabitEthernet0/0	2522.0	5906.0
bauska	cibla	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	103	929	208.0	208.0	208.0	0.207	0.207	0.207	149.0	GigabitEthernet0/0	2522.0	5906.0
gulbene	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	0	38	156.0	156.0	156.0	0.155	0.155	0.155	129.0	GigabitEthernet0/0	2522.0	5906.0
kraslava	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	0	38	157.0	157.0	157.0	0.156	0.156	0.156	149.0	GigabitEthernet0/0	2522.0	5906.0
skriveri	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	2	51	151.0	151.0	151.0	0.15	0.15	0.15	141.0	GigabitEthernet0/0	2522.0	5906.0
saldus	peerbalvi0	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	unsat	199	1191	193.0	193.0	193.0	0.193	0.193	0.193	142.0	GigabitEthernet0/0	2522.0	5906.0
riga	limbazi	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	sat	1	46	151.0	151.0	151.0	0.15	0.15	0.15	152.0	GigabitEthernet0/0	2522.0	5906.0
limbazi	liepupe	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	2	99	166.0	166.0	166.0	0.165	0.165	0.165	141.0	GigabitEthernet0/0	2522.0	5906.0
kraslava	ludza	IpWildcardIpSpace{ipWildcard=200.0.37.0/24}	sat	1	45	157.0	157.0	157.0	0.156	0.156	0.156	130.0	GigabitEthernet0/0	2522.0	5906.0
jekabpils	sigulda	IpWildcardIpSpace{ipWildcard=200.0.55.0/24}	sat	1	58	159.0	159.0	159.0	0.158	0.158	0.158	133.0	GigabitEthernet0/0	2522.0	5906.0
ulbroka	jumprava	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	1	52	155.0	155.0	155.0	0.154	0.154	0.154	141.0	GigabitEthernet0/0	2522.0	5906.0
jurmala	salagriva	IpWildcardIpSpace{ipWildcard=200.0.52.0/24}	sat	103	1207	210.0	210.0	210.0	0.209	0.209	0.209	135.0	GigabitEthernet0/0	2522.0	5906.0
iecava	liepupe	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	2	97	156.0	156.0	156.0	0.156	0.156	0.156	141.0	GigabitEthernet0/0	2522.0	5906.0
kalnciems	preili	IpWildcardIpSpace{ipWildcard=200.0.46.0/24}	sat	0	38	165.0	165.0	165.0	0.164	0.164	0.164	128.0	GigabitEthernet0/0	2522.0	5906.0
aizkroukle	ikskile	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	2	57	154.0	154.0	154.0	0.153	0.153	0.153	129.0	GigabitEthernet0/0	2522.0	5906.0
aloja	daugapils	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	2	59	161.0	161.0	161.0	0.161	0.161	0.161	159.0	GigabitEthernet0/0	2522.0	5906.0
salagriva	aloja	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	1	48	157.0	157.0	157.0	0.156	0.156	0.156	149.0	GigabitEthernet0/0	2522.0	5906.0
vangazi	carnikava	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	1	46	162.0	162.0	162.0	0.161	0.161	0.161	142.0	GigabitEthernet0/0	2522.0	5906.0
lielvarde	platone	IpWildcardIpSpace{ipWildcard=200.0.44.0/24}	sat	1	50	156.0	156.0	156.0	0.155	0.155	0.155	154.0	GigabitEthernet0/0	2522.0	5906.0
ozolnieki	ventspits	IpWildcardIpSpace{ipWildcard=200.0.63.0/24}	sat	101	1122	218.0	218.0	218.0	0.217	0.217	0.217	143.0	GigabitEthernet0/0	2522.0	5906.0
valmiera	iecava	IpWildcardIpSpace{ipWildcard=200.0.17.0/24}	sat	102	1118	210.0	210.0	210.0	0.209	0.209	0.209	131.0	GigabitEthernet0/0	2522.0	5906.0
strenci	salaspils	IpWildcardIpSpace{ipWildcard=200.0.53.0/24}	sat	0	37	149.0	149.0	149.0	0.149	0.149	0.149	129.0	GigabitEthernet0/0	2522.0	5906.0
broceni	jekabpils	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	1	51	160.0	160.0	160.0	0.159	0.159	0.159	125.0	GigabitEthernet0/0	2522.0	5906.0
liepaja	jelgava	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	0	40	152.0	152.0	152.0	0.151	0.151	0.151	146.0	GigabitEthernet0/0	2522.0	5906.0
adazi	grobina	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	102	1084	215.0	215.0	215.0	0.214	0.214	0.214	137.0	GigabitEthernet0/0	2522.0	5906.0
liepupe	jekabpils	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	1	52	163.0	163.0	163.0	0.162	0.162	0.162	136.0	GigabitEthernet0/0	2522.0	5906.0
balvi	aizpute	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	101	1044	211.0	211.0	211.0	0.211	0.211	0.211	129.0	GigabitEthernet0/0	2522.0	5906.0
livberze	vijkene	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	sat	102	986	212.0	212.0	212.0	0.211	0.211	0.211	122.0	GigabitEthernet0/0	2522.0	5906.0
ledurga	aizkroukle	IpWildcardIpSpace{ipWildcard=200.0.1.0/24}	sat	0	38	151.0	151.0	151.0	0.151	0.151	0.151	115.0	GigabitEthernet0/0	2522.0	5906.0
lielvarde	gulbene	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	104	1492	217.0	217.0	217.0	0.216	0.216	0.216	116.0	GigabitEthernet0/0	2522.0	5906.0
jurmala	dobele	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	sat	1	44	154.0	154.0	154.0	0.154	0.154	0.154	118.0	GigabitEthernet0/0	2522.0	5906.0
sigulda	baldone	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	sat	103	1257	214.0	214.0	214.0	0.213	0.213	0.213	116.0	GigabitEthernet0/0	2522.0	5906.0
baldone	mazsalaca	IpWildcardIpSpace{ipWildcard=200.0.39.0/24}	sat	1	49	165.0	165.0	165.0	0.165	0.165	0.165	142.0	GigabitEthernet0/0	2522.0	5906.0
kapsede	lielvarde	IpWildcardIpSpace{ipWildcard=200.0.31.0/24}	sat	1	50	166.0	166.0	166.0	0.166	0.166	0.166	116.0	GigabitEthernet0/0	2522.0	5906.0
strenci	zvigzdene	IpWildcardIpSpace{ipWildcard=200.0.69.0/24}	sat	103	1025	207.0	207.0	207.0	0.206	0.206	0.206	114.0	GigabitEthernet0/0	2522.0	5906.0
preili	riga	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	1	69	150.0	150.0	150.0	0.148	0.148	0.148	189.0	GigabitEthernet0/0	2522.0	5906.0
livani	saldus	IpWildcardIpSpace{ipWildcard=200.0.54.0/24}	sat	2	50	158.0	158.0	158.0	0.158	0.158	0.158	134.0	GigabitEthernet0/0	2522.0	5906.0
carnikava	jumprava	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	1	41	155.0	155.0	155.0	0.154	0.154	0.154	145.0	GigabitEthernet0/0	2522.0	5906.0
auce	kegums	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	1	57	157.0	157.0	157.0	0.156	0.156	0.156	117.0	GigabitEthernet0/0	2522.0	5906.0
saldus	valmiera	IpWildcardIpSpace{ipWildcard=200.0.61.0/24}	sat	1	50	149.0	149.0	149.0	0.148	0.148	0.148	122.0	GigabitEthernet0/0	2522.0	5906.0
ledurga	cibla	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	102	1037	214.0	214.0	214.0	0.213	0.213	0.213	114.0	GigabitEthernet0/0	2522.0	5906.0
adazi	rezekne	IpWildcardIpSpace{ipWildcard=200.0.49.0/24}	sat	1	48	150.0	150.0	150.0	0.149	0.149	0.149	117.0	GigabitEthernet0/0	2522.0	5906.0
krimulda	tukums	IpWildcardIpSpace{ipWildcard=200.0.59.0/24}	sat	1	55	150.0	150.0	150.0	0.149	0.149	0.149	116.0	GigabitEthernet0/0	2522.0	5906.0
ogre	iecava	IpWildcardIpSpace{ipWildcard=200.0.17.0/24}	sat	103	929	197.0	197.0	197.0	0.197	0.197	0.197	121.0	GigabitEthernet0/0	2522.0	5906.0
ogre	kegums	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	1	59	153.0	153.0	153.0	0.152	0.152	0.152	117.0	GigabitEthernet0/0	2522.0	5906.0
ikskile	kalnciems	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	103	1067	215.0	215.0	215.0	0.214	0.214	0.214	127.0	GigabitEthernet0/0	2522.0	5906.0
ragona	pociems	IpWildcardIpSpace{ipWildcard=200.0.45.0/24}	sat	101	956	210.0	210.0	210.0	0.21	0.21	0.21	126.0	GigabitEthernet0/0	2522.0	5906.0
broceni	malnava	IpWildcardIpSpace{ipWildcard=200.0.38.0/24}	sat	1	49	156.0	156.0	156.0	0.155	0.155	0.155	138.0	GigabitEthernet0/0	2522.0	5906.0
gulbene	vircava	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	sat	102	992	204.0	204.0	204.0	0.203	0.203	0.203	120.0	GigabitEthernet0/0	2522.0	5906.0
