srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
preili	ragona	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	unsat	134	1410	215.0	215.0	215.0	0.213	0.213	0.213	142.0	GigabitEthernet0/0	2522.0	5906.0
grobina	talsi	IpWildcardIpSpace{ipWildcard=200.0.58.0/24}	unsat	134	1407	230.0	230.0	230.0	0.229	0.229	0.229	158.0	GigabitEthernet0/0	2522.0	5906.0
bauska	cibla	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	unsat	127	1418	233.0	233.0	233.0	0.232	0.232	0.232	151.0	GigabitEthernet0/0	2522.0	5906.0
gulbene	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	unsat	131	1619	226.0	226.0	226.0	0.226	0.226	0.226	134.0	GigabitEthernet0/0	2522.0	5906.0
kraslava	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	unsat	129	1576	224.0	224.0	224.0	0.223	0.223	0.223	156.0	GigabitEthernet0/0	2522.0	5906.0
skriveri	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	unsat	133	1531	211.0	211.0	211.0	0.211	0.211	0.211	143.0	GigabitEthernet0/0	2522.0	5906.0
saldus	peerbalvi0	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	0	2	136.0	136.0	136.0	0.135	0.135	0.135	148.0	GigabitEthernet0/0	2522.0	5906.0
riga	limbazi	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	unsat	184	2108	281.0	281.0	281.0	0.28	0.28	0.28	144.0	GigabitEthernet0/0	2522.0	5906.0
limbazi	liepupe	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	unsat	112	1268	226.0	226.0	226.0	0.225	0.225	0.225	129.0	GigabitEthernet0/0	2522.0	5906.0
kraslava	ludza	IpWildcardIpSpace{ipWildcard=200.0.37.0/24}	unsat	143	1657	258.0	258.0	258.0	0.258	0.258	0.258	129.0	GigabitEthernet0/0	2522.0	5906.0
jekabpils	sigulda	IpWildcardIpSpace{ipWildcard=200.0.55.0/24}	unsat	157	1904	270.0	270.0	270.0	0.268	0.268	0.268	134.0	GigabitEthernet0/0	2522.0	5906.0
