srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
preili	ragona	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	sat	250	4637	271.0	271.0	271.0	0.271	0.271	0.271	144.0	GigabitEthernet0/0	2522.0	5762.0
grobina	talsi	IpWildcardIpSpace{ipWildcard=200.0.58.0/24}	sat	247	3376	285.0	285.0	285.0	0.284	0.284	0.284	157.0	GigabitEthernet0/0	2522.0	5762.0
bauska	cibla	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	309	4692	311.0	311.0	311.0	0.31	0.31	0.31	126.0	GigabitEthernet0/0	2522.0	5762.0
gulbene	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	495	4765	435.0	435.0	435.0	0.434	0.434	0.434	130.0	GigabitEthernet0/0	2522.0	5762.0
kraslava	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	381	4362	329.0	329.0	329.0	0.328	0.328	0.328	147.0	GigabitEthernet0/0	2522.0	5762.0
skriveri	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	285	5503	291.0	291.0	291.0	0.291	0.291	0.291	143.0	GigabitEthernet0/0	2522.0	5762.0
saldus	peerbalvi0	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	369	3719	341.0	341.0	341.0	0.34	0.34	0.34	146.0	GigabitEthernet0/0	2522.0	5762.0
riga	limbazi	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	sat	93	1882	192.0	192.0	192.0	0.192	0.192	0.192	139.0	GigabitEthernet0/0	2522.0	5762.0
limbazi	liepupe	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	271	3267	292.0	292.0	292.0	0.292	0.292	0.292	125.0	GigabitEthernet0/0	2522.0	5762.0
kraslava	ludza	IpWildcardIpSpace{ipWildcard=200.0.37.0/24}	sat	398	4019	402.0	402.0	402.0	0.402	0.402	0.402	130.0	GigabitEthernet0/0	2522.0	5762.0
jekabpils	sigulda	IpWildcardIpSpace{ipWildcard=200.0.55.0/24}	sat	519	4875	395.0	395.0	395.0	0.395	0.395	0.395	143.0	GigabitEthernet0/0	2522.0	5762.0
ulbroka	jumprava	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	218	2775	276.0	276.0	276.0	0.276	0.276	0.276	140.0	GigabitEthernet0/0	2522.0	5762.0
jurmala	salagriva	IpWildcardIpSpace{ipWildcard=200.0.52.0/24}	sat	592	5242	427.0	427.0	427.0	0.426	0.426	0.426	198.0	GigabitEthernet0/0	2522.0	5762.0
iecava	liepupe	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	584	4559	452.0	452.0	452.0	0.452	0.452	0.452	134.0	GigabitEthernet0/0	2522.0	5762.0
kalnciems	preili	IpWildcardIpSpace{ipWildcard=200.0.46.0/24}	sat	338	4842	331.0	331.0	331.0	0.331	0.331	0.331	146.0	GigabitEthernet0/0	2522.0	5762.0
aizkroukle	ikskile	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	342	3909	332.0	332.0	332.0	0.331	0.331	0.331	129.0	GigabitEthernet0/0	2522.0	5762.0
aloja	daugapils	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	608	5512	466.0	466.0	466.0	0.465	0.465	0.465	143.0	GigabitEthernet0/0	2522.0	5762.0
salagriva	aloja	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	521	4467	402.0	402.0	402.0	0.401	0.401	0.401	143.0	GigabitEthernet0/0	2522.0	5762.0
vangazi	carnikava	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	276	4530	334.0	334.0	334.0	0.334	0.334	0.334	143.0	GigabitEthernet0/0	2522.0	5762.0
lielvarde	platone	IpWildcardIpSpace{ipWildcard=200.0.44.0/24}	sat	369	4035	345.0	345.0	345.0	0.344	0.344	0.344	146.0	GigabitEthernet0/0	2522.0	5762.0
ozolnieki	ventspits	IpWildcardIpSpace{ipWildcard=200.0.63.0/24}	sat	339	3390	290.0	290.0	290.0	0.289	0.289	0.289	146.0	GigabitEthernet0/0	2522.0	5762.0
valmiera	iecava	IpWildcardIpSpace{ipWildcard=200.0.17.0/24}	sat	371	5575	335.0	335.0	335.0	0.334	0.334	0.334	132.0	GigabitEthernet0/0	2522.0	5762.0
strenci	salaspils	IpWildcardIpSpace{ipWildcard=200.0.53.0/24}	sat	205	4341	289.0	289.0	289.0	0.289	0.289	0.289	133.0	GigabitEthernet0/0	2522.0	5762.0
broceni	jekabpils	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	251	2703	280.0	280.0	280.0	0.279	0.279	0.279	132.0	GigabitEthernet0/0	2522.0	5762.0
liepaja	jelgava	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	444	4219	350.0	350.0	350.0	0.35	0.35	0.35	144.0	GigabitEthernet0/0	2522.0	5762.0
adazi	grobina	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	394	3002	323.0	323.0	323.0	0.323	0.323	0.323	136.0	GigabitEthernet0/0	2522.0	5762.0
liepupe	jekabpils	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	499	4633	412.0	412.0	412.0	0.411	0.411	0.411	125.0	GigabitEthernet0/0	2522.0	5762.0
balvi	aizpute	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	325	3843	290.0	290.0	290.0	0.29	0.29	0.29	115.0	GigabitEthernet0/0	2522.0	5762.0
livberze	vijkene	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	sat	242	3596	261.0	261.0	261.0	0.26	0.26	0.26	116.0	GigabitEthernet0/0	2522.0	5762.0
ledurga	aizkroukle	IpWildcardIpSpace{ipWildcard=200.0.1.0/24}	sat	510	6426	447.0	447.0	447.0	0.447	0.447	0.447	117.0	GigabitEthernet0/0	2522.0	5762.0
lielvarde	gulbene	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	560	6250	424.0	424.0	424.0	0.423	0.423	0.423	118.0	GigabitEthernet0/0	2522.0	5762.0
jurmala	dobele	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	sat	496	5665	416.0	416.0	416.0	0.415	0.415	0.415	116.0	GigabitEthernet0/0	2522.0	5762.0
sigulda	baldone	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	sat	294	4617	299.0	299.0	299.0	0.298	0.298	0.298	121.0	GigabitEthernet0/0	2522.0	5762.0
baldone	mazsalaca	IpWildcardIpSpace{ipWildcard=200.0.39.0/24}	sat	155	3396	235.0	235.0	235.0	0.234	0.234	0.234	130.0	GigabitEthernet0/0	2522.0	5762.0
kapsede	lielvarde	IpWildcardIpSpace{ipWildcard=200.0.31.0/24}	sat	349	3654	286.0	286.0	286.0	0.286	0.286	0.286	119.0	GigabitEthernet0/0	2522.0	5762.0
strenci	zvigzdene	IpWildcardIpSpace{ipWildcard=200.0.69.0/24}	sat	185	2570	225.0	225.0	225.0	0.224	0.224	0.224	115.0	GigabitEthernet0/0	2522.0	5762.0
preili	riga	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	272	4336	289.0	289.0	289.0	0.289	0.289	0.289	188.0	GigabitEthernet0/0	2522.0	5762.0
livani	saldus	IpWildcardIpSpace{ipWildcard=200.0.54.0/24}	sat	362	4771	343.0	343.0	343.0	0.342	0.342	0.342	115.0	GigabitEthernet0/0	2522.0	5762.0
carnikava	jumprava	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	507	4781	399.0	399.0	399.0	0.398	0.398	0.398	114.0	GigabitEthernet0/0	2522.0	5762.0
auce	kegums	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	506	6406	401.0	401.0	401.0	0.401	0.401	0.401	115.0	GigabitEthernet0/0	2522.0	5762.0
saldus	valmiera	IpWildcardIpSpace{ipWildcard=200.0.61.0/24}	sat	507	4515	394.0	394.0	394.0	0.393	0.393	0.393	117.0	GigabitEthernet0/0	2522.0	5762.0
ledurga	cibla	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	129	3440	208.0	208.0	208.0	0.208	0.208	0.208	116.0	GigabitEthernet0/0	2522.0	5762.0
adazi	rezekne	IpWildcardIpSpace{ipWildcard=200.0.49.0/24}	sat	505	4749	398.0	398.0	398.0	0.398	0.398	0.398	117.0	GigabitEthernet0/0	2522.0	5762.0
krimulda	tukums	IpWildcardIpSpace{ipWildcard=200.0.59.0/24}	sat	215	2581	261.0	261.0	261.0	0.26	0.26	0.26	146.0	GigabitEthernet0/0	2522.0	5762.0
ogre	iecava	IpWildcardIpSpace{ipWildcard=200.0.17.0/24}	sat	519	4366	370.0	370.0	370.0	0.369	0.369	0.369	117.0	GigabitEthernet0/0	2522.0	5762.0
ogre	kegums	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	130	2939	223.0	223.0	223.0	0.222	0.222	0.222	121.0	GigabitEthernet0/0	2522.0	5762.0
ikskile	kalnciems	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	205	3303	270.0	270.0	270.0	0.269	0.269	0.269	124.0	GigabitEthernet0/0	2522.0	5762.0
ragona	pociems	IpWildcardIpSpace{ipWildcard=200.0.45.0/24}	sat	262	3128	297.0	297.0	297.0	0.296	0.296	0.296	133.0	GigabitEthernet0/0	2522.0	5762.0
broceni	malnava	IpWildcardIpSpace{ipWildcard=200.0.38.0/24}	sat	484	4811	397.0	397.0	397.0	0.396	0.396	0.396	120.0	GigabitEthernet0/0	2522.0	5762.0
gulbene	vircava	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	sat	525	5088	403.0	403.0	403.0	0.403	0.403	0.403	116.0	GigabitEthernet0/0	2522.0	5762.0
