srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
bristolidhh150	newttyork	IpWildcardIpSpace{ipWildcard=200.1.67.0/24}	sat	133	7160	6669.0	6669.0	6669.0	6.668	6.668	6.668	1140.0	GigabitEthernet0/0	20503.0	48436.0
savannah	norfolk	IpWildcardIpSpace{ipWildcard=200.1.111.0/24}	sat	114	5934	6071.0	6071.0	6071.0	6.071	6.071	6.071	1100.0	GigabitEthernet0/0	20503.0	48436.0
memphis	stttpollen	IpWildcardIpSpace{ipWildcard=200.1.214.0/24}	sat	69	2903	4683.0	4683.0	4683.0	4.682	4.682	4.682	1047.0	GigabitEthernet0/0	20503.0	48436.0
putnamttvalley	elmira	IpWildcardIpSpace{ipWildcard=200.0.146.0/24}	sat	41	1834	4926.0	4926.0	4926.0	4.925	4.925	4.925	1069.0	GigabitEthernet0/0	20503.0	48436.0
chandrapur	nodeidgh97	IpWildcardIpSpace{ipWildcard=200.1.101.0/24}	sat	173	19578	9388.0	9388.0	9388.0	9.151	9.151	9.151	1132.0	GigabitEthernet0/0	20503.0	48436.0
bari	gaya	IpWildcardIpSpace{ipWildcard=200.0.168.0/24}	sat	56	2079	5011.0	5011.0	5011.0	5.01	5.01	5.01	1127.0	GigabitEthernet0/0	20503.0	48436.0
benningtown	hamilton	IpWildcardIpSpace{ipWildcard=200.0.190.0/24}	sat	95	3963	5656.0	5656.0	5656.0	5.656	5.656	5.656	1113.0	GigabitEthernet0/0	20503.0	48436.0
burdett	corning	IpWildcardIpSpace{ipWildcard=200.0.119.0/24}	sat	42	1638	4818.0	4818.0	4818.0	4.816	4.816	4.816	1102.0	GigabitEthernet0/0	20503.0	48436.0
zurich	sonipat	IpWildcardIpSpace{ipWildcard=200.1.209.0/24}	sat	58	2272	5408.0	5408.0	5408.0	5.407	5.407	5.407	1036.0	GigabitEthernet0/0	20503.0	48436.0
allahabad	lucknow	IpWildcardIpSpace{ipWildcard=200.1.11.0/24}	sat	165	5849	6295.0	6295.0	6295.0	6.294	6.294	6.294	1047.0	GigabitEthernet0/0	20503.0	48436.0
altmar	cologne	IpWildcardIpSpace{ipWildcard=200.0.114.0/24}	sat	61	2487	5420.0	5420.0	5420.0	5.418	5.418	5.418	1185.0	GigabitEthernet0/0	20503.0	48436.0
nodeidgg123	salamanca	IpWildcardIpSpace{ipWildcard=200.1.186.0/24}	sat	78	2586	5846.0	5846.0	5846.0	5.845	5.845	5.845	1026.0	GigabitEthernet0/0	20503.0	48436.0
brescia	wardha	IpWildcardIpSpace{ipWildcard=200.2.5.0/24}	sat	66	3054	6021.0	6021.0	6021.0	6.02	6.02	6.02	2826.0	GigabitEthernet0/0	20503.0	48436.0
margaretsville	palermo	IpWildcardIpSpace{ipWildcard=200.1.129.0/24}	sat	102	5263	6829.0	6829.0	6829.0	6.829	6.829	6.829	2839.0	GigabitEthernet0/0	20503.0	48436.0
southttcanaan	gainesville	IpWildcardIpSpace{ipWildcard=200.0.165.0/24}	sat	70	4527	6199.0	6199.0	6199.0	6.198	6.198	6.198	1160.0	GigabitEthernet0/0	20503.0	48436.0
nodeidgh111	dothan	IpWildcardIpSpace{ipWildcard=200.0.139.0/24}	sat	446	12751	9756.0	9756.0	9756.0	9.755	9.755	9.755	1020.0	GigabitEthernet0/0	20503.0	48436.0
mysore	stockholm	IpWildcardIpSpace{ipWildcard=200.1.211.0/24}	sat	1352	19349	9303.0	9303.0	9303.0	9.303	9.303	9.303	1192.0	GigabitEthernet0/0	20503.0	48436.0
alexandria	harriman	IpWildcardIpSpace{ipWildcard=200.0.193.0/24}	sat	66	3431	5514.0	5514.0	5514.0	5.513	5.513	5.513	1199.0	GigabitEthernet0/0	20503.0	48436.0
poitiers	bielbienne	IpWildcardIpSpace{ipWildcard=200.0.62.0/24}	sat	1330	30571	17864.0	17864.0	17864.0	17.864	17.864	17.864	1197.0	GigabitEthernet0/0	20503.0	48436.0
monroeidgh21	raipur	IpWildcardIpSpace{ipWildcard=200.1.162.0/24}	sat	296	14658	8116.0	8116.0	8116.0	8.116	8.116	8.116	1151.0	GigabitEthernet0/0	20503.0	48436.0
mobile	tampa	IpWildcardIpSpace{ipWildcard=200.1.222.0/24}	sat	116	7203	5543.0	5543.0	5543.0	5.542	5.542	5.542	1206.0	GigabitEthernet0/0	20503.0	48436.0
sylva	houston	IpWildcardIpSpace{ipWildcard=200.0.206.0/24}	sat	948	27513	12991.0	12991.0	12991.0	12.991	12.991	12.991	1081.0	GigabitEthernet0/0	20503.0	48436.0
valsad	goa	IpWildcardIpSpace{ipWildcard=200.0.176.0/24}	sat	45	1238	4588.0	4588.0	4588.0	4.587	4.587	4.587	1065.0	GigabitEthernet0/0	20503.0	48436.0
canton	jacksonidgh91	IpWildcardIpSpace{ipWildcard=200.0.217.0/24}	sat	82	3728	5230.0	5230.0	5230.0	5.229	5.229	5.229	1074.0	GigabitEthernet0/0	20503.0	48436.0
lakettcharles	nodeidgg92	IpWildcardIpSpace{ipWildcard=200.1.87.0/24}	sat	502	11323	8446.0	8446.0	8446.0	8.445	8.445	8.445	1093.0	GigabitEthernet0/0	20503.0	48436.0
liege	bhopal	IpWildcardIpSpace{ipWildcard=200.0.59.0/24}	sat	602	13931	7990.0	7990.0	7990.0	7.99	7.99	7.99	1056.0	GigabitEthernet0/0	20503.0	48436.0
himmatnagar	nodeidgg31	IpWildcardIpSpace{ipWildcard=200.1.83.0/24}	sat	389	10571	7935.0	7935.0	7935.0	7.934	7.934	7.934	1001.0	GigabitEthernet0/0	20503.0	48436.0
brussels	genova	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	sat	70	3230	5336.0	5336.0	5336.0	5.335	5.335	5.335	995.0	GigabitEthernet0/0	20503.0	48436.0
dijon	raleigh	IpWildcardIpSpace{ipWildcard=200.1.164.0/24}	sat	67	3614	5415.0	5415.0	5415.0	5.414	5.414	5.414	1023.0	GigabitEthernet0/0	20503.0	48436.0
newnah	gloversville	IpWildcardIpSpace{ipWildcard=200.0.175.0/24}	sat	59	2710	4448.0	4448.0	4448.0	4.447	4.447	4.447	1141.0	GigabitEthernet0/0	20503.0	48436.0
ludhiana	manchester	IpWildcardIpSpace{ipWildcard=200.1.22.0/24}	sat	139	9136	6371.0	6371.0	6371.0	6.37	6.37	6.37	1101.0	GigabitEthernet0/0	20503.0	48436.0
rimini	nodeidgg30	IpWildcardIpSpace{ipWildcard=200.1.82.0/24}	sat	409	9996	7620.0	7620.0	7620.0	7.62	7.62	7.62	1118.0	GigabitEthernet0/0	20503.0	48436.0
callicut	zug	IpWildcardIpSpace{ipWildcard=200.2.23.0/24}	sat	88	3901	5620.0	5620.0	5620.0	5.619	5.619	5.619	1018.0	GigabitEthernet0/0	20503.0	48436.0
akola	meerut	IpWildcardIpSpace{ipWildcard=200.1.30.0/24}	sat	262	12559	7298.0	7298.0	7298.0	7.297	7.297	7.297	998.0	GigabitEthernet0/0	20503.0	48436.0
barreidgg104	chazy	IpWildcardIpSpace{ipWildcard=200.0.104.0/24}	sat	162	6600	6368.0	6368.0	6368.0	6.367	6.367	6.367	1078.0	GigabitEthernet0/0	20503.0	48436.0
nodeidgg22	dhar	IpWildcardIpSpace{ipWildcard=200.0.134.0/24}	sat	48	1877	4956.0	4956.0	4956.0	4.956	4.956	4.956	985.0	GigabitEthernet0/0	20503.0	48436.0
wilmington	anderlecht	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	872	24604	14277.0	14277.0	14277.0	14.276	14.276	14.276	1232.0	GigabitEthernet0/0	20503.0	48436.0
allepey	winooski	IpWildcardIpSpace{ipWildcard=200.2.18.0/24}	sat	143	8713	7065.0	7065.0	7065.0	7.064	7.064	7.064	1139.0	GigabitEthernet0/0	20503.0	48436.0
chicago	rowland	IpWildcardIpSpace{ipWildcard=200.1.183.0/24}	sat	78	3048	4988.0	4988.0	4988.0	4.988	4.988	4.988	1207.0	GigabitEthernet0/0	20503.0	48436.0
bokaro	nasik	IpWildcardIpSpace{ipWildcard=200.1.59.0/24}	sat	392	20247	10557.0	10557.0	10557.0	10.556	10.556	10.556	989.0	GigabitEthernet0/0	20503.0	48436.0
nodeidgg24	borgomanero	IpWildcardIpSpace{ipWildcard=200.0.71.0/24}	sat	103	3176	5401.0	5401.0	5401.0	5.4	5.4	5.4	1443.0	GigabitEthernet0/0	20503.0	48436.0
jhansi	ogdensburg	IpWildcardIpSpace{ipWildcard=200.1.118.0/24}	sat	189	10182	7369.0	7369.0	7369.0	7.368	7.368	7.368	1047.0	GigabitEthernet0/0	20503.0	48436.0
lugano	utica	IpWildcardIpSpace{ipWildcard=200.1.243.0/24}	sat	141	5732	6050.0	6050.0	6050.0	6.049	6.049	6.049	1009.0	GigabitEthernet0/0	20503.0	48436.0
jacksonville	damoh	IpWildcardIpSpace{ipWildcard=200.0.126.0/24}	sat	78	5018	5339.0	5339.0	5339.0	5.339	5.339	5.339	1068.0	GigabitEthernet0/0	20503.0	48436.0
meridian	firenze	IpWildcardIpSpace{ipWildcard=200.0.157.0/24}	sat	65	2912	5634.0	5634.0	5634.0	5.633	5.633	5.633	1064.0	GigabitEthernet0/0	20503.0	48436.0
reading	newnah	IpWildcardIpSpace{ipWildcard=200.1.64.0/24}	sat	134	7851	6853.0	6853.0	6853.0	6.852	6.852	6.852	1127.0	GigabitEthernet0/0	20503.0	48436.0
raichur	belgaum	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	sat	108	6657	6968.0	6968.0	6968.0	6.968	6.968	6.968	1016.0	GigabitEthernet0/0	20503.0	48436.0
newport	alexanderttcity	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	192	9707	6906.0	6906.0	6906.0	6.905	6.905	6.905	1064.0	GigabitEthernet0/0	20503.0	48436.0
kanchipuram	geneve	IpWildcardIpSpace{ipWildcard=200.0.170.0/24}	sat	247	7010	6681.0	6681.0	6681.0	6.68	6.68	6.68	3140.0	GigabitEthernet0/0	20503.0	48436.0
ghaziabad	rochester	IpWildcardIpSpace{ipWildcard=200.1.175.0/24}	sat	67	3459	5285.0	5285.0	5285.0	5.282	5.282	5.282	1093.0	GigabitEthernet0/0	20503.0	48436.0
