srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
bristolidhh150	newttyork	IpWildcardIpSpace{ipWildcard=200.1.67.0/24}	sat	48680	244315	208291.0	208291.0	208291.0	208.29	208.29	208.29	1099.0	GigabitEthernet0/0	20503.0	48436.0
savannah	norfolk	IpWildcardIpSpace{ipWildcard=200.1.111.0/24}	sat	59535	332635	242331.0	242331.0	242331.0	242.33	242.33	242.33	1112.0	GigabitEthernet0/0	20503.0	48436.0
memphis	stttpollen	IpWildcardIpSpace{ipWildcard=200.1.214.0/24}	sat	41693	261346	122720.0	122720.0	122720.0	122.72	122.72	122.72	1095.0	GigabitEthernet0/0	20503.0	48436.0
putnamttvalley	elmira	IpWildcardIpSpace{ipWildcard=200.0.146.0/24}	sat	56843	260220	184642.0	184642.0	184642.0	184.641	184.641	184.641	1049.0	GigabitEthernet0/0	20503.0	48436.0
chandrapur	nodeidgh97	IpWildcardIpSpace{ipWildcard=200.1.101.0/24}	sat	78124	307503	215065.0	215065.0	215065.0	215.064	215.064	215.064	1056.0	GigabitEthernet0/0	20503.0	48436.0
bari	gaya	IpWildcardIpSpace{ipWildcard=200.0.168.0/24}	sat	71640	289239	234948.0	234948.0	234948.0	234.947	234.947	234.947	1158.0	GigabitEthernet0/0	20503.0	48436.0
benningtown	hamilton	IpWildcardIpSpace{ipWildcard=200.0.190.0/24}	sat	53128	292290	196267.0	196267.0	196267.0	196.266	196.266	196.266	1020.0	GigabitEthernet0/0	20503.0	48436.0
burdett	corning	IpWildcardIpSpace{ipWildcard=200.0.119.0/24}	sat	69833	325734	273025.0	273025.0	273025.0	273.024	273.024	273.024	1093.0	GigabitEthernet0/0	20503.0	48436.0
zurich	sonipat	IpWildcardIpSpace{ipWildcard=200.1.209.0/24}	sat	56274	319392	162893.0	162893.0	162893.0	162.892	162.892	162.892	1051.0	GigabitEthernet0/0	20503.0	48436.0
allahabad	lucknow	IpWildcardIpSpace{ipWildcard=200.1.11.0/24}	sat	57538	285362	202103.0	202103.0	202103.0	202.101	202.101	202.101	1031.0	GigabitEthernet0/0	20503.0	48436.0
altmar	cologne	IpWildcardIpSpace{ipWildcard=200.0.114.0/24}	sat	62373	320662	217615.0	217615.0	217615.0	217.613	217.613	217.613	1022.0	GigabitEthernet0/0	20503.0	48436.0
nodeidgg123	salamanca	IpWildcardIpSpace{ipWildcard=200.1.186.0/24}	sat	63110	286690	221211.0	221211.0	221211.0	221.21	221.21	221.21	1031.0	GigabitEthernet0/0	20503.0	48436.0
brescia	wardha	IpWildcardIpSpace{ipWildcard=200.2.5.0/24}	sat	56386	269625	258384.0	258384.0	258384.0	258.383	258.383	258.383	1159.0	GigabitEthernet0/0	20503.0	48436.0
