srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
bristolidhh150	newttyork	IpWildcardIpSpace{ipWildcard=200.1.67.0/24}	sat	516	18141	9922.0	9922.0	9922.0	9.92	9.92	9.92	1306.0	GigabitEthernet0/0	21577.0	50586.0
savannah	norfolk	IpWildcardIpSpace{ipWildcard=200.1.111.0/24}	sat	80	6906	5955.0	5955.0	5955.0	5.954	5.954	5.954	1161.0	GigabitEthernet0/0	21577.0	50586.0
memphis	stttpollen	IpWildcardIpSpace{ipWildcard=200.1.214.0/24}	sat	97	7710	5636.0	5636.0	5636.0	5.635	5.635	5.635	1079.0	GigabitEthernet0/0	21577.0	50586.0
putnamttvalley	elmira	IpWildcardIpSpace{ipWildcard=200.0.146.0/24}	sat	62	3198	5313.0	5313.0	5313.0	5.312	5.312	5.312	1158.0	GigabitEthernet0/0	21577.0	50586.0
chandrapur	nodeidgh97	IpWildcardIpSpace{ipWildcard=200.1.101.0/24}	sat	624	14299	7491.0	7491.0	7491.0	7.491	7.491	7.491	1043.0	GigabitEthernet0/0	21577.0	50586.0
bari	gaya	IpWildcardIpSpace{ipWildcard=200.0.168.0/24}	sat	53	2658	4991.0	4991.0	4991.0	4.99	4.99	4.99	1066.0	GigabitEthernet0/0	21577.0	50586.0
benningtown	hamilton	IpWildcardIpSpace{ipWildcard=200.0.190.0/24}	sat	174	13009	8371.0	8371.0	8371.0	8.37	8.37	8.37	1057.0	GigabitEthernet0/0	21577.0	50586.0
burdett	corning	IpWildcardIpSpace{ipWildcard=200.0.119.0/24}	sat	1403	36368	14101.0	14101.0	14101.0	14.1	14.1	14.1	1102.0	GigabitEthernet0/0	21577.0	50586.0
zurich	sonipat	IpWildcardIpSpace{ipWildcard=200.1.209.0/24}	sat	61	3522	5805.0	5805.0	5805.0	5.805	5.805	5.805	1099.0	GigabitEthernet0/0	21577.0	50586.0
allahabad	lucknow	IpWildcardIpSpace{ipWildcard=200.1.11.0/24}	sat	97	6776	5960.0	5960.0	5960.0	5.96	5.96	5.96	1212.0	GigabitEthernet0/0	21577.0	50586.0
altmar	cologne	IpWildcardIpSpace{ipWildcard=200.0.114.0/24}	sat	94	5102	5840.0	5840.0	5840.0	5.839	5.839	5.839	1189.0	GigabitEthernet0/0	21577.0	50586.0
nodeidgg123	salamanca	IpWildcardIpSpace{ipWildcard=200.1.186.0/24}	sat	115	6552	7414.0	7414.0	7414.0	7.413	7.413	7.413	1024.0	GigabitEthernet0/0	21577.0	50586.0
brescia	wardha	IpWildcardIpSpace{ipWildcard=200.2.5.0/24}	sat	68	7098	7608.0	7608.0	7608.0	7.608	7.608	7.608	1025.0	GigabitEthernet0/0	21577.0	50586.0
margaretsville	palermo	IpWildcardIpSpace{ipWildcard=200.1.129.0/24}	sat	200	6927	7417.0	7417.0	7417.0	7.416	7.416	7.416	1010.0	GigabitEthernet0/0	21577.0	50586.0
southttcanaan	gainesville	IpWildcardIpSpace{ipWildcard=200.0.165.0/24}	sat	91	7704	7267.0	7267.0	7267.0	7.266	7.266	7.266	1002.0	GigabitEthernet0/0	21577.0	50586.0
nodeidgh111	dothan	IpWildcardIpSpace{ipWildcard=200.0.139.0/24}	sat	732	15323	9354.0	9354.0	9354.0	9.353	9.353	9.353	1053.0	GigabitEthernet0/0	21577.0	50586.0
mysore	stockholm	IpWildcardIpSpace{ipWildcard=200.1.211.0/24}	sat	315	21631	9512.0	9512.0	9512.0	9.511	9.511	9.511	1013.0	GigabitEthernet0/0	21577.0	50586.0
alexandria	harriman	IpWildcardIpSpace{ipWildcard=200.0.193.0/24}	sat	1363	30791	12065.0	12065.0	12065.0	12.064	12.064	12.064	1172.0	GigabitEthernet0/0	21577.0	50586.0
poitiers	bielbienne	IpWildcardIpSpace{ipWildcard=200.0.62.0/24}	sat	4001	58492	24108.0	24108.0	24108.0	24.106	24.106	24.106	1355.0	GigabitEthernet0/0	21577.0	50586.0
monroeidgh21	raipur	IpWildcardIpSpace{ipWildcard=200.1.162.0/24}	sat	58	3803	5015.0	5015.0	5015.0	5.014	5.014	5.014	1133.0	GigabitEthernet0/0	21577.0	50586.0
mobile	tampa	IpWildcardIpSpace{ipWildcard=200.1.222.0/24}	sat	79	5711	5308.0	5308.0	5308.0	5.307	5.307	5.307	1132.0	GigabitEthernet0/0	21577.0	50586.0
sylva	houston	IpWildcardIpSpace{ipWildcard=200.0.206.0/24}	sat	1512	50936	20721.0	20721.0	20721.0	20.72	20.72	20.72	1136.0	GigabitEthernet0/0	21577.0	50586.0
valsad	goa	IpWildcardIpSpace{ipWildcard=200.0.176.0/24}	sat	43	4461	5269.0	5269.0	5269.0	5.268	5.268	5.268	1100.0	GigabitEthernet0/0	21577.0	50586.0
canton	jacksonidgh91	IpWildcardIpSpace{ipWildcard=200.0.217.0/24}	sat	65	4820	5685.0	5685.0	5685.0	5.685	5.685	5.685	1298.0	GigabitEthernet0/0	21577.0	50586.0
lakettcharles	nodeidgg92	IpWildcardIpSpace{ipWildcard=200.1.87.0/24}	sat	142	9991	7084.0	7084.0	7084.0	7.084	7.084	7.084	1079.0	GigabitEthernet0/0	21577.0	50586.0
liege	bhopal	IpWildcardIpSpace{ipWildcard=200.0.59.0/24}	sat	57	4507	5219.0	5219.0	5219.0	5.219	5.219	5.219	1040.0	GigabitEthernet0/0	21577.0	50586.0
himmatnagar	nodeidgg31	IpWildcardIpSpace{ipWildcard=200.1.83.0/24}	sat	473	27316	10385.0	10385.0	10385.0	10.383	10.383	10.383	1025.0	GigabitEthernet0/0	21577.0	50586.0
brussels	genova	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	sat	55	2999	5417.0	5417.0	5417.0	5.416	5.416	5.416	1040.0	GigabitEthernet0/0	21577.0	50586.0
dijon	raleigh	IpWildcardIpSpace{ipWildcard=200.1.164.0/24}	sat	78	10078	6431.0	6431.0	6431.0	6.431	6.431	6.431	1011.0	GigabitEthernet0/0	21577.0	50586.0
newnah	gloversville	IpWildcardIpSpace{ipWildcard=200.0.175.0/24}	sat	70	5438	5132.0	5132.0	5132.0	5.129	5.129	5.129	1393.0	GigabitEthernet0/0	21577.0	50586.0
ludhiana	manchester	IpWildcardIpSpace{ipWildcard=200.1.22.0/24}	sat	996	18112	8683.0	8683.0	8683.0	8.682	8.682	8.682	1115.0	GigabitEthernet0/0	21577.0	50586.0
rimini	nodeidgg30	IpWildcardIpSpace{ipWildcard=200.1.82.0/24}	sat	201	8942	6990.0	6990.0	6990.0	6.989	6.989	6.989	1008.0	GigabitEthernet0/0	21577.0	50586.0
callicut	zug	IpWildcardIpSpace{ipWildcard=200.2.23.0/24}	sat	67	4102	5887.0	5887.0	5887.0	5.886	5.886	5.886	1000.0	GigabitEthernet0/0	21577.0	50586.0
akola	meerut	IpWildcardIpSpace{ipWildcard=200.1.30.0/24}	sat	71	5076	5748.0	5748.0	5748.0	5.748	5.748	5.748	990.0	GigabitEthernet0/0	21577.0	50586.0
barreidgg104	chazy	IpWildcardIpSpace{ipWildcard=200.0.104.0/24}	sat	70	3605	5684.0	5684.0	5684.0	5.683	5.683	5.683	1037.0	GigabitEthernet0/0	21577.0	50586.0
nodeidgg22	dhar	IpWildcardIpSpace{ipWildcard=200.0.134.0/24}	sat	32	2024	5416.0	5416.0	5416.0	5.415	5.415	5.415	3451.0	GigabitEthernet0/0	21577.0	50586.0
wilmington	anderlecht	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	4982	98983	62466.0	62466.0	62466.0	62.465	62.465	62.465	969.0	GigabitEthernet0/0	21577.0	50586.0
allepey	winooski	IpWildcardIpSpace{ipWildcard=200.2.18.0/24}	sat	464	21429	8426.0	8426.0	8426.0	8.425	8.425	8.425	1054.0	GigabitEthernet0/0	21577.0	50586.0
chicago	rowland	IpWildcardIpSpace{ipWildcard=200.1.183.0/24}	sat	1352	20536	10210.0	10210.0	10210.0	10.208	10.208	10.208	1448.0	GigabitEthernet0/0	21577.0	50586.0
bokaro	nasik	IpWildcardIpSpace{ipWildcard=200.1.59.0/24}	sat	132	13764	7351.0	7351.0	7351.0	7.351	7.351	7.351	1122.0	GigabitEthernet0/0	21577.0	50586.0
nodeidgg24	borgomanero	IpWildcardIpSpace{ipWildcard=200.0.71.0/24}	sat	263	7904	6689.0	6689.0	6689.0	6.689	6.689	6.689	1173.0	GigabitEthernet0/0	21577.0	50586.0
jhansi	ogdensburg	IpWildcardIpSpace{ipWildcard=200.1.118.0/24}	sat	99	7336	6255.0	6255.0	6255.0	6.254	6.254	6.254	1009.0	GigabitEthernet0/0	21577.0	50586.0
lugano	utica	IpWildcardIpSpace{ipWildcard=200.1.243.0/24}	sat	94	7589	6297.0	6297.0	6297.0	6.296	6.296	6.296	1041.0	GigabitEthernet0/0	21577.0	50586.0
jacksonville	damoh	IpWildcardIpSpace{ipWildcard=200.0.126.0/24}	sat	434	24830	8799.0	8799.0	8799.0	8.798	8.798	8.798	1088.0	GigabitEthernet0/0	21577.0	50586.0
meridian	firenze	IpWildcardIpSpace{ipWildcard=200.0.157.0/24}	sat	765	17767	9291.0	9291.0	9291.0	9.29	9.29	9.29	1050.0	GigabitEthernet0/0	21577.0	50586.0
reading	newnah	IpWildcardIpSpace{ipWildcard=200.1.64.0/24}	sat	263	14741	8457.0	8457.0	8457.0	8.456	8.456	8.456	1022.0	GigabitEthernet0/0	21577.0	50586.0
raichur	belgaum	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	sat	187	18715	8118.0	8118.0	8118.0	8.117	8.117	8.117	1083.0	GigabitEthernet0/0	21577.0	50586.0
newport	alexanderttcity	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	128	8551	6160.0	6160.0	6160.0	6.159	6.159	6.159	1041.0	GigabitEthernet0/0	21577.0	50586.0
kanchipuram	geneve	IpWildcardIpSpace{ipWildcard=200.0.170.0/24}	sat	1949	49911	16208.0	16208.0	16208.0	16.207	16.207	16.207	980.0	GigabitEthernet0/0	21577.0	50586.0
ghaziabad	rochester	IpWildcardIpSpace{ipWildcard=200.1.175.0/24}	sat	64	4042	5570.0	5570.0	5570.0	5.569	5.569	5.569	1086.0	GigabitEthernet0/0	21577.0	50586.0
