srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
bristolidhh150	newttyork	IpWildcardIpSpace{ipWildcard=200.1.67.0/24}	sat	2093	176805	26308.0	26308.0	26308.0	26.307	26.307	26.307	1174.0	GigabitEthernet0/0	21577.0	49369.0
savannah	norfolk	IpWildcardIpSpace{ipWildcard=200.1.111.0/24}	sat	1050	368774	35125.0	35125.0	35125.0	35.124	35.124	35.124	1150.0	GigabitEthernet0/0	21577.0	49369.0
memphis	stttpollen	IpWildcardIpSpace{ipWildcard=200.1.214.0/24}	sat	791	251968	27012.0	27012.0	27012.0	27.011	27.011	27.011	1084.0	GigabitEthernet0/0	21577.0	49369.0
putnamttvalley	elmira	IpWildcardIpSpace{ipWildcard=200.0.146.0/24}	sat	1498	418998	44546.0	44546.0	44546.0	44.545	44.545	44.545	1544.0	GigabitEthernet0/0	21577.0	49369.0
chandrapur	nodeidgh97	IpWildcardIpSpace{ipWildcard=200.1.101.0/24}	sat	1710	574353	45683.0	45683.0	45683.0	45.682	45.682	45.682	1220.0	GigabitEthernet0/0	21577.0	49369.0
bari	gaya	IpWildcardIpSpace{ipWildcard=200.0.168.0/24}	sat	2269	450190	40764.0	40764.0	40764.0	40.763	40.763	40.763	1057.0	GigabitEthernet0/0	21577.0	49369.0
benningtown	hamilton	IpWildcardIpSpace{ipWildcard=200.0.190.0/24}	sat	2906	280785	47135.0	47135.0	47135.0	47.134	47.134	47.134	1048.0	GigabitEthernet0/0	21577.0	49369.0
burdett	corning	IpWildcardIpSpace{ipWildcard=200.0.119.0/24}	sat	4947	1080152	96954.0	96954.0	96954.0	96.953	96.953	96.953	1050.0	GigabitEthernet0/0	21577.0	49369.0
zurich	sonipat	IpWildcardIpSpace{ipWildcard=200.1.209.0/24}	sat	804	163071	23552.0	23552.0	23552.0	23.551	23.551	23.551	1030.0	GigabitEthernet0/0	21577.0	49369.0
allahabad	lucknow	IpWildcardIpSpace{ipWildcard=200.1.11.0/24}	sat	1361	192889	18178.0	18178.0	18178.0	18.178	18.178	18.178	1138.0	GigabitEthernet0/0	21577.0	49369.0
altmar	cologne	IpWildcardIpSpace{ipWildcard=200.0.114.0/24}	sat	1803	815594	63942.0	63942.0	63942.0	63.941	63.941	63.941	1147.0	GigabitEthernet0/0	21577.0	49369.0
nodeidgg123	salamanca	IpWildcardIpSpace{ipWildcard=200.1.186.0/24}	sat	1924	583761	51844.0	51844.0	51844.0	51.843	51.843	51.843	1142.0	GigabitEthernet0/0	21577.0	49369.0
brescia	wardha	IpWildcardIpSpace{ipWildcard=200.2.5.0/24}	sat	661	164410	26156.0	26156.0	26156.0	26.155	26.155	26.155	1125.0	GigabitEthernet0/0	21577.0	49369.0
margaretsville	palermo	IpWildcardIpSpace{ipWildcard=200.1.129.0/24}	sat	1152	265578	49259.0	49259.0	49259.0	49.259	49.259	49.259	998.0	GigabitEthernet0/0	21577.0	49369.0
southttcanaan	gainesville	IpWildcardIpSpace{ipWildcard=200.0.165.0/24}	sat	1070	387108	30294.0	30294.0	30294.0	30.294	30.294	30.294	1177.0	GigabitEthernet0/0	21577.0	49369.0
nodeidgh111	dothan	IpWildcardIpSpace{ipWildcard=200.0.139.0/24}	sat	3549	562084	62005.0	62005.0	62005.0	62.004	62.004	62.004	1184.0	GigabitEthernet0/0	21577.0	49369.0
mysore	stockholm	IpWildcardIpSpace{ipWildcard=200.1.211.0/24}	sat	1410	492970	37345.0	37345.0	37345.0	37.344	37.344	37.344	1152.0	GigabitEthernet0/0	21577.0	49369.0
alexandria	harriman	IpWildcardIpSpace{ipWildcard=200.0.193.0/24}	sat	858	274903	36649.0	36649.0	36649.0	36.649	36.649	36.649	1070.0	GigabitEthernet0/0	21577.0	49369.0
poitiers	bielbienne	IpWildcardIpSpace{ipWildcard=200.0.62.0/24}	sat	640	171113	21782.0	21782.0	21782.0	21.782	21.782	21.782	1364.0	GigabitEthernet0/0	21577.0	49369.0
