srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
bristolidhh150	newttyork	IpWildcardIpSpace{ipWildcard=200.1.67.0/24}	sat	49348	271164	160153.0	160153.0	160153.0	160.151	160.151	160.151	1196.0	GigabitEthernet0/0	21577.0	50586.0
savannah	norfolk	IpWildcardIpSpace{ipWildcard=200.1.111.0/24}	sat	51080	258102	172374.0	172374.0	172374.0	172.373	172.373	172.373	1086.0	GigabitEthernet0/0	21577.0	50586.0
memphis	stttpollen	IpWildcardIpSpace{ipWildcard=200.1.214.0/24}	sat	44059	239787	122115.0	122115.0	122115.0	122.115	122.115	122.115	1058.0	GigabitEthernet0/0	21577.0	50586.0
putnamttvalley	elmira	IpWildcardIpSpace{ipWildcard=200.0.146.0/24}	sat	73810	304233	203312.0	203312.0	203312.0	203.311	203.311	203.311	1535.0	GigabitEthernet0/0	21577.0	50586.0
chandrapur	nodeidgh97	IpWildcardIpSpace{ipWildcard=200.1.101.0/24}	sat	51580	270762	186723.0	186723.0	186723.0	186.723	186.723	186.723	1531.0	GigabitEthernet0/0	21577.0	50586.0
bari	gaya	IpWildcardIpSpace{ipWildcard=200.0.168.0/24}	sat	54122	270402	175639.0	175639.0	175639.0	175.639	175.639	175.639	1063.0	GigabitEthernet0/0	21577.0	50586.0
benningtown	hamilton	IpWildcardIpSpace{ipWildcard=200.0.190.0/24}	sat	38115	233891	138703.0	138703.0	138703.0	138.702	138.702	138.702	1056.0	GigabitEthernet0/0	21577.0	50586.0
burdett	corning	IpWildcardIpSpace{ipWildcard=200.0.119.0/24}	sat	53781	291990	210224.0	210224.0	210224.0	210.223	210.223	210.223	3175.0	GigabitEthernet0/0	21577.0	50586.0
zurich	sonipat	IpWildcardIpSpace{ipWildcard=200.1.209.0/24}	sat	44111	245974	140147.0	140147.0	140147.0	140.147	140.147	140.147	1010.0	GigabitEthernet0/0	21577.0	50586.0
allahabad	lucknow	IpWildcardIpSpace{ipWildcard=200.1.11.0/24}	sat	45877	251641	159004.0	159004.0	159004.0	159.002	159.002	159.002	1212.0	GigabitEthernet0/0	21577.0	50586.0
altmar	cologne	IpWildcardIpSpace{ipWildcard=200.0.114.0/24}	sat	63354	300065	209494.0	209494.0	209494.0	209.493	209.493	209.493	1201.0	GigabitEthernet0/0	21577.0	50586.0
nodeidgg123	salamanca	IpWildcardIpSpace{ipWildcard=200.1.186.0/24}	sat	62019	267313	213714.0	213714.0	213714.0	213.713	213.713	213.713	1023.0	GigabitEthernet0/0	21577.0	50586.0
brescia	wardha	IpWildcardIpSpace{ipWildcard=200.2.5.0/24}	sat	56225	273688	202442.0	202442.0	202442.0	202.441	202.441	202.441	1035.0	GigabitEthernet0/0	21577.0	50586.0
margaretsville	palermo	IpWildcardIpSpace{ipWildcard=200.1.129.0/24}	sat	37843	237413	109577.0	109577.0	109577.0	109.576	109.576	109.576	1026.0	GigabitEthernet0/0	21577.0	50586.0
southttcanaan	gainesville	IpWildcardIpSpace{ipWildcard=200.0.165.0/24}	sat	51267	242758	157698.0	157698.0	157698.0	157.696	157.696	157.696	1009.0	GigabitEthernet0/0	21577.0	50586.0
nodeidgh111	dothan	IpWildcardIpSpace{ipWildcard=200.0.139.0/24}	sat	48026	235072	168531.0	168531.0	168531.0	168.53	168.53	168.53	1041.0	GigabitEthernet0/0	21577.0	50586.0
mysore	stockholm	IpWildcardIpSpace{ipWildcard=200.1.211.0/24}	sat	47638	249881	183430.0	183430.0	183430.0	183.429	183.429	183.429	1181.0	GigabitEthernet0/0	21577.0	50586.0
alexandria	harriman	IpWildcardIpSpace{ipWildcard=200.0.193.0/24}	sat	69519	342385	270133.0	270133.0	270133.0	270.132	270.132	270.132	1019.0	GigabitEthernet0/0	21577.0	50586.0
poitiers	bielbienne	IpWildcardIpSpace{ipWildcard=200.0.62.0/24}	sat	45630	251865	143279.0	143279.0	143279.0	143.278	143.278	143.278	1203.0	GigabitEthernet0/0	21577.0	50586.0
monroeidgh21	raipur	IpWildcardIpSpace{ipWildcard=200.1.162.0/24}	sat	54638	301426	178323.0	178323.0	178323.0	178.322	178.322	178.322	1105.0	GigabitEthernet0/0	21577.0	50586.0
mobile	tampa	IpWildcardIpSpace{ipWildcard=200.1.222.0/24}	sat	80892	314572	238902.0	238902.0	238902.0	238.901	238.901	238.901	1647.0	GigabitEthernet0/0	21577.0	50586.0
sylva	houston	IpWildcardIpSpace{ipWildcard=200.0.206.0/24}	sat	57276	267345	160676.0	160676.0	160676.0	160.675	160.675	160.675	1418.0	GigabitEthernet0/0	21577.0	50586.0
valsad	goa	IpWildcardIpSpace{ipWildcard=200.0.176.0/24}	sat	60049	283697	158186.0	158186.0	158186.0	158.185	158.185	158.185	1088.0	GigabitEthernet0/0	21577.0	50586.0
canton	jacksonidgh91	IpWildcardIpSpace{ipWildcard=200.0.217.0/24}	sat	67040	290253	240221.0	240221.0	240221.0	240.22	240.22	240.22	2105.0	GigabitEthernet0/0	21577.0	50586.0
lakettcharles	nodeidgg92	IpWildcardIpSpace{ipWildcard=200.1.87.0/24}	sat	54104	280273	191524.0	191524.0	191524.0	191.522	191.522	191.522	1064.0	GigabitEthernet0/0	21577.0	50586.0
liege	bhopal	IpWildcardIpSpace{ipWildcard=200.0.59.0/24}	sat	59173	253887	221315.0	221315.0	221315.0	221.314	221.314	221.314	1052.0	GigabitEthernet0/0	21577.0	50586.0
himmatnagar	nodeidgg31	IpWildcardIpSpace{ipWildcard=200.1.83.0/24}	sat	45766	257064	161059.0	161059.0	161059.0	161.058	161.058	161.058	1020.0	GigabitEthernet0/0	21577.0	50586.0
brussels	genova	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	sat	59708	279169	193817.0	193817.0	193817.0	193.412	193.412	193.412	1055.0	GigabitEthernet0/0	21577.0	50586.0
dijon	raleigh	IpWildcardIpSpace{ipWildcard=200.1.164.0/24}	sat	52757	278421	178184.0	178184.0	178184.0	178.183	178.183	178.183	999.0	GigabitEthernet0/0	21577.0	50586.0
newnah	gloversville	IpWildcardIpSpace{ipWildcard=200.0.175.0/24}	sat	61338	283225	200217.0	200217.0	200217.0	200.216	200.216	200.216	1300.0	GigabitEthernet0/0	21577.0	50586.0
