srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
bristolidhh150	newttyork	IpWildcardIpSpace{ipWildcard=200.1.67.0/24}	unsat	549232	6132152	2999765.0	2999765.0	2999765.0	2999.764	2999.764	2999.764	1158.0	GigabitEthernet0/0	21577.0	50586.0
savannah	norfolk	IpWildcardIpSpace{ipWildcard=200.1.111.0/24}	unsat	99500	1248055	801283.0	801283.0	801283.0	801.281	801.281	801.281	1183.0	GigabitEthernet0/0	21577.0	50586.0
memphis	stttpollen	IpWildcardIpSpace{ipWildcard=200.1.214.0/24}	timeout	523709	7883967	3600178.0	3600178.0	3600178.0	3600.178	3600.178	3600.178	1239.0	GigabitEthernet0/0	21577.0	50586.0
putnamttvalley	elmira	IpWildcardIpSpace{ipWildcard=200.0.146.0/24}	unsat	258431	2870214	1381872.0	1381872.0	1381872.0	1381.871	1381.871	1381.871	1125.0	GigabitEthernet0/0	21577.0	50586.0
chandrapur	nodeidgh97	IpWildcardIpSpace{ipWildcard=200.1.101.0/24}	unsat	183312	2148449	974086.0	974086.0	974086.0	974.085	974.085	974.085	1118.0	GigabitEthernet0/0	21577.0	50586.0
bari	gaya	IpWildcardIpSpace{ipWildcard=200.0.168.0/24}	timeout	489584	7436599	3600260.0	3600260.0	3600260.0	3600.259	3600.259	3600.259	1074.0	GigabitEthernet0/0	21577.0	50586.0
benningtown	hamilton	IpWildcardIpSpace{ipWildcard=200.0.190.0/24}	unsat	248039	2753707	1312713.0	1312713.0	1312713.0	1312.713	1312.713	1312.713	1150.0	GigabitEthernet0/0	21577.0	50586.0
burdett	corning	IpWildcardIpSpace{ipWildcard=200.0.119.0/24}	unsat	135714	1789570	854359.0	854359.0	854359.0	854.359	854.359	854.359	1166.0	GigabitEthernet0/0	21577.0	50586.0
zurich	sonipat	IpWildcardIpSpace{ipWildcard=200.1.209.0/24}	timeout	497724	6238717	3600168.0	3600168.0	3600168.0	3600.168	3600.168	3600.168	1118.0	GigabitEthernet0/0	21577.0	50586.0
allahabad	lucknow	IpWildcardIpSpace{ipWildcard=200.1.11.0/24}	timeout	506096	7374705	3600231.0	3600231.0	3600231.0	3600.23	3600.23	3600.23	1174.0	GigabitEthernet0/0	21577.0	50586.0
altmar	cologne	IpWildcardIpSpace{ipWildcard=200.0.114.0/24}	unsat	527309	6670824	3275670.0	3275670.0	3275670.0	3275.67	3275.67	3275.67	1173.0	GigabitEthernet0/0	21577.0	50586.0
nodeidgg123	salamanca	IpWildcardIpSpace{ipWildcard=200.1.186.0/24}	unsat	363126	4475923	2487334.0	2487334.0	2487334.0	2487.333	2487.333	2487.333	1063.0	GigabitEthernet0/0	21577.0	50586.0
brescia	wardha	IpWildcardIpSpace{ipWildcard=200.2.5.0/24}	unsat	195859	2366813	1333836.0	1333836.0	1333836.0	1333.836	1333.836	1333.836	1127.0	GigabitEthernet0/0	21577.0	50586.0
margaretsville	palermo	IpWildcardIpSpace{ipWildcard=200.1.129.0/24}	timeout	728763	6916810	3600202.0	3600202.0	3600202.0	3600.201	3600.201	3600.201	1161.0	GigabitEthernet0/0	21577.0	50586.0
southttcanaan	gainesville	IpWildcardIpSpace{ipWildcard=200.0.165.0/24}	unsat	323266	4122606	1915559.0	1915559.0	1915559.0	1915.559	1915.559	1915.559	1014.0	GigabitEthernet0/0	21577.0	50586.0
