srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
bristolidhh150	newttyork	IpWildcardIpSpace{ipWildcard=200.1.67.0/24}	sat	686	35693	4858.0	4858.0	4858.0	4.857	4.857	4.857	1094.0	GigabitEthernet0/0	21577.0	49369.0
savannah	norfolk	IpWildcardIpSpace{ipWildcard=200.1.111.0/24}	sat	684	32852	5332.0	5332.0	5332.0	5.332	5.332	5.332	1082.0	GigabitEthernet0/0	21577.0	49369.0
memphis	stttpollen	IpWildcardIpSpace{ipWildcard=200.1.214.0/24}	sat	678	182515	20460.0	20460.0	20460.0	20.459	20.459	20.459	1091.0	GigabitEthernet0/0	21577.0	49369.0
putnamttvalley	elmira	IpWildcardIpSpace{ipWildcard=200.0.146.0/24}	sat	682	46055	5363.0	5363.0	5363.0	5.362	5.362	5.362	1032.0	GigabitEthernet0/0	21577.0	49369.0
chandrapur	nodeidgh97	IpWildcardIpSpace{ipWildcard=200.1.101.0/24}	sat	678	180247	27929.0	27929.0	27929.0	27.508	27.508	27.508	1096.0	GigabitEthernet0/0	21577.0	49369.0
bari	gaya	IpWildcardIpSpace{ipWildcard=200.0.168.0/24}	sat	685	43683	5430.0	5430.0	5430.0	5.43	5.43	5.43	1079.0	GigabitEthernet0/0	21577.0	49369.0
benningtown	hamilton	IpWildcardIpSpace{ipWildcard=200.0.190.0/24}	sat	682	47789	5991.0	5991.0	5991.0	5.99	5.99	5.99	1023.0	GigabitEthernet0/0	21577.0	49369.0
burdett	corning	IpWildcardIpSpace{ipWildcard=200.0.119.0/24}	sat	686	45336	5430.0	5430.0	5430.0	5.43	5.43	5.43	1116.0	GigabitEthernet0/0	21577.0	49369.0
zurich	sonipat	IpWildcardIpSpace{ipWildcard=200.1.209.0/24}	sat	678	183638	20823.0	20823.0	20823.0	20.822	20.822	20.822	1132.0	GigabitEthernet0/0	21577.0	49369.0
allahabad	lucknow	IpWildcardIpSpace{ipWildcard=200.1.11.0/24}	sat	71515	1700770	391130.0	391130.0	391130.0	391.129	391.129	391.129	1178.0	GigabitEthernet0/0	21577.0	49369.0
altmar	cologne	IpWildcardIpSpace{ipWildcard=200.0.114.0/24}	sat	683	24249	5926.0	5926.0	5926.0	5.925	5.925	5.925	1160.0	GigabitEthernet0/0	21577.0	49369.0
nodeidgg123	salamanca	IpWildcardIpSpace{ipWildcard=200.1.186.0/24}	sat	679	38700	6635.0	6635.0	6635.0	6.635	6.635	6.635	1042.0	GigabitEthernet0/0	21577.0	49369.0
brescia	wardha	IpWildcardIpSpace{ipWildcard=200.2.5.0/24}	sat	693	70976	6716.0	6716.0	6716.0	6.716	6.716	6.716	1008.0	GigabitEthernet0/0	21577.0	49369.0
margaretsville	palermo	IpWildcardIpSpace{ipWildcard=200.1.129.0/24}	sat	681	78485	6759.0	6759.0	6759.0	6.758	6.758	6.758	1007.0	GigabitEthernet0/0	21577.0	49369.0
southttcanaan	gainesville	IpWildcardIpSpace{ipWildcard=200.0.165.0/24}	sat	679	31821	6399.0	6399.0	6399.0	6.398	6.398	6.398	1010.0	GigabitEthernet0/0	21577.0	49369.0
nodeidgh111	dothan	IpWildcardIpSpace{ipWildcard=200.0.139.0/24}	sat	678	180554	24150.0	24150.0	24150.0	24.149	24.149	24.149	1020.0	GigabitEthernet0/0	21577.0	49369.0
mysore	stockholm	IpWildcardIpSpace{ipWildcard=200.1.211.0/24}	sat	678	180183	27741.0	27741.0	27741.0	27.741	27.741	27.741	1064.0	GigabitEthernet0/0	21577.0	49369.0
alexandria	harriman	IpWildcardIpSpace{ipWildcard=200.0.193.0/24}	sat	678	179699	26573.0	26573.0	26573.0	26.573	26.573	26.573	1207.0	GigabitEthernet0/0	21577.0	49369.0
poitiers	bielbienne	IpWildcardIpSpace{ipWildcard=200.0.62.0/24}	sat	691	44755	4946.0	4946.0	4946.0	4.946	4.946	4.946	1107.0	GigabitEthernet0/0	21577.0	49369.0
monroeidgh21	raipur	IpWildcardIpSpace{ipWildcard=200.1.162.0/24}	timeout	803197	14830570	3600163.0	3600163.0	3600163.0	3600.162	3600.162	3600.162	1132.0	GigabitEthernet0/0	21577.0	49369.0
mobile	tampa	IpWildcardIpSpace{ipWildcard=200.1.222.0/24}	timeout	1266104	23766543	3600156.0	3600156.0	3600156.0	3600.155	3600.155	3600.155	1134.0	GigabitEthernet0/0	21577.0	49369.0
sylva	houston	IpWildcardIpSpace{ipWildcard=200.0.206.0/24}	sat	678	181992	20785.0	20785.0	20785.0	20.784	20.784	20.784	1122.0	GigabitEthernet0/0	21577.0	49369.0
valsad	goa	IpWildcardIpSpace{ipWildcard=200.0.176.0/24}	sat	678	179417	21692.0	21692.0	21692.0	21.691	21.691	21.691	1095.0	GigabitEthernet0/0	21577.0	49369.0
canton	jacksonidgh91	IpWildcardIpSpace{ipWildcard=200.0.217.0/24}	sat	677	24926	5150.0	5150.0	5150.0	5.15	5.15	5.15	1076.0	GigabitEthernet0/0	21577.0	49369.0
lakettcharles	nodeidgg92	IpWildcardIpSpace{ipWildcard=200.1.87.0/24}	sat	685	45577	5338.0	5338.0	5338.0	5.337	5.337	5.337	1076.0	GigabitEthernet0/0	21577.0	49369.0
liege	bhopal	IpWildcardIpSpace{ipWildcard=200.0.59.0/24}	sat	681	62661	5541.0	5541.0	5541.0	5.54	5.54	5.54	1179.0	GigabitEthernet0/0	21577.0	49369.0
himmatnagar	nodeidgg31	IpWildcardIpSpace{ipWildcard=200.1.83.0/24}	sat	702	43665	5491.0	5491.0	5491.0	5.491	5.491	5.491	1026.0	GigabitEthernet0/0	21577.0	49369.0
brussels	genova	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	sat	680	78367	5826.0	5826.0	5826.0	5.825	5.825	5.825	3435.0	GigabitEthernet0/0	21577.0	49369.0
dijon	raleigh	IpWildcardIpSpace{ipWildcard=200.1.164.0/24}	timeout	785279	13593143	3600173.0	3600173.0	3600173.0	3600.172	3600.172	3600.172	1038.0	GigabitEthernet0/0	21577.0	49369.0
newnah	gloversville	IpWildcardIpSpace{ipWildcard=200.0.175.0/24}	sat	680	28412	4861.0	4861.0	4861.0	4.861	4.861	4.861	1172.0	GigabitEthernet0/0	21577.0	49369.0
