srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nancy	bordeaux	IpWildcardIpSpace{ipWildcard=200.0.1.0/24}	sat	309	1514	163.0	163.0	163.0	0.163	0.163	0.163	108.0	GigabitEthernet0/0	1413.0	3291.0
nodeid13	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	346	1958	185.0	185.0	185.0	0.184	0.184	0.184	78.0	GigabitEthernet0/0	1413.0	3291.0
cadarache	rouen	IpWildcardIpSpace{ipWildcard=200.0.30.0/24}	sat	324	1541	194.0	194.0	194.0	0.193	0.193	0.193	75.0	GigabitEthernet0/0	1413.0	3291.0
nodeid13	paris	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	563	2143	206.0	206.0	206.0	0.205	0.205	0.205	94.0	GigabitEthernet0/0	1413.0	3291.0
cadarache	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	393	1611	185.0	185.0	185.0	0.184	0.184	0.184	77.0	GigabitEthernet0/0	1413.0	3291.0
corte	compiegne	IpWildcardIpSpace{ipWildcard=200.0.6.0/24}	sat	426	1647	200.0	200.0	200.0	0.2	0.2	0.2	73.0	GigabitEthernet0/0	1413.0	3291.0
internetttmondial	clermontferrand	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	sat	318	1539	182.0	182.0	182.0	0.181	0.181	0.181	76.0	GigabitEthernet0/0	1413.0	3291.0
grenoble	orleans	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	526	1918	234.0	234.0	234.0	0.234	0.234	0.234	75.0	GigabitEthernet0/0	1413.0	3291.0
dijon	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	335	1524	182.0	182.0	182.0	0.181	0.181	0.181	91.0	GigabitEthernet0/0	1413.0	3291.0
internetttmondial	nancy	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	215	1093	149.0	149.0	149.0	0.148	0.148	0.148	76.0	GigabitEthernet0/0	1413.0	3291.0
peerclermontferrand0	pau	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	374	2107	200.0	200.0	200.0	0.199	0.199	0.199	71.0	GigabitEthernet0/0	1413.0	3291.0
pau	cern	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	sat	354	1883	198.0	198.0	198.0	0.198	0.198	0.198	67.0	GigabitEthernet0/0	1413.0	3291.0
pau	nodeid13	IpWildcardIpSpace{ipWildcard=200.0.22.0/24}	sat	464	1905	207.0	207.0	207.0	0.206	0.206	0.206	71.0	GigabitEthernet0/0	1413.0	3291.0
geant2	lattreunionttnouvellettcaledoniettmayottetttahiti	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	sat	497	1713	206.0	206.0	206.0	0.205	0.205	0.205	68.0	GigabitEthernet0/0	1413.0	3291.0
peerclermontferrand0	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	434	1485	172.0	172.0	172.0	0.171	0.171	0.171	70.0	GigabitEthernet0/0	1413.0	3291.0
rennes	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	362	1777	165.0	165.0	165.0	0.164	0.164	0.164	83.0	GigabitEthernet0/0	1413.0	3291.0
bordeaux	poiters	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	498	2139	238.0	238.0	238.0	0.238	0.238	0.238	85.0	GigabitEthernet0/0	1413.0	3291.0
rennes	nice	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	359	1790	190.0	190.0	190.0	0.189	0.189	0.189	82.0	GigabitEthernet0/0	1413.0	3291.0
lyon	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	298	1161	169.0	169.0	169.0	0.169	0.169	0.169	86.0	GigabitEthernet0/0	1413.0	3291.0
geant2	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	384	1775	195.0	195.0	195.0	0.194	0.194	0.194	100.0	GigabitEthernet0/0	1413.0	3291.0
orleans	nantes	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	573	2382	241.0	241.0	241.0	0.241	0.241	0.241	78.0	GigabitEthernet0/0	1413.0	3291.0
