srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nancy	bordeaux	IpWildcardIpSpace{ipWildcard=200.0.1.0/24}	unsat	407	1567	212.0	212.0	212.0	0.211	0.211	0.211	84.0	GigabitEthernet0/0	1413.0	3291.0
nodeid13	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	unsat	461	1697	246.0	246.0	246.0	0.245	0.245	0.245	78.0	GigabitEthernet0/0	1413.0	3291.0
cadarache	rouen	IpWildcardIpSpace{ipWildcard=200.0.30.0/24}	unsat	515	1664	205.0	205.0	205.0	0.204	0.204	0.204	75.0	GigabitEthernet0/0	1413.0	3291.0
nodeid13	paris	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	unsat	408	1253	199.0	199.0	199.0	0.198	0.198	0.198	93.0	GigabitEthernet0/0	1413.0	3291.0
cadarache	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	unsat	272	1020	169.0	169.0	169.0	0.168	0.168	0.168	79.0	GigabitEthernet0/0	1413.0	3291.0
corte	compiegne	IpWildcardIpSpace{ipWildcard=200.0.6.0/24}	unsat	442	1540	213.0	213.0	213.0	0.212	0.212	0.212	73.0	GigabitEthernet0/0	1413.0	3291.0
internetttmondial	clermontferrand	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	unsat	377	1568	209.0	209.0	209.0	0.209	0.209	0.209	75.0	GigabitEthernet0/0	1413.0	3291.0
grenoble	orleans	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	unsat	463	1760	222.0	222.0	222.0	0.222	0.222	0.222	71.0	GigabitEthernet0/0	1413.0	3291.0
dijon	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	421	1420	193.0	193.0	193.0	0.193	0.193	0.193	87.0	GigabitEthernet0/0	1413.0	3291.0
internetttmondial	nancy	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	unsat	381	1522	191.0	191.0	191.0	0.191	0.191	0.191	73.0	GigabitEthernet0/0	1413.0	3291.0
peerclermontferrand0	pau	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	unsat	381	1284	210.0	210.0	210.0	0.209	0.209	0.209	71.0	GigabitEthernet0/0	1413.0	3291.0
pau	cern	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	unsat	497	1895	228.0	228.0	228.0	0.227	0.227	0.227	70.0	GigabitEthernet0/0	1413.0	3291.0
pau	nodeid13	IpWildcardIpSpace{ipWildcard=200.0.22.0/24}	unsat	385	1788	199.0	199.0	199.0	0.198	0.198	0.198	71.0	GigabitEthernet0/0	1413.0	3291.0
