srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nancy	bordeaux	IpWildcardIpSpace{ipWildcard=200.0.1.0/24}	sat	0	11	89.0	89.0	89.0	0.088	0.088	0.088	86.0	GigabitEthernet0/0	1413.0	3214.0
nodeid13	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	0	47	83.0	83.0	83.0	0.083	0.083	0.083	77.0	GigabitEthernet0/0	1413.0	3214.0
cadarache	rouen	IpWildcardIpSpace{ipWildcard=200.0.30.0/24}	sat	0	47	82.0	82.0	82.0	0.082	0.082	0.082	74.0	GigabitEthernet0/0	1413.0	3214.0
nodeid13	paris	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	220	1015	158.0	158.0	158.0	0.157	0.157	0.157	94.0	GigabitEthernet0/0	1413.0	3214.0
cadarache	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	0	8	84.0	84.0	84.0	0.084	0.084	0.084	79.0	GigabitEthernet0/0	1413.0	3214.0
corte	compiegne	IpWildcardIpSpace{ipWildcard=200.0.6.0/24}	sat	0	47	84.0	84.0	84.0	0.084	0.084	0.084	74.0	GigabitEthernet0/0	1413.0	3214.0
internetttmondial	clermontferrand	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	sat	0	14	83.0	83.0	83.0	0.082	0.082	0.082	74.0	GigabitEthernet0/0	1413.0	3214.0
grenoble	orleans	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	0	47	85.0	85.0	85.0	0.084	0.084	0.084	73.0	GigabitEthernet0/0	1413.0	3214.0
dijon	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	51	254	96.0	96.0	96.0	0.095	0.095	0.095	86.0	GigabitEthernet0/0	1413.0	3214.0
internetttmondial	nancy	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	0	47	84.0	84.0	84.0	0.083	0.083	0.083	74.0	GigabitEthernet0/0	1413.0	3214.0
peerclermontferrand0	pau	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	0	47	84.0	84.0	84.0	0.083	0.083	0.083	71.0	GigabitEthernet0/0	1413.0	3214.0
pau	cern	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	sat	0	47	84.0	84.0	84.0	0.083	0.083	0.083	72.0	GigabitEthernet0/0	1413.0	3214.0
pau	nodeid13	IpWildcardIpSpace{ipWildcard=200.0.22.0/24}	sat	0	16	85.0	85.0	85.0	0.083	0.083	0.083	72.0	GigabitEthernet0/0	1413.0	3214.0
geant2	lattreunionttnouvellettcaledoniettmayottetttahiti	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	sat	0	47	84.0	84.0	84.0	0.083	0.083	0.083	73.0	GigabitEthernet0/0	1413.0	3214.0
peerclermontferrand0	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	0	47	84.0	84.0	84.0	0.083	0.083	0.083	70.0	GigabitEthernet0/0	1413.0	3214.0
rennes	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	2338	8372	695.0	695.0	695.0	0.695	0.695	0.695	84.0	GigabitEthernet0/0	1413.0	3214.0
bordeaux	poiters	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	566	2073	266.0	266.0	266.0	0.265	0.265	0.265	105.0	GigabitEthernet0/0	1413.0	3214.0
rennes	nice	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	0	47	91.0	91.0	91.0	0.09	0.09	0.09	85.0	GigabitEthernet0/0	1413.0	3214.0
lyon	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	0	47	85.0	85.0	85.0	0.085	0.085	0.085	84.0	GigabitEthernet0/0	1413.0	3214.0
geant2	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	1698	4777	619.0	619.0	619.0	0.618	0.618	0.618	94.0	GigabitEthernet0/0	1413.0	3214.0
orleans	nantes	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	0	47	85.0	85.0	85.0	0.084	0.084	0.084	75.0	GigabitEthernet0/0	1413.0	3214.0
nancy	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	0	8	83.0	83.0	83.0	0.083	0.083	0.083	83.0	GigabitEthernet0/0	1413.0	3214.0
compiegne	cadarache	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	0	47	84.0	84.0	84.0	0.084	0.084	0.084	80.0	GigabitEthernet0/0	1413.0	3214.0
caen	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	0	8	85.0	85.0	85.0	0.085	0.085	0.085	91.0	GigabitEthernet0/0	1413.0	3214.0
clermontferrand	nice	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	0	47	86.0	86.0	86.0	0.085	0.085	0.085	77.0	GigabitEthernet0/0	1413.0	3214.0
nancy	internetttmondial	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	0	47	83.0	83.0	83.0	0.082	0.082	0.082	73.0	GigabitEthernet0/0	1413.0	3214.0
poiters	peerclermontferrand0	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	0	48	89.0	89.0	89.0	0.087	0.087	0.087	84.0	GigabitEthernet0/0	1413.0	3214.0
grenoble	geant2	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	0	47	86.0	86.0	86.0	0.085	0.085	0.085	73.0	GigabitEthernet0/0	1413.0	3214.0
caen	besancon	IpWildcardIpSpace{ipWildcard=200.0.0.0/24}	sat	0	9	84.0	84.0	84.0	0.083	0.083	0.083	71.0	GigabitEthernet0/0	1413.0	3214.0
nantes	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	0	47	83.0	83.0	83.0	0.082	0.082	0.082	70.0	GigabitEthernet0/0	1413.0	3214.0
orleans	peerclermontferrand0	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	0	48	84.0	84.0	84.0	0.083	0.083	0.083	68.0	GigabitEthernet0/0	1413.0	3214.0
poiters	cern	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	sat	0	47	82.0	82.0	82.0	0.081	0.081	0.081	68.0	GigabitEthernet0/0	1413.0	3214.0
besancon	internetttmondial	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	0	47	83.0	83.0	83.0	0.082	0.082	0.082	68.0	GigabitEthernet0/0	1413.0	3214.0
nice	marseille	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	0	9	84.0	84.0	84.0	0.083	0.083	0.083	75.0	GigabitEthernet0/0	1413.0	3214.0
rouen	marseille	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	0	9	86.0	86.0	86.0	0.086	0.086	0.086	73.0	GigabitEthernet0/0	1413.0	3214.0
sfinx	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	0	47	84.0	84.0	84.0	0.083	0.083	0.083	69.0	GigabitEthernet0/0	1413.0	3214.0
strasbourg	montpellier	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	0	10	83.0	83.0	83.0	0.082	0.082	0.082	71.0	GigabitEthernet0/0	1413.0	3214.0
nice	besancon	IpWildcardIpSpace{ipWildcard=200.0.0.0/24}	sat	0	14	82.0	82.0	82.0	0.082	0.082	0.082	72.0	GigabitEthernet0/0	1413.0	3214.0
lille	paris	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	27	292	97.0	97.0	97.0	0.096	0.096	0.096	94.0	GigabitEthernet0/0	1413.0	3214.0
corte	clermontferrand	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	sat	0	14	85.0	85.0	85.0	0.084	0.084	0.084	71.0	GigabitEthernet0/0	1413.0	3214.0
