srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nancy	bordeaux	IpWildcardIpSpace{ipWildcard=200.0.1.0/24}	sat	218	2163	146.0	146.0	146.0	0.145	0.145	0.145	88.0	GigabitEthernet0/0	1413.0	3214.0
nodeid13	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	982	4359	390.0	390.0	390.0	0.39	0.39	0.39	78.0	GigabitEthernet0/0	1413.0	3214.0
cadarache	rouen	IpWildcardIpSpace{ipWildcard=200.0.30.0/24}	sat	638	2198	268.0	268.0	268.0	0.268	0.268	0.268	74.0	GigabitEthernet0/0	1413.0	3214.0
nodeid13	paris	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	1875	5387	688.0	688.0	688.0	0.687	0.687	0.687	89.0	GigabitEthernet0/0	1413.0	3214.0
cadarache	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	114	1234	110.0	110.0	110.0	0.109	0.109	0.109	80.0	GigabitEthernet0/0	1413.0	3214.0
corte	compiegne	IpWildcardIpSpace{ipWildcard=200.0.6.0/24}	sat	943	3218	389.0	389.0	389.0	0.388	0.388	0.388	76.0	GigabitEthernet0/0	1413.0	3214.0
internetttmondial	clermontferrand	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	sat	24	212	89.0	89.0	89.0	0.088	0.088	0.088	76.0	GigabitEthernet0/0	1413.0	3214.0
grenoble	orleans	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	654	2461	255.0	255.0	255.0	0.255	0.255	0.255	73.0	GigabitEthernet0/0	1413.0	3214.0
dijon	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	2458	5036	951.0	951.0	951.0	0.951	0.951	0.951	86.0	GigabitEthernet0/0	1413.0	3214.0
internetttmondial	nancy	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	963	3311	365.0	365.0	365.0	0.365	0.365	0.365	73.0	GigabitEthernet0/0	1413.0	3214.0
peerclermontferrand0	pau	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	752	2963	309.0	309.0	309.0	0.308	0.308	0.308	69.0	GigabitEthernet0/0	1413.0	3214.0
pau	cern	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	sat	1388	3930	484.0	484.0	484.0	0.484	0.484	0.484	95.0	GigabitEthernet0/0	1413.0	3214.0
pau	nodeid13	IpWildcardIpSpace{ipWildcard=200.0.22.0/24}	sat	111	2716	114.0	114.0	114.0	0.113	0.113	0.113	73.0	GigabitEthernet0/0	1413.0	3214.0
geant2	lattreunionttnouvellettcaledoniettmayottetttahiti	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	sat	429	2162	197.0	197.0	197.0	0.197	0.197	0.197	69.0	GigabitEthernet0/0	1413.0	3214.0
peerclermontferrand0	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	478	2463	208.0	208.0	208.0	0.208	0.208	0.208	69.0	GigabitEthernet0/0	1413.0	3214.0
rennes	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	1005	3675	388.0	388.0	388.0	0.387	0.387	0.387	84.0	GigabitEthernet0/0	1413.0	3214.0
bordeaux	poiters	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	1744	4940	646.0	646.0	646.0	0.645	0.645	0.645	89.0	GigabitEthernet0/0	1413.0	3214.0
rennes	nice	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	519	2835	258.0	258.0	258.0	0.257	0.257	0.257	76.0	GigabitEthernet0/0	1413.0	3214.0
lyon	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	1989	5013	806.0	806.0	806.0	0.806	0.806	0.806	86.0	GigabitEthernet0/0	1413.0	3214.0
geant2	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	125	1140	125.0	125.0	125.0	0.124	0.124	0.124	130.0	GigabitEthernet0/0	1413.0	3214.0
orleans	nantes	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	500	1895	202.0	202.0	202.0	0.201	0.201	0.201	77.0	GigabitEthernet0/0	1413.0	3214.0
nancy	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	922	2993	364.0	364.0	364.0	0.364	0.364	0.364	81.0	GigabitEthernet0/0	1413.0	3214.0
compiegne	cadarache	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	2423	5677	856.0	856.0	856.0	0.855	0.855	0.855	79.0	GigabitEthernet0/0	1413.0	3214.0
caen	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	477	2426	242.0	242.0	242.0	0.242	0.242	0.242	89.0	GigabitEthernet0/0	1413.0	3214.0
clermontferrand	nice	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	1905	5248	696.0	696.0	696.0	0.695	0.695	0.695	80.0	GigabitEthernet0/0	1413.0	3214.0
nancy	internetttmondial	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	513	2365	194.0	194.0	194.0	0.193	0.193	0.193	72.0	GigabitEthernet0/0	1413.0	3214.0
poiters	peerclermontferrand0	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	463	2396	235.0	235.0	235.0	0.234	0.234	0.234	85.0	GigabitEthernet0/0	1413.0	3214.0
grenoble	geant2	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	431	2180	193.0	193.0	193.0	0.193	0.193	0.193	75.0	GigabitEthernet0/0	1413.0	3214.0
caen	besancon	IpWildcardIpSpace{ipWildcard=200.0.0.0/24}	sat	512	3349	229.0	229.0	229.0	0.229	0.229	0.229	75.0	GigabitEthernet0/0	1413.0	3214.0
nantes	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	925	3796	366.0	366.0	366.0	0.365	0.365	0.365	69.0	GigabitEthernet0/0	1413.0	3214.0
orleans	peerclermontferrand0	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	524	2360	229.0	229.0	229.0	0.229	0.229	0.229	68.0	GigabitEthernet0/0	1413.0	3214.0
poiters	cern	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	sat	525	2439	218.0	218.0	218.0	0.217	0.217	0.217	68.0	GigabitEthernet0/0	1413.0	3214.0
besancon	internetttmondial	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	504	2397	197.0	197.0	197.0	0.196	0.196	0.196	70.0	GigabitEthernet0/0	1413.0	3214.0
nice	marseille	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	517	2464	232.0	232.0	232.0	0.232	0.232	0.232	72.0	GigabitEthernet0/0	1413.0	3214.0
rouen	marseille	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	1644	4790	606.0	606.0	606.0	0.606	0.606	0.606	75.0	GigabitEthernet0/0	1413.0	3214.0
sfinx	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	505	2265	203.0	203.0	203.0	0.203	0.203	0.203	69.0	GigabitEthernet0/0	1413.0	3214.0
strasbourg	montpellier	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	664	2770	272.0	272.0	272.0	0.271	0.271	0.271	71.0	GigabitEthernet0/0	1413.0	3214.0
nice	besancon	IpWildcardIpSpace{ipWildcard=200.0.0.0/24}	sat	518	2473	232.0	232.0	232.0	0.231	0.231	0.231	71.0	GigabitEthernet0/0	1413.0	3214.0
lille	paris	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	2478	5255	927.0	927.0	927.0	0.927	0.927	0.927	97.0	GigabitEthernet0/0	1413.0	3214.0
corte	clermontferrand	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	sat	716	2921	290.0	290.0	290.0	0.289	0.289	0.289	72.0	GigabitEthernet0/0	1413.0	3214.0
marseille	poiters	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	2318	6665	1003.0	1003.0	1003.0	1.003	1.003	1.003	75.0	GigabitEthernet0/0	1413.0	3214.0
martiniquettguadeloupettcayenne	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	514	2879	232.0	232.0	232.0	0.231	0.231	0.231	69.0	GigabitEthernet0/0	1413.0	3214.0
caen	sfinx	IpWildcardIpSpace{ipWildcard=200.0.31.0/24}	sat	1515	4628	606.0	606.0	606.0	0.606	0.606	0.606	67.0	GigabitEthernet0/0	1413.0	3214.0
paris	rouen	IpWildcardIpSpace{ipWildcard=200.0.30.0/24}	sat	291	2338	175.0	175.0	175.0	0.174	0.174	0.174	68.0	GigabitEthernet0/0	1413.0	3214.0
lille	reims	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	1892	4807	775.0	775.0	775.0	0.775	0.775	0.775	67.0	GigabitEthernet0/0	1413.0	3214.0
paris	grenoble	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	635	2178	253.0	253.0	253.0	0.252	0.252	0.252	69.0	GigabitEthernet0/0	1413.0	3214.0
sfinx	dijon	IpWildcardIpSpace{ipWildcard=200.0.8.0/24}	sat	635	2423	276.0	276.0	276.0	0.276	0.276	0.276	71.0	GigabitEthernet0/0	1413.0	3214.0
bordeaux	rennes	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	sat	667	2956	281.0	281.0	281.0	0.281	0.281	0.281	69.0	GigabitEthernet0/0	1413.0	3214.0
orleans	pau	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	1025	4431	397.0	397.0	397.0	0.397	0.397	0.397	70.0	GigabitEthernet0/0	1413.0	3214.0
lattreunionttnouvellettcaledoniettmayottetttahiti	rouen	IpWildcardIpSpace{ipWildcard=200.0.30.0/24}	sat	921	3433	344.0	344.0	344.0	0.344	0.344	0.344	69.0	GigabitEthernet0/0	1413.0	3214.0
