srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
noida	margaretsville	IpWildcardIpSpace{ipWildcard=200.1.73.0/24}	sat	131	7161	7367.0	7367.0	7367.0	7.367	7.367	7.367	1327.0	GigabitEthernet0/0	23145.0	54714.0
valencia	chitradurg	IpWildcardIpSpace{ipWildcard=200.0.126.0/24}	sat	845	30255	19232.0	19232.0	19232.0	19.231	19.231	19.231	1477.0	GigabitEthernet0/0	23145.0	54714.0
miami	hadiagarh	IpWildcardIpSpace{ipWildcard=200.0.220.0/24}	sat	578	18867	9975.0	9975.0	9975.0	9.975	9.975	9.975	1368.0	GigabitEthernet0/0	23145.0	54714.0
salzburg	bharuch	IpWildcardIpSpace{ipWildcard=200.0.58.0/24}	sat	1518	41806	17575.0	17575.0	17575.0	17.574	17.574	17.574	1329.0	GigabitEthernet0/0	23145.0	54714.0
wuppertal	minneapolis	IpWildcardIpSpace{ipWildcard=200.1.89.0/24}	sat	98	6113	7698.0	7698.0	7698.0	7.697	7.697	7.697	1369.0	GigabitEthernet0/0	23145.0	54714.0
queretaro	barcelona	IpWildcardIpSpace{ipWildcard=200.0.39.0/24}	sat	51	2534	5416.0	5416.0	5416.0	5.415	5.415	5.415	1255.0	GigabitEthernet0/0	23145.0	54714.0
rennesidhg72	birmingham	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	sat	70	3277	6703.0	6703.0	6703.0	6.702	6.702	6.702	1221.0	GigabitEthernet0/0	23145.0	54714.0
manchesteridhh99	newttyorkidhg158	IpWildcardIpSpace{ipWildcard=200.1.122.0/24}	sat	232	10665	8882.0	8882.0	8882.0	8.881	8.881	8.881	1363.0	GigabitEthernet0/0	23145.0	54714.0
newttyork	hoofddorp	IpWildcardIpSpace{ipWildcard=200.0.237.0/24}	sat	73	1959	6254.0	6254.0	6254.0	6.253	6.253	6.253	1409.0	GigabitEthernet0/0	23145.0	54714.0
bellowsttfalls	whitettplains	IpWildcardIpSpace{ipWildcard=200.2.98.0/24}	sat	3284	54541	39800.0	39800.0	39800.0	39.799	39.799	39.799	1344.0	GigabitEthernet0/0	23145.0	54714.0
dusseldorf	santattclara	IpWildcardIpSpace{ipWildcard=200.2.5.0/24}	sat	3774	74185	38721.0	38721.0	38721.0	38.72	38.72	38.72	1384.0	GigabitEthernet0/0	23145.0	54714.0
belgaum	olean	IpWildcardIpSpace{ipWildcard=200.1.175.0/24}	sat	59	3205	6453.0	6453.0	6453.0	6.453	6.453	6.453	1352.0	GigabitEthernet0/0	23145.0	54714.0
firenze	marseille	IpWildcardIpSpace{ipWildcard=200.1.74.0/24}	sat	75	3525	6844.0	6844.0	6844.0	6.843	6.843	6.843	1218.0	GigabitEthernet0/0	23145.0	54714.0
nantesidhg71	dortmund	IpWildcardIpSpace{ipWildcard=200.0.163.0/24}	sat	222	5726	6294.0	6294.0	6294.0	6.293	6.293	6.293	1239.0	GigabitEthernet0/0	23145.0	54714.0
grenoble	palermo	IpWildcardIpSpace{ipWildcard=200.1.187.0/24}	sat	103	3056	6511.0	6511.0	6511.0	6.51	6.51	6.51	1220.0	GigabitEthernet0/0	23145.0	54714.0
southttcanaan	amsterdam	IpWildcardIpSpace{ipWildcard=200.0.22.0/24}	sat	107	4163	6612.0	6612.0	6612.0	6.612	6.612	6.612	1201.0	GigabitEthernet0/0	23145.0	54714.0
newttyork	ostend	IpWildcardIpSpace{ipWildcard=200.1.183.0/24}	sat	57	2276	5968.0	5968.0	5968.0	5.968	5.968	5.968	2525.0	GigabitEthernet0/0	23145.0	54714.0
nanded	odessa	IpWildcardIpSpace{ipWildcard=200.1.171.0/24}	sat	53	3049	6080.0	6080.0	6080.0	6.079	6.079	6.079	2985.0	GigabitEthernet0/0	23145.0	54714.0
panjim	gothenburg	IpWildcardIpSpace{ipWildcard=200.0.209.0/24}	sat	126	6170	7444.0	7444.0	7444.0	7.443	7.443	7.443	2936.0	GigabitEthernet0/0	23145.0	54714.0
