srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
noida	margaretsville	IpWildcardIpSpace{ipWildcard=200.1.73.0/24}	sat	57745	315263	264701.0	264701.0	264701.0	264.7	264.7	264.7	1401.0	GigabitEthernet0/0	23145.0	54714.0
valencia	chitradurg	IpWildcardIpSpace{ipWildcard=200.0.126.0/24}	sat	61051	291452	220644.0	220644.0	220644.0	220.643	220.643	220.643	1352.0	GigabitEthernet0/0	23145.0	54714.0
miami	hadiagarh	IpWildcardIpSpace{ipWildcard=200.0.220.0/24}	sat	47301	270844	161784.0	161784.0	161784.0	161.783	161.783	161.783	1378.0	GigabitEthernet0/0	23145.0	54714.0
salzburg	bharuch	IpWildcardIpSpace{ipWildcard=200.0.58.0/24}	sat	92538	381726	349026.0	349026.0	349026.0	349.026	349.026	349.026	1381.0	GigabitEthernet0/0	23145.0	54714.0
wuppertal	minneapolis	IpWildcardIpSpace{ipWildcard=200.1.89.0/24}	sat	50512	296152	149594.0	149594.0	149594.0	149.594	149.594	149.594	1259.0	GigabitEthernet0/0	23145.0	54714.0
queretaro	barcelona	IpWildcardIpSpace{ipWildcard=200.0.39.0/24}	sat	66605	321900	198151.0	198151.0	198151.0	198.15	198.15	198.15	1997.0	GigabitEthernet0/0	23145.0	54714.0
rennesidhg72	birmingham	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	sat	62347	338973	228862.0	228862.0	228862.0	228.861	228.861	228.861	1204.0	GigabitEthernet0/0	23145.0	54714.0
manchesteridhh99	newttyorkidhg158	IpWildcardIpSpace{ipWildcard=200.1.122.0/24}	sat	70671	369302	296196.0	296196.0	296196.0	296.195	296.195	296.195	1184.0	GigabitEthernet0/0	23145.0	54714.0
newttyork	hoofddorp	IpWildcardIpSpace{ipWildcard=200.0.237.0/24}	sat	72523	361143	322104.0	322104.0	322104.0	322.104	322.104	322.104	1374.0	GigabitEthernet0/0	23145.0	54714.0
bellowsttfalls	whitettplains	IpWildcardIpSpace{ipWildcard=200.2.98.0/24}	sat	59346	286492	213258.0	213258.0	213258.0	213.257	213.257	213.257	1189.0	GigabitEthernet0/0	23145.0	54714.0
dusseldorf	santattclara	IpWildcardIpSpace{ipWildcard=200.2.5.0/24}	sat	77832	317306	251826.0	251826.0	251826.0	251.826	251.826	251.826	1207.0	GigabitEthernet0/0	23145.0	54714.0
belgaum	olean	IpWildcardIpSpace{ipWildcard=200.1.175.0/24}	sat	85702	376939	279006.0	279006.0	279006.0	279.005	279.005	279.005	1266.0	GigabitEthernet0/0	23145.0	54714.0
firenze	marseille	IpWildcardIpSpace{ipWildcard=200.1.74.0/24}	sat	59899	320397	200454.0	200454.0	200454.0	200.453	200.453	200.453	2813.0	GigabitEthernet0/0	23145.0	54714.0
nantesidhg71	dortmund	IpWildcardIpSpace{ipWildcard=200.0.163.0/24}	sat	54551	320865	174759.0	174759.0	174759.0	174.758	174.758	174.758	1349.0	GigabitEthernet0/0	23145.0	54714.0
grenoble	palermo	IpWildcardIpSpace{ipWildcard=200.1.187.0/24}	sat	45893	313585	132927.0	132927.0	132927.0	132.926	132.926	132.926	1437.0	GigabitEthernet0/0	23145.0	54714.0
southttcanaan	amsterdam	IpWildcardIpSpace{ipWildcard=200.0.22.0/24}	sat	80864	363632	251348.0	251348.0	251348.0	251.347	251.347	251.347	1176.0	GigabitEthernet0/0	23145.0	54714.0
newttyork	ostend	IpWildcardIpSpace{ipWildcard=200.1.183.0/24}	sat	58598	332385	263869.0	263869.0	263869.0	263.868	263.868	263.868	2598.0	GigabitEthernet0/0	23145.0	54714.0
nanded	odessa	IpWildcardIpSpace{ipWildcard=200.1.171.0/24}	sat	82244	353865	308536.0	308536.0	308536.0	308.535	308.535	308.535	3024.0	GigabitEthernet0/0	23145.0	54714.0
panjim	gothenburg	IpWildcardIpSpace{ipWildcard=200.0.209.0/24}	sat	64873	338968	294207.0	294207.0	294207.0	294.206	294.206	294.206	1185.0	GigabitEthernet0/0	23145.0	54714.0
moradabad	potsdam	IpWildcardIpSpace{ipWildcard=200.1.213.0/24}	sat	49008	283123	161128.0	161128.0	161128.0	161.127	161.127	161.127	1154.0	GigabitEthernet0/0	23145.0	54714.0
jaunpur	nyon	IpWildcardIpSpace{ipWildcard=200.1.169.0/24}	sat	82635	381141	279393.0	279393.0	279393.0	279.392	279.392	279.392	1390.0	GigabitEthernet0/0	23145.0	54714.0
avila	bari	IpWildcardIpSpace{ipWildcard=200.0.42.0/24}	sat	56787	321231	195101.0	195101.0	195101.0	195.1	195.1	195.1	1192.0	GigabitEthernet0/0	23145.0	54714.0
strasbourg	poiters	IpWildcardIpSpace{ipWildcard=200.1.206.0/24}	sat	66749	319666	266657.0	266657.0	266657.0	266.657	266.657	266.657	1228.0	GigabitEthernet0/0	23145.0	54714.0
granada	balchik	IpWildcardIpSpace{ipWildcard=200.0.36.0/24}	sat	62287	316634	225443.0	225443.0	225443.0	225.441	225.441	225.441	2898.0	GigabitEthernet0/0	23145.0	54714.0
bostonidhg155	evere	IpWildcardIpSpace{ipWildcard=200.0.184.0/24}	sat	62638	296793	251845.0	251845.0	251845.0	251.844	251.844	251.844	1382.0	GigabitEthernet0/0	23145.0	54714.0
mysore	madrididhg54	IpWildcardIpSpace{ipWildcard=200.1.59.0/24}	sat	60144	323914	214272.0	214272.0	214272.0	214.272	214.272	214.272	1212.0	GigabitEthernet0/0	23145.0	54714.0
ernakulam	nagpur	IpWildcardIpSpace{ipWildcard=200.1.107.0/24}	sat	50705	300240	224866.0	224866.0	224866.0	224.865	224.865	224.865	1156.0	GigabitEthernet0/0	23145.0	54714.0
monza	burgas	IpWildcardIpSpace{ipWildcard=200.0.103.0/24}	sat	59135	285730	207886.0	207886.0	207886.0	207.885	207.885	207.885	1223.0	GigabitEthernet0/0	23145.0	54714.0
ujjain	indianapolis	IpWildcardIpSpace{ipWildcard=200.0.242.0/24}	sat	81209	367226	293670.0	293670.0	293670.0	293.669	293.669	293.669	1282.0	GigabitEthernet0/0	23145.0	54714.0
bhopal	como	IpWildcardIpSpace{ipWildcard=200.0.136.0/24}	sat	48225	277392	159791.0	159791.0	159791.0	159.791	159.791	159.791	1167.0	GigabitEthernet0/0	23145.0	54714.0
malmo	stuttgart	IpWildcardIpSpace{ipWildcard=200.2.38.0/24}	sat	56600	270611	219410.0	219410.0	219410.0	219.409	219.409	219.409	1277.0	GigabitEthernet0/0	23145.0	54714.0
madrid	tallinn	IpWildcardIpSpace{ipWildcard=200.2.42.0/24}	sat	80013	369239	338154.0	338154.0	338154.0	338.153	338.153	338.153	1154.0	GigabitEthernet0/0	23145.0	54714.0
middleburgh	coimbra	IpWildcardIpSpace{ipWildcard=200.0.131.0/24}	sat	55564	305094	225548.0	225548.0	225548.0	225.547	225.547	225.547	1210.0	GigabitEthernet0/0	23145.0	54714.0
greensboro	cologne	IpWildcardIpSpace{ipWildcard=200.0.132.0/24}	sat	54663	301245	207577.0	207577.0	207577.0	207.576	207.576	207.576	1155.0	GigabitEthernet0/0	23145.0	54714.0
dhulia	utrecht	IpWildcardIpSpace{ipWildcard=200.2.71.0/24}	sat	46860	297277	180816.0	180816.0	180816.0	180.815	180.815	180.815	1151.0	GigabitEthernet0/0	23145.0	54714.0
nodeidhg173	montpellier	IpWildcardIpSpace{ipWildcard=200.1.94.0/24}	sat	60652	330737	181294.0	181294.0	181294.0	181.293	181.293	181.293	1213.0	GigabitEthernet0/0	23145.0	54714.0
deposit	zaragoza	IpWildcardIpSpace{ipWildcard=200.2.105.0/24}	sat	50263	273055	159711.0	159711.0	159711.0	159.71	159.71	159.71	1206.0	GigabitEthernet0/0	23145.0	54714.0
nuremberg	madrid	IpWildcardIpSpace{ipWildcard=200.1.58.0/24}	sat	55607	270818	278204.0	278204.0	278204.0	278.203	278.203	278.203	1801.0	GigabitEthernet0/0	23145.0	54714.0
nodeidhh95	catania	IpWildcardIpSpace{ipWildcard=200.0.112.0/24}	sat	49765	309331	176268.0	176268.0	176268.0	176.267	176.267	176.267	1162.0	GigabitEthernet0/0	23145.0	54714.0
munster	liege	IpWildcardIpSpace{ipWildcard=200.1.35.0/24}	sat	81046	359360	300047.0	300047.0	300047.0	300.047	300.047	300.047	1358.0	GigabitEthernet0/0	23145.0	54714.0
portland	ovid	IpWildcardIpSpace{ipWildcard=200.1.184.0/24}	sat	70684	360261	301258.0	301258.0	301258.0	301.256	301.256	301.256	1160.0	GigabitEthernet0/0	23145.0	54714.0
albuquerque	bilbao	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	sat	54320	292127	184719.0	184719.0	184719.0	184.718	184.718	184.718	1202.0	GigabitEthernet0/0	23145.0	54714.0
harriman	lausanne	IpWildcardIpSpace{ipWildcard=200.1.29.0/24}	sat	69305	339675	254791.0	254791.0	254791.0	254.79	254.79	254.79	3299.0	GigabitEthernet0/0	23145.0	54714.0
grenobleidhg91	houston	IpWildcardIpSpace{ipWildcard=200.0.239.0/24}	sat	52347	285521	201549.0	201549.0	201549.0	201.548	201.548	201.548	1164.0	GigabitEthernet0/0	23145.0	54714.0
hamilton	manchesteridhg49	IpWildcardIpSpace{ipWildcard=200.1.68.0/24}	sat	58229	344500	216693.0	216693.0	216693.0	216.693	216.693	216.693	1176.0	GigabitEthernet0/0	23145.0	54714.0
malmoidhg43	cortland	IpWildcardIpSpace{ipWildcard=200.0.142.0/24}	sat	72756	335687	319596.0	319596.0	319596.0	319.595	319.595	319.595	1302.0	GigabitEthernet0/0	23145.0	54714.0
bremen	bhandara	IpWildcardIpSpace{ipWildcard=200.0.57.0/24}	sat	75718	352542	256160.0	256160.0	256160.0	256.159	256.159	256.159	1157.0	GigabitEthernet0/0	23145.0	54714.0
agra	winterthur	IpWildcardIpSpace{ipWildcard=200.2.101.0/24}	sat	54785	333053	187292.0	187292.0	187292.0	187.292	187.292	187.292	1201.0	GigabitEthernet0/0	23145.0	54714.0
jacksonville	balchik	IpWildcardIpSpace{ipWildcard=200.0.36.0/24}	sat	67051	325274	253377.0	253377.0	253377.0	253.377	253.377	253.377	1221.0	GigabitEthernet0/0	23145.0	54714.0
pfaffikon	tonk	IpWildcardIpSpace{ipWildcard=200.2.54.0/24}	sat	78174	370271	370297.0	370297.0	370297.0	370.297	370.297	370.297	1230.0	GigabitEthernet0/0	23145.0	54714.0
