srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
noida	margaretsville	IpWildcardIpSpace{ipWildcard=200.1.73.0/24}	sat	713	277124	41523.0	41523.0	41523.0	41.522	41.522	41.522	1422.0	GigabitEthernet0/0	24387.0	55817.0
valencia	chitradurg	IpWildcardIpSpace{ipWildcard=200.0.126.0/24}	sat	3366	494587	73053.0	73053.0	73053.0	73.052	73.052	73.052	1370.0	GigabitEthernet0/0	24387.0	55817.0
miami	hadiagarh	IpWildcardIpSpace{ipWildcard=200.0.220.0/24}	sat	1409	249996	30681.0	30681.0	30681.0	30.68	30.68	30.68	1380.0	GigabitEthernet0/0	24387.0	55817.0
salzburg	bharuch	IpWildcardIpSpace{ipWildcard=200.0.58.0/24}	sat	1346	395416	47497.0	47497.0	47497.0	47.496	47.496	47.496	1631.0	GigabitEthernet0/0	24387.0	55817.0
wuppertal	minneapolis	IpWildcardIpSpace{ipWildcard=200.1.89.0/24}	sat	1127	537335	53070.0	53070.0	53070.0	53.069	53.069	53.069	1354.0	GigabitEthernet0/0	24387.0	55817.0
queretaro	barcelona	IpWildcardIpSpace{ipWildcard=200.0.39.0/24}	sat	1233	712369	36014.0	36014.0	36014.0	36.013	36.013	36.013	1258.0	GigabitEthernet0/0	24387.0	55817.0
rennesidhg72	birmingham	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	sat	1037	497813	44641.0	44641.0	44641.0	44.64	44.64	44.64	1195.0	GigabitEthernet0/0	24387.0	55817.0
manchesteridhh99	newttyorkidhg158	IpWildcardIpSpace{ipWildcard=200.1.122.0/24}	sat	3323	750217	68353.0	68353.0	68353.0	68.352	68.352	68.352	1207.0	GigabitEthernet0/0	24387.0	55817.0
newttyork	hoofddorp	IpWildcardIpSpace{ipWildcard=200.0.237.0/24}	sat	1086	358899	42668.0	42668.0	42668.0	42.667	42.667	42.667	1360.0	GigabitEthernet0/0	24387.0	55817.0
bellowsttfalls	whitettplains	IpWildcardIpSpace{ipWildcard=200.2.98.0/24}	sat	38819	1971107	375106.0	375106.0	375106.0	375.105	375.105	375.105	1330.0	GigabitEthernet0/0	24387.0	55817.0
dusseldorf	santattclara	IpWildcardIpSpace{ipWildcard=200.2.5.0/24}	sat	2654	512911	71733.0	71733.0	71733.0	71.732	71.732	71.732	1196.0	GigabitEthernet0/0	24387.0	55817.0
belgaum	olean	IpWildcardIpSpace{ipWildcard=200.1.175.0/24}	sat	530	167932	25926.0	25926.0	25926.0	25.925	25.925	25.925	1198.0	GigabitEthernet0/0	24387.0	55817.0
firenze	marseille	IpWildcardIpSpace{ipWildcard=200.1.74.0/24}	sat	900	171834	22851.0	22851.0	22851.0	22.85	22.85	22.85	1222.0	GigabitEthernet0/0	24387.0	55817.0
nantesidhg71	dortmund	IpWildcardIpSpace{ipWildcard=200.0.163.0/24}	sat	1443	625784	38322.0	38322.0	38322.0	38.322	38.322	38.322	1283.0	GigabitEthernet0/0	24387.0	55817.0
grenoble	palermo	IpWildcardIpSpace{ipWildcard=200.1.187.0/24}	sat	781	223482	16731.0	16731.0	16731.0	16.73	16.73	16.73	1217.0	GigabitEthernet0/0	24387.0	55817.0
southttcanaan	amsterdam	IpWildcardIpSpace{ipWildcard=200.0.22.0/24}	sat	1177	480362	48946.0	48946.0	48946.0	48.945	48.945	48.945	1337.0	GigabitEthernet0/0	24387.0	55817.0
newttyork	ostend	IpWildcardIpSpace{ipWildcard=200.1.183.0/24}	sat	1041	476136	36071.0	36071.0	36071.0	36.07	36.07	36.07	2475.0	GigabitEthernet0/0	24387.0	55817.0
nanded	odessa	IpWildcardIpSpace{ipWildcard=200.1.171.0/24}	sat	2444	898239	68190.0	68190.0	68190.0	68.19	68.19	68.19	2709.0	GigabitEthernet0/0	24387.0	55817.0
panjim	gothenburg	IpWildcardIpSpace{ipWildcard=200.0.209.0/24}	sat	1188	387177	35393.0	35393.0	35393.0	35.392	35.392	35.392	1320.0	GigabitEthernet0/0	24387.0	55817.0
moradabad	potsdam	IpWildcardIpSpace{ipWildcard=200.1.213.0/24}	sat	3457	903802	94784.0	94784.0	94784.0	94.783	94.783	94.783	1209.0	GigabitEthernet0/0	24387.0	55817.0
jaunpur	nyon	IpWildcardIpSpace{ipWildcard=200.1.169.0/24}	sat	1203	401575	60083.0	60083.0	60083.0	60.083	60.083	60.083	1351.0	GigabitEthernet0/0	24387.0	55817.0
avila	bari	IpWildcardIpSpace{ipWildcard=200.0.42.0/24}	sat	828	166151	34849.0	34849.0	34849.0	34.849	34.849	34.849	1173.0	GigabitEthernet0/0	24387.0	55817.0
strasbourg	poiters	IpWildcardIpSpace{ipWildcard=200.1.206.0/24}	sat	2181	510300	69192.0	69192.0	69192.0	69.191	69.191	69.191	1167.0	GigabitEthernet0/0	24387.0	55817.0
granada	balchik	IpWildcardIpSpace{ipWildcard=200.0.36.0/24}	sat	782	269924	28179.0	28179.0	28179.0	28.178	28.178	28.178	1267.0	GigabitEthernet0/0	24387.0	55817.0
bostonidhg155	evere	IpWildcardIpSpace{ipWildcard=200.0.184.0/24}	sat	87380	2743954	763014.0	763014.0	763014.0	763.014	763.014	763.014	1196.0	GigabitEthernet0/0	24387.0	55817.0
mysore	madrididhg54	IpWildcardIpSpace{ipWildcard=200.1.59.0/24}	sat	1196	373793	59557.0	59557.0	59557.0	59.556	59.556	59.556	1189.0	GigabitEthernet0/0	24387.0	55817.0
ernakulam	nagpur	IpWildcardIpSpace{ipWildcard=200.1.107.0/24}	sat	460	137767	22595.0	22595.0	22595.0	22.594	22.594	22.594	1186.0	GigabitEthernet0/0	24387.0	55817.0
monza	burgas	IpWildcardIpSpace{ipWildcard=200.0.103.0/24}	sat	1156	527295	38830.0	38830.0	38830.0	38.829	38.829	38.829	1146.0	GigabitEthernet0/0	24387.0	55817.0
ujjain	indianapolis	IpWildcardIpSpace{ipWildcard=200.0.242.0/24}	sat	3017	796521	78432.0	78432.0	78432.0	78.432	78.432	78.432	1158.0	GigabitEthernet0/0	24387.0	55817.0
bhopal	como	IpWildcardIpSpace{ipWildcard=200.0.136.0/24}	sat	469	139908	26651.0	26651.0	26651.0	26.65	26.65	26.65	1196.0	GigabitEthernet0/0	24387.0	55817.0
malmo	stuttgart	IpWildcardIpSpace{ipWildcard=200.2.38.0/24}	sat	663	205343	17541.0	17541.0	17541.0	17.54	17.54	17.54	1221.0	GigabitEthernet0/0	24387.0	55817.0
