srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
noida	margaretsville	IpWildcardIpSpace{ipWildcard=200.1.73.0/24}	sat	68692	357389	279857.0	279857.0	279857.0	279.857	279.857	279.857	1605.0	GigabitEthernet0/0	24387.0	57200.0
valencia	chitradurg	IpWildcardIpSpace{ipWildcard=200.0.126.0/24}	sat	75634	343968	252928.0	252928.0	252928.0	252.928	252.928	252.928	1367.0	GigabitEthernet0/0	24387.0	57200.0
miami	hadiagarh	IpWildcardIpSpace{ipWildcard=200.0.220.0/24}	sat	51806	290322	165897.0	165897.0	165897.0	165.896	165.896	165.896	1408.0	GigabitEthernet0/0	24387.0	57200.0
salzburg	bharuch	IpWildcardIpSpace{ipWildcard=200.0.58.0/24}	sat	67043	345109	271397.0	271397.0	271397.0	271.396	271.396	271.396	1728.0	GigabitEthernet0/0	24387.0	57200.0
wuppertal	minneapolis	IpWildcardIpSpace{ipWildcard=200.1.89.0/24}	sat	68871	326032	263924.0	263924.0	263924.0	263.923	263.923	263.923	2128.0	GigabitEthernet0/0	24387.0	57200.0
queretaro	barcelona	IpWildcardIpSpace{ipWildcard=200.0.39.0/24}	sat	62813	344665	205673.0	205673.0	205673.0	205.672	205.672	205.672	1440.0	GigabitEthernet0/0	24387.0	57200.0
rennesidhg72	birmingham	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	sat	66192	360972	250613.0	250613.0	250613.0	250.611	250.611	250.611	1237.0	GigabitEthernet0/0	24387.0	57200.0
manchesteridhh99	newttyorkidhg158	IpWildcardIpSpace{ipWildcard=200.1.122.0/24}	sat	55314	291998	226648.0	226648.0	226648.0	226.648	226.648	226.648	1345.0	GigabitEthernet0/0	24387.0	57200.0
newttyork	hoofddorp	IpWildcardIpSpace{ipWildcard=200.0.237.0/24}	sat	68537	327349	255082.0	255082.0	255082.0	255.081	255.081	255.081	1218.0	GigabitEthernet0/0	24387.0	57200.0
bellowsttfalls	whitettplains	IpWildcardIpSpace{ipWildcard=200.2.98.0/24}	sat	61726	328980	192387.0	192387.0	192387.0	192.386	192.386	192.386	1204.0	GigabitEthernet0/0	24387.0	57200.0
dusseldorf	santattclara	IpWildcardIpSpace{ipWildcard=200.2.5.0/24}	sat	60582	343612	217651.0	217651.0	217651.0	217.65	217.65	217.65	1338.0	GigabitEthernet0/0	24387.0	57200.0
belgaum	olean	IpWildcardIpSpace{ipWildcard=200.1.175.0/24}	sat	51381	288186	217047.0	217047.0	217047.0	217.046	217.046	217.046	1176.0	GigabitEthernet0/0	24387.0	57200.0
firenze	marseille	IpWildcardIpSpace{ipWildcard=200.1.74.0/24}	sat	67251	320151	221840.0	221840.0	221840.0	221.839	221.839	221.839	1198.0	GigabitEthernet0/0	24387.0	57200.0
nantesidhg71	dortmund	IpWildcardIpSpace{ipWildcard=200.0.163.0/24}	sat	53236	293463	185885.0	185885.0	185885.0	185.884	185.884	185.884	1300.0	GigabitEthernet0/0	24387.0	57200.0
grenoble	palermo	IpWildcardIpSpace{ipWildcard=200.1.187.0/24}	sat	56523	274107	181314.0	181314.0	181314.0	181.314	181.314	181.314	1639.0	GigabitEthernet0/0	24387.0	57200.0
southttcanaan	amsterdam	IpWildcardIpSpace{ipWildcard=200.0.22.0/24}	sat	58788	321637	202571.0	202571.0	202571.0	202.57	202.57	202.57	1387.0	GigabitEthernet0/0	24387.0	57200.0
newttyork	ostend	IpWildcardIpSpace{ipWildcard=200.1.183.0/24}	sat	55045	312290	200367.0	200367.0	200367.0	200.366	200.366	200.366	1453.0	GigabitEthernet0/0	24387.0	57200.0
nanded	odessa	IpWildcardIpSpace{ipWildcard=200.1.171.0/24}	sat	62741	306289	233017.0	233017.0	233017.0	233.015	233.015	233.015	2748.0	GigabitEthernet0/0	24387.0	57200.0
