srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
noida	margaretsville	IpWildcardIpSpace{ipWildcard=200.1.73.0/24}	unsat	426418	5139749	2142467.0	2142467.0	2142467.0	2142.467	2142.467	2142.467	1469.0	GigabitEthernet0/0	24387.0	57200.0
valencia	chitradurg	IpWildcardIpSpace{ipWildcard=200.0.126.0/24}	timeout	512932	5441018	3600201.0	3600201.0	3600201.0	3600.2	3600.2	3600.2	1404.0	GigabitEthernet0/0	24387.0	57200.0
miami	hadiagarh	IpWildcardIpSpace{ipWildcard=200.0.220.0/24}	unsat	292914	5067903	2118388.0	2118388.0	2118388.0	2118.387	2118.387	2118.387	1247.0	GigabitEthernet0/0	24387.0	57200.0
salzburg	bharuch	IpWildcardIpSpace{ipWildcard=200.0.58.0/24}	unsat	255763	3865252	2263934.0	2263934.0	2263934.0	2263.933	2263.933	2263.933	1190.0	GigabitEthernet0/0	24387.0	57200.0
wuppertal	minneapolis	IpWildcardIpSpace{ipWildcard=200.1.89.0/24}	unsat	280989	3422442	1758585.0	1758585.0	1758585.0	1758.584	1758.584	1758.584	1323.0	GigabitEthernet0/0	24387.0	57200.0
queretaro	barcelona	IpWildcardIpSpace{ipWildcard=200.0.39.0/24}	timeout	1078360	10807881	5442501.0	5442501.0	5442501.0	5442.499	5442.499	5442.499	3593.0	GigabitEthernet0/0	24387.0	57200.0
rennesidhg72	birmingham	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	timeout	627547	7012548	3600347.0	3600347.0	3600347.0	3600.347	3600.347	3600.347	1207.0	GigabitEthernet0/0	24387.0	57200.0
manchesteridhh99	newttyorkidhg158	IpWildcardIpSpace{ipWildcard=200.1.122.0/24}	unsat	209926	3153958	1730510.0	1730510.0	1730510.0	1730.51	1730.51	1730.51	1366.0	GigabitEthernet0/0	24387.0	57200.0
newttyork	hoofddorp	IpWildcardIpSpace{ipWildcard=200.0.237.0/24}	timeout	489845	7777922	3600389.0	3600389.0	3600389.0	3600.388	3600.388	3600.388	1238.0	GigabitEthernet0/0	24387.0	57200.0
bellowsttfalls	whitettplains	IpWildcardIpSpace{ipWildcard=200.2.98.0/24}	unsat	195536	2900176	1853305.0	1853305.0	1853305.0	1853.304	1853.304	1853.304	1343.0	GigabitEthernet0/0	24387.0	57200.0
dusseldorf	santattclara	IpWildcardIpSpace{ipWildcard=200.2.5.0/24}	timeout	503417	5827689	3600362.0	3600362.0	3600362.0	3600.36	3600.36	3600.36	1224.0	GigabitEthernet0/0	24387.0	57200.0
belgaum	olean	IpWildcardIpSpace{ipWildcard=200.1.175.0/24}	timeout	742359	6880651	3600381.0	3600381.0	3600381.0	3600.38	3600.38	3600.38	1231.0	GigabitEthernet0/0	24387.0	57200.0
firenze	marseille	IpWildcardIpSpace{ipWildcard=200.1.74.0/24}	unsat	267978	3803086	2120355.0	2120355.0	2120355.0	2120.354	2120.354	2120.354	1337.0	GigabitEthernet0/0	24387.0	57200.0
nantesidhg71	dortmund	IpWildcardIpSpace{ipWildcard=200.0.163.0/24}	timeout	633233	8968092	3600189.0	3600189.0	3600189.0	3600.189	3600.189	3600.189	1281.0	GigabitEthernet0/0	24387.0	57200.0
grenoble	palermo	IpWildcardIpSpace{ipWildcard=200.1.187.0/24}	unsat	370481	5140323	3026877.0	3026877.0	3026877.0	3026.877	3026.877	3026.877	1795.0	GigabitEthernet0/0	24387.0	57200.0
southttcanaan	amsterdam	IpWildcardIpSpace{ipWildcard=200.0.22.0/24}	timeout	505425	7177515	3600270.0	3600270.0	3600270.0	3600.269	3600.269	3600.269	1349.0	GigabitEthernet0/0	24387.0	57200.0
newttyork	ostend	IpWildcardIpSpace{ipWildcard=200.1.183.0/24}	timeout	425826	6142108	3600197.0	3600197.0	3600197.0	3600.196	3600.196	3600.196	1258.0	GigabitEthernet0/0	24387.0	57200.0
