srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
noida	margaretsville	IpWildcardIpSpace{ipWildcard=200.1.73.0/24}	unsat	79252	371167	383507.0	383507.0	383507.0	383.506	383.506	383.506	1412.0	GigabitEthernet0/0	24387.0	57200.0
valencia	chitradurg	IpWildcardIpSpace{ipWildcard=200.0.126.0/24}	unsat	64189	299371	239141.0	239141.0	239141.0	239.14	239.14	239.14	1489.0	GigabitEthernet0/0	24387.0	57200.0
miami	hadiagarh	IpWildcardIpSpace{ipWildcard=200.0.220.0/24}	unsat	53831	290195	176959.0	176959.0	176959.0	176.958	176.958	176.958	1341.0	GigabitEthernet0/0	24387.0	57200.0
salzburg	bharuch	IpWildcardIpSpace{ipWildcard=200.0.58.0/24}	unsat	49019	268050	191785.0	191785.0	191785.0	191.783	191.783	191.783	1313.0	GigabitEthernet0/0	24387.0	57200.0
wuppertal	minneapolis	IpWildcardIpSpace{ipWildcard=200.1.89.0/24}	unsat	77139	355172	242196.0	242196.0	242196.0	242.195	242.195	242.195	1175.0	GigabitEthernet0/0	24387.0	57200.0
queretaro	barcelona	IpWildcardIpSpace{ipWildcard=200.0.39.0/24}	unsat	51926	290423	178150.0	178150.0	178150.0	178.149	178.149	178.149	2045.0	GigabitEthernet0/0	24387.0	57200.0
rennesidhg72	birmingham	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	unsat	53605	297981	237763.0	237763.0	237763.0	237.761	237.761	237.761	1428.0	GigabitEthernet0/0	24387.0	57200.0
manchesteridhh99	newttyorkidhg158	IpWildcardIpSpace{ipWildcard=200.1.122.0/24}	unsat	58777	311657	315385.0	315385.0	315385.0	315.384	315.384	315.384	1376.0	GigabitEthernet0/0	24387.0	57200.0
newttyork	hoofddorp	IpWildcardIpSpace{ipWildcard=200.0.237.0/24}	unsat	47964	276595	165315.0	165315.0	165315.0	165.314	165.314	165.314	1389.0	GigabitEthernet0/0	24387.0	57200.0
bellowsttfalls	whitettplains	IpWildcardIpSpace{ipWildcard=200.2.98.0/24}	unsat	73868	377753	265682.0	265682.0	265682.0	265.681	265.681	265.681	1335.0	GigabitEthernet0/0	24387.0	57200.0
dusseldorf	santattclara	IpWildcardIpSpace{ipWildcard=200.2.5.0/24}	unsat	81770	367660	302388.0	302388.0	302388.0	302.386	302.386	302.386	1358.0	GigabitEthernet0/0	24387.0	57200.0
belgaum	olean	IpWildcardIpSpace{ipWildcard=200.1.175.0/24}	unsat	92595	375226	356778.0	356778.0	356778.0	356.776	356.776	356.776	1407.0	GigabitEthernet0/0	24387.0	57200.0
