srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
herndon	huntington	IpWildcardIpSpace{ipWildcard=200.4.254.0/24}	sat	26	773	621.0	621.0	621.0	0.62	0.62	0.62	312.0	GigabitEthernet0/0	5956.0	13987.0
franklin	lakettcity	IpWildcardIpSpace{ipWildcard=200.4.230.0/24}	sat	9	199	467.0	467.0	467.0	0.466	0.466	0.466	294.0	GigabitEthernet0/0	5956.0	13987.0
fortttmyers	yemassee	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	sat	12	294	486.0	486.0	486.0	0.485	0.485	0.485	302.0	GigabitEthernet0/0	5956.0	13987.0
stephensttcity	montgomery	IpWildcardIpSpace{ipWildcard=200.4.225.0/24}	sat	10	205	487.0	487.0	487.0	0.486	0.486	0.486	288.0	GigabitEthernet0/0	5956.0	13987.0
danville	crestview	IpWildcardIpSpace{ipWildcard=200.4.143.0/24}	sat	6	176	489.0	489.0	489.0	0.488	0.488	0.488	290.0	GigabitEthernet0/0	5956.0	13987.0
chamersburg	ocala	IpWildcardIpSpace{ipWildcard=200.4.150.0/24}	sat	22	340	532.0	532.0	532.0	0.531	0.531	0.531	296.0	GigabitEthernet0/0	5956.0	13987.0
birmingham	martinsville	IpWildcardIpSpace{ipWildcard=200.4.148.0/24}	sat	9	444	543.0	543.0	543.0	0.542	0.542	0.542	342.0	GigabitEthernet0/0	5956.0	13987.0
marion	blueridge	IpWildcardIpSpace{ipWildcard=200.5.13.0/24}	sat	8	172	505.0	505.0	505.0	0.505	0.505	0.505	325.0	GigabitEthernet0/0	5956.0	13987.0
leesburg	peerfayetteville7	IpWildcardIpSpace{ipWildcard=200.4.208.0/24}	sat	10	215	515.0	515.0	515.0	0.514	0.514	0.514	310.0	GigabitEthernet0/0	5956.0	13987.0
burlington	lexington	IpWildcardIpSpace{ipWildcard=200.4.154.0/24}	sat	7	177	520.0	520.0	520.0	0.519	0.519	0.519	325.0	GigabitEthernet0/0	5956.0	13987.0
dalton	highttpoint	IpWildcardIpSpace{ipWildcard=200.4.212.0/24}	sat	25	562	577.0	577.0	577.0	0.576	0.576	0.576	334.0	GigabitEthernet0/0	5956.0	13987.0
hawkinsville	crestview	IpWildcardIpSpace{ipWildcard=200.4.143.0/24}	sat	6	176	506.0	506.0	506.0	0.505	0.505	0.505	261.0	GigabitEthernet0/0	5956.0	13987.0
blacksburg	chamersburg	IpWildcardIpSpace{ipWildcard=200.4.244.0/24}	sat	7	301	610.0	610.0	610.0	0.609	0.609	0.609	302.0	GigabitEthernet0/0	5956.0	13987.0
panamattcity	abingdon	IpWildcardIpSpace{ipWildcard=200.4.206.0/24}	sat	15	276	539.0	539.0	539.0	0.538	0.538	0.538	263.0	GigabitEthernet0/0	5956.0	13987.0
leesburgid143	lexington	IpWildcardIpSpace{ipWildcard=200.4.154.0/24}	sat	7	177	517.0	517.0	517.0	0.516	0.516	0.516	307.0	GigabitEthernet0/0	5956.0	13987.0
highttpoint	hickorytttavern	IpWildcardIpSpace{ipWildcard=200.5.18.0/24}	sat	9	206	512.0	512.0	512.0	0.511	0.511	0.511	311.0	GigabitEthernet0/0	5956.0	13987.0
peeralbany0	edinburg	IpWildcardIpSpace{ipWildcard=200.4.238.0/24}	sat	6	170	552.0	552.0	552.0	0.551	0.551	0.551	315.0	GigabitEthernet0/0	5956.0	13987.0
toccoa	blacksburg	IpWildcardIpSpace{ipWildcard=200.4.152.0/24}	sat	12	199	529.0	529.0	529.0	0.528	0.528	0.528	270.0	GigabitEthernet0/0	5956.0	13987.0
durham	christiansburg	IpWildcardIpSpace{ipWildcard=200.4.159.0/24}	sat	12	377	607.0	607.0	607.0	0.607	0.607	0.607	267.0	GigabitEthernet0/0	5956.0	13987.0
durham	salisbury	IpWildcardIpSpace{ipWildcard=200.5.40.0/24}	sat	14	323	528.0	528.0	528.0	0.527	0.527	0.527	270.0	GigabitEthernet0/0	5956.0	13987.0
easley	jacksonvilleid5	IpWildcardIpSpace{ipWildcard=200.4.186.0/24}	sat	3	170	560.0	560.0	560.0	0.559	0.559	0.559	272.0	GigabitEthernet0/0	5956.0	13987.0
