srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
herndon	huntington	IpWildcardIpSpace{ipWildcard=200.4.254.0/24}	sat	29	662	704.0	704.0	704.0	0.702	0.702	0.702	489.0	GigabitEthernet0/0	6304.0	14700.0
franklin	lakettcity	IpWildcardIpSpace{ipWildcard=200.4.230.0/24}	sat	6	226	544.0	544.0	544.0	0.544	0.544	0.544	299.0	GigabitEthernet0/0	6304.0	14700.0
fortttmyers	yemassee	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	sat	9	296	559.0	559.0	559.0	0.558	0.558	0.558	304.0	GigabitEthernet0/0	6304.0	14700.0
stephensttcity	montgomery	IpWildcardIpSpace{ipWildcard=200.4.225.0/24}	sat	7	399	576.0	576.0	576.0	0.575	0.575	0.575	337.0	GigabitEthernet0/0	6304.0	14700.0
danville	crestview	IpWildcardIpSpace{ipWildcard=200.4.143.0/24}	sat	6	223	575.0	575.0	575.0	0.574	0.574	0.574	279.0	GigabitEthernet0/0	6304.0	14700.0
chamersburg	ocala	IpWildcardIpSpace{ipWildcard=200.4.150.0/24}	sat	20	513	641.0	641.0	641.0	0.641	0.641	0.641	290.0	GigabitEthernet0/0	6304.0	14700.0
birmingham	martinsville	IpWildcardIpSpace{ipWildcard=200.4.148.0/24}	sat	17	418	586.0	586.0	586.0	0.584	0.584	0.584	502.0	GigabitEthernet0/0	6304.0	14700.0
marion	blueridge	IpWildcardIpSpace{ipWildcard=200.5.13.0/24}	sat	5	220	595.0	595.0	595.0	0.594	0.594	0.594	331.0	GigabitEthernet0/0	6304.0	14700.0
leesburg	peerfayetteville7	IpWildcardIpSpace{ipWildcard=200.4.208.0/24}	sat	8	274	616.0	616.0	616.0	0.615	0.615	0.615	321.0	GigabitEthernet0/0	6304.0	14700.0
burlington	lexington	IpWildcardIpSpace{ipWildcard=200.4.154.0/24}	sat	7	208	602.0	602.0	602.0	0.601	0.601	0.601	331.0	GigabitEthernet0/0	6304.0	14700.0
dalton	highttpoint	IpWildcardIpSpace{ipWildcard=200.4.212.0/24}	sat	14	355	626.0	626.0	626.0	0.626	0.626	0.626	325.0	GigabitEthernet0/0	6304.0	14700.0
hawkinsville	crestview	IpWildcardIpSpace{ipWildcard=200.4.143.0/24}	sat	8	235	610.0	610.0	610.0	0.609	0.609	0.609	309.0	GigabitEthernet0/0	6304.0	14700.0
blacksburg	chamersburg	IpWildcardIpSpace{ipWildcard=200.4.244.0/24}	sat	9	507	663.0	663.0	663.0	0.662	0.662	0.662	272.0	GigabitEthernet0/0	6304.0	14700.0
panamattcity	abingdon	IpWildcardIpSpace{ipWildcard=200.4.206.0/24}	sat	15	338	633.0	633.0	633.0	0.633	0.633	0.633	264.0	GigabitEthernet0/0	6304.0	14700.0
leesburgid143	lexington	IpWildcardIpSpace{ipWildcard=200.4.154.0/24}	sat	6	209	604.0	604.0	604.0	0.603	0.603	0.603	267.0	GigabitEthernet0/0	6304.0	14700.0
highttpoint	hickorytttavern	IpWildcardIpSpace{ipWildcard=200.5.18.0/24}	sat	13	374	611.0	611.0	611.0	0.61	0.61	0.61	309.0	GigabitEthernet0/0	6304.0	14700.0
peeralbany0	edinburg	IpWildcardIpSpace{ipWildcard=200.4.238.0/24}	sat	4	215	627.0	627.0	627.0	0.626	0.626	0.626	315.0	GigabitEthernet0/0	6304.0	14700.0
toccoa	blacksburg	IpWildcardIpSpace{ipWildcard=200.4.152.0/24}	sat	12	254	610.0	610.0	610.0	0.609	0.609	0.609	293.0	GigabitEthernet0/0	6304.0	14700.0
durham	christiansburg	IpWildcardIpSpace{ipWildcard=200.4.159.0/24}	sat	14	414	690.0	690.0	690.0	0.689	0.689	0.689	271.0	GigabitEthernet0/0	6304.0	14700.0
durham	salisbury	IpWildcardIpSpace{ipWildcard=200.5.40.0/24}	sat	15	417	622.0	622.0	622.0	0.621	0.621	0.621	265.0	GigabitEthernet0/0	6304.0	14700.0
easley	jacksonvilleid5	IpWildcardIpSpace{ipWildcard=200.4.186.0/24}	sat	6	233	652.0	652.0	652.0	0.651	0.651	0.651	275.0	GigabitEthernet0/0	6304.0	14700.0
atlanta	greenvilleid16	IpWildcardIpSpace{ipWildcard=200.5.17.0/24}	sat	8	269	609.0	609.0	609.0	0.609	0.609	0.609	270.0	GigabitEthernet0/0	6304.0	14700.0
blitchton	kinston	IpWildcardIpSpace{ipWildcard=200.4.145.0/24}	sat	10	425	608.0	608.0	608.0	0.607	0.607	0.607	264.0	GigabitEthernet0/0	6304.0	14700.0
martinsburg	danville	IpWildcardIpSpace{ipWildcard=200.5.24.0/24}	sat	8	241	601.0	601.0	601.0	0.6	0.6	0.6	268.0	GigabitEthernet0/0	6304.0	14700.0
aiken	douglas	IpWildcardIpSpace{ipWildcard=200.4.138.0/24}	sat	9	226	651.0	651.0	651.0	0.649	0.649	0.649	268.0	GigabitEthernet0/0	6304.0	14700.0
sparta	lakettcity	IpWildcardIpSpace{ipWildcard=200.4.230.0/24}	sat	7	227	599.0	599.0	599.0	0.599	0.599	0.599	284.0	GigabitEthernet0/0	6304.0	14700.0
savannah	spartanburg	IpWildcardIpSpace{ipWildcard=200.4.160.0/24}	sat	8	240	610.0	610.0	610.0	0.61	0.61	0.61	271.0	GigabitEthernet0/0	6304.0	14700.0
highttpoint	durham	IpWildcardIpSpace{ipWildcard=200.4.207.0/24}	sat	6	251	600.0	600.0	600.0	0.599	0.599	0.599	257.0	GigabitEthernet0/0	6304.0	14700.0
mobile	rockyttmountid11	IpWildcardIpSpace{ipWildcard=200.4.226.0/24}	sat	6	229	597.0	597.0	597.0	0.597	0.597	0.597	266.0	GigabitEthernet0/0	6304.0	14700.0
willacoochee	kingsport	IpWildcardIpSpace{ipWildcard=200.4.227.0/24}	sat	6	229	665.0	665.0	665.0	0.664	0.664	0.664	270.0	GigabitEthernet0/0	6304.0	14700.0
tifton	lancaster	IpWildcardIpSpace{ipWildcard=200.4.171.0/24}	sat	11	407	618.0	618.0	618.0	0.617	0.617	0.617	266.0	GigabitEthernet0/0	6304.0	14700.0
myrtlettbeach	waycross	IpWildcardIpSpace{ipWildcard=200.5.9.0/24}	sat	6	221	601.0	601.0	601.0	0.6	0.6	0.6	263.0	GigabitEthernet0/0	6304.0	14700.0
winterttpark	carlisle	IpWildcardIpSpace{ipWildcard=200.4.224.0/24}	sat	110	1333	1009.0	1009.0	1009.0	1.008	1.008	1.008	261.0	GigabitEthernet0/0	6304.0	14700.0
peerchristiansburg5	blitchton	IpWildcardIpSpace{ipWildcard=200.4.136.0/24}	sat	19	610	726.0	726.0	726.0	0.725	0.725	0.725	268.0	GigabitEthernet0/0	6304.0	14700.0
wytheville	danville	IpWildcardIpSpace{ipWildcard=200.5.24.0/24}	sat	9	252	608.0	608.0	608.0	0.608	0.608	0.608	266.0	GigabitEthernet0/0	6304.0	14700.0
peerblairsville2	omega	IpWildcardIpSpace{ipWildcard=200.4.192.0/24}	sat	8	343	614.0	614.0	614.0	0.614	0.614	0.614	268.0	GigabitEthernet0/0	6304.0	14700.0
martinsburg	baldwin	IpWildcardIpSpace{ipWildcard=200.5.27.0/24}	sat	15	370	632.0	632.0	632.0	0.631	0.631	0.631	287.0	GigabitEthernet0/0	6304.0	14700.0
columbia	youngttharris	IpWildcardIpSpace{ipWildcard=200.4.132.0/24}	sat	6	227	606.0	606.0	606.0	0.606	0.606	0.606	269.0	GigabitEthernet0/0	6304.0	14700.0
hinesville	lynchburg	IpWildcardIpSpace{ipWildcard=200.5.33.0/24}	sat	7	220	603.0	603.0	603.0	0.603	0.603	0.603	274.0	GigabitEthernet0/0	6304.0	14700.0
charlotte	salisbury	IpWildcardIpSpace{ipWildcard=200.5.40.0/24}	sat	10	267	609.0	609.0	609.0	0.609	0.609	0.609	270.0	GigabitEthernet0/0	6304.0	14700.0
blitchton	macon	IpWildcardIpSpace{ipWildcard=200.4.201.0/24}	sat	12	288	603.0	603.0	603.0	0.602	0.602	0.602	268.0	GigabitEthernet0/0	6304.0	14700.0
charlottesville	peerchester4	IpWildcardIpSpace{ipWildcard=200.4.134.0/24}	sat	14	436	623.0	623.0	623.0	0.622	0.622	0.622	257.0	GigabitEthernet0/0	6304.0	14700.0
leesburgid143	yemassee	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	sat	10	315	606.0	606.0	606.0	0.605	0.605	0.605	267.0	GigabitEthernet0/0	6304.0	14700.0
blueridge	columbus	IpWildcardIpSpace{ipWildcard=200.4.167.0/24}	sat	7	231	602.0	602.0	602.0	0.602	0.602	0.602	266.0	GigabitEthernet0/0	6304.0	14700.0
tallahassee	blitchton	IpWildcardIpSpace{ipWildcard=200.4.136.0/24}	sat	14	488	704.0	704.0	704.0	0.703	0.703	0.703	265.0	GigabitEthernet0/0	6304.0	14700.0
kinston	martinsville	IpWildcardIpSpace{ipWildcard=200.4.148.0/24}	sat	14	740	660.0	660.0	660.0	0.659	0.659	0.659	263.0	GigabitEthernet0/0	6304.0	14700.0
