srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
herndon	huntington	IpWildcardIpSpace{ipWildcard=200.4.254.0/24}	sat	202	1221	673.0	673.0	673.0	0.672	0.672	0.672	347.0	GigabitEthernet0/0	6704.0	15306.0
franklin	lakettcity	IpWildcardIpSpace{ipWildcard=200.4.230.0/24}	sat	202	966	618.0	618.0	618.0	0.616	0.616	0.616	320.0	GigabitEthernet0/0	6704.0	15306.0
fortttmyers	yemassee	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	sat	122581	1718421	198843.0	198843.0	198843.0	198.842	198.842	198.842	324.0	GigabitEthernet0/0	6704.0	15306.0
stephensttcity	montgomery	IpWildcardIpSpace{ipWildcard=200.4.225.0/24}	sat	68757	1444496	152380.0	152380.0	152380.0	152.379	152.379	152.379	309.0	GigabitEthernet0/0	6704.0	15306.0
danville	crestview	IpWildcardIpSpace{ipWildcard=200.4.143.0/24}	sat	202	917	636.0	636.0	636.0	0.635	0.635	0.635	297.0	GigabitEthernet0/0	6704.0	15306.0
chamersburg	ocala	IpWildcardIpSpace{ipWildcard=200.4.150.0/24}	sat	202	1476	643.0	643.0	643.0	0.642	0.642	0.642	312.0	GigabitEthernet0/0	6704.0	15306.0
birmingham	martinsville	IpWildcardIpSpace{ipWildcard=200.4.148.0/24}	sat	202	1230	662.0	662.0	662.0	0.662	0.662	0.662	373.0	GigabitEthernet0/0	6704.0	15306.0
marion	blueridge	IpWildcardIpSpace{ipWildcard=200.5.13.0/24}	sat	202	17673	1485.0	1485.0	1485.0	1.485	1.485	1.485	349.0	GigabitEthernet0/0	6704.0	15306.0
leesburg	peerfayetteville7	IpWildcardIpSpace{ipWildcard=200.4.208.0/24}	sat	202	2788	679.0	679.0	679.0	0.678	0.678	0.678	335.0	GigabitEthernet0/0	6704.0	15306.0
burlington	lexington	IpWildcardIpSpace{ipWildcard=200.4.154.0/24}	sat	202	1388	673.0	673.0	673.0	0.673	0.673	0.673	347.0	GigabitEthernet0/0	6704.0	15306.0
dalton	highttpoint	IpWildcardIpSpace{ipWildcard=200.4.212.0/24}	sat	202	17700	1484.0	1484.0	1484.0	1.483	1.483	1.483	346.0	GigabitEthernet0/0	6704.0	15306.0
hawkinsville	crestview	IpWildcardIpSpace{ipWildcard=200.4.143.0/24}	sat	202	917	668.0	668.0	668.0	0.667	0.667	0.667	298.0	GigabitEthernet0/0	6704.0	15306.0
blacksburg	chamersburg	IpWildcardIpSpace{ipWildcard=200.4.244.0/24}	sat	202	2096	688.0	688.0	688.0	0.688	0.688	0.688	337.0	GigabitEthernet0/0	6704.0	15306.0
panamattcity	abingdon	IpWildcardIpSpace{ipWildcard=200.4.206.0/24}	sat	202	2213	725.0	725.0	725.0	0.724	0.724	0.724	336.0	GigabitEthernet0/0	6704.0	15306.0
leesburgid143	lexington	IpWildcardIpSpace{ipWildcard=200.4.154.0/24}	sat	202	1389	684.0	684.0	684.0	0.683	0.683	0.683	335.0	GigabitEthernet0/0	6704.0	15306.0
highttpoint	hickorytttavern	IpWildcardIpSpace{ipWildcard=200.5.18.0/24}	sat	202	3099	704.0	704.0	704.0	0.703	0.703	0.703	341.0	GigabitEthernet0/0	6704.0	15306.0
peeralbany0	edinburg	IpWildcardIpSpace{ipWildcard=200.4.238.0/24}	sat	202	1241	688.0	688.0	688.0	0.688	0.688	0.688	335.0	GigabitEthernet0/0	6704.0	15306.0
toccoa	blacksburg	IpWildcardIpSpace{ipWildcard=200.4.152.0/24}	sat	202	707	666.0	666.0	666.0	0.666	0.666	0.666	304.0	GigabitEthernet0/0	6704.0	15306.0
durham	christiansburg	IpWildcardIpSpace{ipWildcard=200.4.159.0/24}	sat	202	17072	1447.0	1447.0	1447.0	1.447	1.447	1.447	307.0	GigabitEthernet0/0	6704.0	15306.0
durham	salisbury	IpWildcardIpSpace{ipWildcard=200.5.40.0/24}	sat	202	762	669.0	669.0	669.0	0.668	0.668	0.668	291.0	GigabitEthernet0/0	6704.0	15306.0
easley	jacksonvilleid5	IpWildcardIpSpace{ipWildcard=200.4.186.0/24}	sat	202	17188	1449.0	1449.0	1449.0	1.448	1.448	1.448	286.0	GigabitEthernet0/0	6704.0	15306.0
atlanta	greenvilleid16	IpWildcardIpSpace{ipWildcard=200.5.17.0/24}	sat	202	2812	683.0	683.0	683.0	0.682	0.682	0.682	290.0	GigabitEthernet0/0	6704.0	15306.0
blitchton	kinston	IpWildcardIpSpace{ipWildcard=200.4.145.0/24}	sat	202	2275	696.0	696.0	696.0	0.695	0.695	0.695	286.0	GigabitEthernet0/0	6704.0	15306.0
martinsburg	danville	IpWildcardIpSpace{ipWildcard=200.5.24.0/24}	sat	202	17555	1461.0	1461.0	1461.0	1.46	1.46	1.46	287.0	GigabitEthernet0/0	6704.0	15306.0
aiken	douglas	IpWildcardIpSpace{ipWildcard=200.4.138.0/24}	sat	202	17230	1457.0	1457.0	1457.0	1.456	1.456	1.456	278.0	GigabitEthernet0/0	6704.0	15306.0
sparta	lakettcity	IpWildcardIpSpace{ipWildcard=200.4.230.0/24}	sat	202	966	687.0	687.0	687.0	0.686	0.686	0.686	308.0	GigabitEthernet0/0	6704.0	15306.0
savannah	spartanburg	IpWildcardIpSpace{ipWildcard=200.4.160.0/24}	sat	202	17318	1476.0	1476.0	1476.0	1.475	1.475	1.475	294.0	GigabitEthernet0/0	6704.0	15306.0
