srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
herndon	huntington	IpWildcardIpSpace{ipWildcard=200.4.254.0/24}	sat	17031	165974	23873.0	23873.0	23873.0	23.872	23.872	23.872	345.0	GigabitEthernet0/0	6704.0	15306.0
franklin	lakettcity	IpWildcardIpSpace{ipWildcard=200.4.230.0/24}	sat	18665	178135	23054.0	23054.0	23054.0	23.054	23.054	23.054	317.0	GigabitEthernet0/0	6704.0	15306.0
fortttmyers	yemassee	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	sat	24142	200918	28673.0	28673.0	28673.0	28.672	28.672	28.672	332.0	GigabitEthernet0/0	6704.0	15306.0
stephensttcity	montgomery	IpWildcardIpSpace{ipWildcard=200.4.225.0/24}	sat	52144	358313	76311.0	76311.0	76311.0	76.31	76.31	76.31	316.0	GigabitEthernet0/0	6704.0	15306.0
danville	crestview	IpWildcardIpSpace{ipWildcard=200.4.143.0/24}	sat	29486	228979	38474.0	38474.0	38474.0	38.473	38.473	38.473	297.0	GigabitEthernet0/0	6704.0	15306.0
chamersburg	ocala	IpWildcardIpSpace{ipWildcard=200.4.150.0/24}	sat	23169	207295	30010.0	30010.0	30010.0	30.009	30.009	30.009	312.0	GigabitEthernet0/0	6704.0	15306.0
birmingham	martinsville	IpWildcardIpSpace{ipWildcard=200.4.148.0/24}	sat	25684	207692	34124.0	34124.0	34124.0	34.124	34.124	34.124	371.0	GigabitEthernet0/0	6704.0	15306.0
marion	blueridge	IpWildcardIpSpace{ipWildcard=200.5.13.0/24}	sat	20197	181953	24198.0	24198.0	24198.0	24.197	24.197	24.197	349.0	GigabitEthernet0/0	6704.0	15306.0
leesburg	peerfayetteville7	IpWildcardIpSpace{ipWildcard=200.4.208.0/24}	sat	26612	206737	36004.0	36004.0	36004.0	36.004	36.004	36.004	337.0	GigabitEthernet0/0	6704.0	15306.0
burlington	lexington	IpWildcardIpSpace{ipWildcard=200.4.154.0/24}	sat	62531	371449	85747.0	85747.0	85747.0	85.745	85.745	85.745	363.0	GigabitEthernet0/0	6704.0	15306.0
dalton	highttpoint	IpWildcardIpSpace{ipWildcard=200.4.212.0/24}	sat	12612	133064	15413.0	15413.0	15413.0	15.412	15.412	15.412	358.0	GigabitEthernet0/0	6704.0	15306.0
hawkinsville	crestview	IpWildcardIpSpace{ipWildcard=200.4.143.0/24}	sat	25176	200983	32600.0	32600.0	32600.0	32.599	32.599	32.599	287.0	GigabitEthernet0/0	6704.0	15306.0
blacksburg	chamersburg	IpWildcardIpSpace{ipWildcard=200.4.244.0/24}	sat	11090	114878	14460.0	14460.0	14460.0	14.459	14.459	14.459	332.0	GigabitEthernet0/0	6704.0	15306.0
panamattcity	abingdon	IpWildcardIpSpace{ipWildcard=200.4.206.0/24}	sat	32816	244455	48893.0	48893.0	48893.0	48.892	48.892	48.892	283.0	GigabitEthernet0/0	6704.0	15306.0
leesburgid143	lexington	IpWildcardIpSpace{ipWildcard=200.4.154.0/24}	sat	14383	144601	17578.0	17578.0	17578.0	17.577	17.577	17.577	334.0	GigabitEthernet0/0	6704.0	15306.0
highttpoint	hickorytttavern	IpWildcardIpSpace{ipWildcard=200.5.18.0/24}	sat	17398	161584	19999.0	19999.0	19999.0	19.998	19.998	19.998	334.0	GigabitEthernet0/0	6704.0	15306.0
peeralbany0	edinburg	IpWildcardIpSpace{ipWildcard=200.4.238.0/24}	sat	4077	74751	5406.0	5406.0	5406.0	5.405	5.405	5.405	332.0	GigabitEthernet0/0	6704.0	15306.0
toccoa	blacksburg	IpWildcardIpSpace{ipWildcard=200.4.152.0/24}	sat	105445	500646	140111.0	140111.0	140111.0	140.11	140.11	140.11	308.0	GigabitEthernet0/0	6704.0	15306.0
durham	christiansburg	IpWildcardIpSpace{ipWildcard=200.4.159.0/24}	sat	34260	258980	48725.0	48725.0	48725.0	48.724	48.724	48.724	298.0	GigabitEthernet0/0	6704.0	15306.0
durham	salisbury	IpWildcardIpSpace{ipWildcard=200.5.40.0/24}	sat	17174	152376	20854.0	20854.0	20854.0	20.853	20.853	20.853	288.0	GigabitEthernet0/0	6704.0	15306.0
easley	jacksonvilleid5	IpWildcardIpSpace{ipWildcard=200.4.186.0/24}	sat	85018	475287	112866.0	112866.0	112866.0	112.865	112.865	112.865	281.0	GigabitEthernet0/0	6704.0	15306.0
atlanta	greenvilleid16	IpWildcardIpSpace{ipWildcard=200.5.17.0/24}	sat	32126	256012	44186.0	44186.0	44186.0	44.186	44.186	44.186	287.0	GigabitEthernet0/0	6704.0	15306.0
blitchton	kinston	IpWildcardIpSpace{ipWildcard=200.4.145.0/24}	sat	91833	464544	119113.0	119113.0	119113.0	119.112	119.112	119.112	287.0	GigabitEthernet0/0	6704.0	15306.0
martinsburg	danville	IpWildcardIpSpace{ipWildcard=200.5.24.0/24}	sat	38753	281949	54145.0	54145.0	54145.0	54.144	54.144	54.144	282.0	GigabitEthernet0/0	6704.0	15306.0
aiken	douglas	IpWildcardIpSpace{ipWildcard=200.4.138.0/24}	sat	53060	317023	64685.0	64685.0	64685.0	64.685	64.685	64.685	284.0	GigabitEthernet0/0	6704.0	15306.0
sparta	lakettcity	IpWildcardIpSpace{ipWildcard=200.4.230.0/24}	sat	61041	375067	85974.0	85974.0	85974.0	85.973	85.973	85.973	306.0	GigabitEthernet0/0	6704.0	15306.0
savannah	spartanburg	IpWildcardIpSpace{ipWildcard=200.4.160.0/24}	sat	68510	384356	82785.0	82785.0	82785.0	82.784	82.784	82.784	287.0	GigabitEthernet0/0	6704.0	15306.0
highttpoint	durham	IpWildcardIpSpace{ipWildcard=200.4.207.0/24}	sat	56701	340418	66717.0	66717.0	66717.0	66.717	66.717	66.717	293.0	GigabitEthernet0/0	6704.0	15306.0
mobile	rockyttmountid11	IpWildcardIpSpace{ipWildcard=200.4.226.0/24}	sat	14555	156997	18485.0	18485.0	18485.0	18.484	18.484	18.484	285.0	GigabitEthernet0/0	6704.0	15306.0
willacoochee	kingsport	IpWildcardIpSpace{ipWildcard=200.4.227.0/24}	sat	45692	305400	65830.0	65830.0	65830.0	65.829	65.829	65.829	293.0	GigabitEthernet0/0	6704.0	15306.0
tifton	lancaster	IpWildcardIpSpace{ipWildcard=200.4.171.0/24}	sat	22625	195097	28547.0	28547.0	28547.0	28.546	28.546	28.546	288.0	GigabitEthernet0/0	6704.0	15306.0
myrtlettbeach	waycross	IpWildcardIpSpace{ipWildcard=200.5.9.0/24}	sat	115435	548474	147525.0	147525.0	147525.0	147.524	147.524	147.524	288.0	GigabitEthernet0/0	6704.0	15306.0
winterttpark	carlisle	IpWildcardIpSpace{ipWildcard=200.4.224.0/24}	sat	7836	111150	9498.0	9498.0	9498.0	9.497	9.497	9.497	276.0	GigabitEthernet0/0	6704.0	15306.0
peerchristiansburg5	blitchton	IpWildcardIpSpace{ipWildcard=200.4.136.0/24}	sat	33070	266337	47101.0	47101.0	47101.0	47.1	47.1	47.1	291.0	GigabitEthernet0/0	6704.0	15306.0
wytheville	danville	IpWildcardIpSpace{ipWildcard=200.5.24.0/24}	sat	95360	485655	122977.0	122977.0	122977.0	122.976	122.976	122.976	281.0	GigabitEthernet0/0	6704.0	15306.0
peerblairsville2	omega	IpWildcardIpSpace{ipWildcard=200.4.192.0/24}	sat	18567	170986	21550.0	21550.0	21550.0	21.549	21.549	21.549	287.0	GigabitEthernet0/0	6704.0	15306.0
martinsburg	baldwin	IpWildcardIpSpace{ipWildcard=200.5.27.0/24}	sat	33248	248625	47327.0	47327.0	47327.0	47.327	47.327	47.327	301.0	GigabitEthernet0/0	6704.0	15306.0
