srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
ljubljana	koper	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	506	1771	242.0	242.0	242.0	0.24	0.24	0.24	602.0	GigabitEthernet0/0	2392.0	4379.0
dravograd	jesenice	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	unsat	844	1808	291.0	291.0	291.0	0.291	0.291	0.291	481.0	GigabitEthernet0/0	2392.0	4379.0
kovevje	ljutomer	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	418	1173	235.0	235.0	235.0	0.234	0.234	0.234	473.0	GigabitEthernet0/0	2392.0	4379.0
kovevje	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	325	965	214.0	214.0	214.0	0.213	0.213	0.213	476.0	GigabitEthernet0/0	2392.0	4379.0
ljutomer	gornjattradgona	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	unsat	373	1070	250.0	250.0	250.0	0.25	0.25	0.25	463.0	GigabitEthernet0/0	2392.0	4379.0
radenci	maribor	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	300	741	209.0	209.0	209.0	0.208	0.208	0.208	473.0	GigabitEthernet0/0	2392.0	4379.0
celje	slovenskattbistrica	IpWildcardIpSpace{ipWildcard=200.0.31.0/24}	unsat	626	1554	311.0	311.0	311.0	0.311	0.311	0.311	467.0	GigabitEthernet0/0	2392.0	4379.0
izola	lasko	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	336	1064	221.0	221.0	221.0	0.22	0.22	0.22	462.0	GigabitEthernet0/0	2392.0	4379.0
bled	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	443	1270	241.0	241.0	241.0	0.24	0.24	0.24	469.0	GigabitEthernet0/0	2392.0	4379.0
ptuj	ormoz	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	unsat	427	975	230.0	230.0	230.0	0.229	0.229	0.229	460.0	GigabitEthernet0/0	2392.0	4379.0
ljubljana	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	unsat	570	1412	262.0	262.0	262.0	0.261	0.261	0.261	460.0	GigabitEthernet0/0	2392.0	4379.0
tolmin	novottmesto	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	unsat	571	1584	267.0	267.0	267.0	0.266	0.266	0.266	467.0	GigabitEthernet0/0	2392.0	4379.0
murskattsobota	kamnik	IpWildcardIpSpace{ipWildcard=200.0.8.0/24}	unsat	1103	2613	341.0	341.0	341.0	0.341	0.341	0.341	449.0	GigabitEthernet0/0	2392.0	4379.0
