srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
ljubljana	koper	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	880	2843	322.0	322.0	322.0	0.322	0.322	0.322	527.0	GigabitEthernet0/0	2392.0	4379.0
dravograd	jesenice	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	unsat	695	2286	291.0	291.0	291.0	0.291	0.291	0.291	475.0	GigabitEthernet0/0	2392.0	4379.0
kovevje	ljutomer	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	701	2434	336.0	336.0	336.0	0.336	0.336	0.336	511.0	GigabitEthernet0/0	2392.0	4379.0
kovevje	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	467	1641	228.0	228.0	228.0	0.228	0.228	0.228	467.0	GigabitEthernet0/0	2392.0	4379.0
ljutomer	gornjattradgona	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	unsat	570	2034	288.0	288.0	288.0	0.288	0.288	0.288	454.0	GigabitEthernet0/0	2392.0	4379.0
radenci	maribor	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	431	1446	228.0	228.0	228.0	0.228	0.228	0.228	470.0	GigabitEthernet0/0	2392.0	4379.0
celje	slovenskattbistrica	IpWildcardIpSpace{ipWildcard=200.0.31.0/24}	unsat	578	2069	278.0	278.0	278.0	0.277	0.277	0.277	471.0	GigabitEthernet0/0	2392.0	4379.0
izola	lasko	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	514	1885	247.0	247.0	247.0	0.247	0.247	0.247	464.0	GigabitEthernet0/0	2392.0	4379.0
bled	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	558	1681	241.0	241.0	241.0	0.24	0.24	0.24	472.0	GigabitEthernet0/0	2392.0	4379.0
ptuj	ormoz	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	unsat	552	1925	253.0	253.0	253.0	0.252	0.252	0.252	464.0	GigabitEthernet0/0	2392.0	4379.0
ljubljana	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	unsat	600	2038	260.0	260.0	260.0	0.259	0.259	0.259	458.0	GigabitEthernet0/0	2392.0	4379.0
tolmin	novottmesto	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	unsat	517	1419	244.0	244.0	244.0	0.243	0.243	0.243	450.0	GigabitEthernet0/0	2392.0	4379.0
murskattsobota	kamnik	IpWildcardIpSpace{ipWildcard=200.0.8.0/24}	unsat	631	2313	269.0	269.0	269.0	0.268	0.268	0.268	452.0	GigabitEthernet0/0	2392.0	4379.0
divaca	dravograd	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	unsat	555	2205	268.0	268.0	268.0	0.268	0.268	0.268	452.0	GigabitEthernet0/0	2392.0	4379.0
