srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
ljubljana	koper	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	2	20	124.0	124.0	124.0	0.123	0.123	0.123	504.0	GigabitEthernet0/0	2392.0	4379.0
dravograd	jesenice	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	sat	11	117	128.0	128.0	128.0	0.128	0.128	0.128	492.0	GigabitEthernet0/0	2392.0	4379.0
kovevje	ljutomer	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	7	90	125.0	125.0	125.0	0.124	0.124	0.124	468.0	GigabitEthernet0/0	2392.0	4379.0
kovevje	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	8	78	127.0	127.0	127.0	0.126	0.126	0.126	455.0	GigabitEthernet0/0	2392.0	4379.0
ljutomer	gornjattradgona	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	sat	4	70	129.0	129.0	129.0	0.128	0.128	0.128	459.0	GigabitEthernet0/0	2392.0	4379.0
radenci	maribor	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	4	72	132.0	132.0	132.0	0.131	0.131	0.131	464.0	GigabitEthernet0/0	2392.0	4379.0
celje	slovenskattbistrica	IpWildcardIpSpace{ipWildcard=200.0.31.0/24}	sat	4	66	123.0	123.0	123.0	0.123	0.123	0.123	459.0	GigabitEthernet0/0	2392.0	4379.0
izola	lasko	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	11	169	124.0	124.0	124.0	0.124	0.124	0.124	473.0	GigabitEthernet0/0	2392.0	4379.0
bled	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	8	88	127.0	127.0	127.0	0.126	0.126	0.126	460.0	GigabitEthernet0/0	2392.0	4379.0
ptuj	ormoz	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	185	765	205.0	205.0	205.0	0.204	0.204	0.204	476.0	GigabitEthernet0/0	2392.0	4379.0
ljubljana	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	sat	3	22	118.0	118.0	118.0	0.118	0.118	0.118	453.0	GigabitEthernet0/0	2392.0	4379.0
tolmin	novottmesto	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	0	39	119.0	119.0	119.0	0.119	0.119	0.119	448.0	GigabitEthernet0/0	2392.0	4379.0
murskattsobota	kamnik	IpWildcardIpSpace{ipWildcard=200.0.8.0/24}	sat	4	58	121.0	121.0	121.0	0.12	0.12	0.12	455.0	GigabitEthernet0/0	2392.0	4379.0
divaca	dravograd	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	sat	12	140	126.0	126.0	126.0	0.125	0.125	0.125	464.0	GigabitEthernet0/0	2392.0	4379.0
kamnik	tolmin	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	12	135	126.0	126.0	126.0	0.125	0.125	0.125	451.0	GigabitEthernet0/0	2392.0	4379.0
jesenice	ljubljana	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	9	140	124.0	124.0	124.0	0.124	0.124	0.124	502.0	GigabitEthernet0/0	2392.0	4379.0
