srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
ljubljana	koper	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	0	52	123.0	123.0	123.0	0.122	0.122	0.122	502.0	GigabitEthernet0/0	2392.0	4297.0
dravograd	jesenice	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	sat	0	52	124.0	124.0	124.0	0.123	0.123	0.123	470.0	GigabitEthernet0/0	2392.0	4297.0
kovevje	ljutomer	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	0	8	125.0	125.0	125.0	0.125	0.125	0.125	463.0	GigabitEthernet0/0	2392.0	4297.0
kovevje	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	0	51	125.0	125.0	125.0	0.125	0.125	0.125	450.0	GigabitEthernet0/0	2392.0	4297.0
ljutomer	gornjattradgona	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	sat	0	51	124.0	124.0	124.0	0.124	0.124	0.124	458.0	GigabitEthernet0/0	2392.0	4297.0
radenci	maribor	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	22	237	133.0	133.0	133.0	0.133	0.133	0.133	461.0	GigabitEthernet0/0	2392.0	4297.0
celje	slovenskattbistrica	IpWildcardIpSpace{ipWildcard=200.0.31.0/24}	sat	0	51	121.0	121.0	121.0	0.12	0.12	0.12	470.0	GigabitEthernet0/0	2392.0	4297.0
izola	lasko	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	83	557	165.0	165.0	165.0	0.163	0.163	0.163	456.0	GigabitEthernet0/0	2392.0	4297.0
bled	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	0	51	121.0	121.0	121.0	0.12	0.12	0.12	455.0	GigabitEthernet0/0	2392.0	4297.0
ptuj	ormoz	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	0	51	120.0	120.0	120.0	0.119	0.119	0.119	454.0	GigabitEthernet0/0	2392.0	4297.0
ljubljana	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	sat	0	51	124.0	124.0	124.0	0.123	0.123	0.123	459.0	GigabitEthernet0/0	2392.0	4297.0
tolmin	novottmesto	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	0	51	121.0	121.0	121.0	0.12	0.12	0.12	459.0	GigabitEthernet0/0	2392.0	4297.0
murskattsobota	kamnik	IpWildcardIpSpace{ipWildcard=200.0.8.0/24}	sat	0	51	122.0	122.0	122.0	0.121	0.121	0.121	450.0	GigabitEthernet0/0	2392.0	4297.0
divaca	dravograd	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	sat	23	209	136.0	136.0	136.0	0.136	0.136	0.136	458.0	GigabitEthernet0/0	2392.0	4297.0
kamnik	tolmin	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	0	51	122.0	122.0	122.0	0.121	0.121	0.121	453.0	GigabitEthernet0/0	2392.0	4297.0
jesenice	ljubljana	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	32	234	142.0	142.0	142.0	0.141	0.141	0.141	458.0	GigabitEthernet0/0	2392.0	4297.0
jesenice	novattgorica	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	0	9	120.0	120.0	120.0	0.119	0.119	0.119	446.0	GigabitEthernet0/0	2392.0	4297.0
slovenskattbistrica	divaca	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	0	52	118.0	118.0	118.0	0.118	0.118	0.118	465.0	GigabitEthernet0/0	2392.0	4297.0
ljubljana	senozece	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	0	14	120.0	120.0	120.0	0.119	0.119	0.119	446.0	GigabitEthernet0/0	2392.0	4297.0
jesenice	dravograd	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	sat	23	209	131.0	131.0	131.0	0.13	0.13	0.13	463.0	GigabitEthernet0/0	2392.0	4297.0
slovenjttgradec	ptuj	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	0	12	120.0	120.0	120.0	0.12	0.12	0.12	443.0	GigabitEthernet0/0	2392.0	4297.0
slovenskattbistrica	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	sat	0	51	119.0	119.0	119.0	0.118	0.118	0.118	441.0	GigabitEthernet0/0	2392.0	4297.0
postojna	krsko	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	sat	0	51	122.0	122.0	122.0	0.121	0.121	0.121	446.0	GigabitEthernet0/0	2392.0	4297.0
portoroz	divaca	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	0	52	118.0	118.0	118.0	0.117	0.117	0.117	448.0	GigabitEthernet0/0	2392.0	4297.0
maribor	murskattsobota	IpWildcardIpSpace{ipWildcard=200.0.17.0/24}	sat	0	51	119.0	119.0	119.0	0.119	0.119	0.119	441.0	GigabitEthernet0/0	2392.0	4297.0
lasko	kovevje	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	0	51	120.0	120.0	120.0	0.119	0.119	0.119	439.0	GigabitEthernet0/0	2392.0	4297.0
senozece	lasko	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	84	518	168.0	168.0	168.0	0.167	0.167	0.167	533.0	GigabitEthernet0/0	2392.0	4297.0
rogasjattslatina	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	sat	0	51	122.0	122.0	122.0	0.121	0.121	0.121	436.0	GigabitEthernet0/0	2392.0	4297.0
koper	divaca	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	0	52	119.0	119.0	119.0	0.119	0.119	0.119	445.0	GigabitEthernet0/0	2392.0	4297.0
slovenjttgradec	ravnettnattkoroskem	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	0	52	131.0	131.0	131.0	0.13	0.13	0.13	481.0	GigabitEthernet0/0	2392.0	4297.0
kamnik	celje	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	0	9	118.0	118.0	118.0	0.118	0.118	0.118	451.0	GigabitEthernet0/0	2392.0	4297.0
ajdovscina	celje	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	0	10	119.0	119.0	119.0	0.118	0.118	0.118	452.0	GigabitEthernet0/0	2392.0	4297.0
tolmin	kranj	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	0	17	120.0	120.0	120.0	0.12	0.12	0.12	451.0	GigabitEthernet0/0	2392.0	4297.0
ajdovscina	krsko	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	sat	0	51	121.0	121.0	121.0	0.121	0.121	0.121	446.0	GigabitEthernet0/0	2392.0	4297.0
kranj	koper	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	0	51	118.0	118.0	118.0	0.118	0.118	0.118	447.0	GigabitEthernet0/0	2392.0	4297.0
ajdovscina	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	sat	0	51	120.0	120.0	120.0	0.119	0.119	0.119	443.0	GigabitEthernet0/0	2392.0	4297.0
kranj	peerljutomer0	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	0	51	120.0	120.0	120.0	0.119	0.119	0.119	437.0	GigabitEthernet0/0	2392.0	4297.0
kranj	senozece	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	0	13	148.0	148.0	148.0	0.147	0.147	0.147	440.0	GigabitEthernet0/0	2392.0	4297.0
velenje	senozece	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	0	12	120.0	120.0	120.0	0.119	0.119	0.119	440.0	GigabitEthernet0/0	2392.0	4297.0
bled	koper	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	0	52	118.0	118.0	118.0	0.118	0.118	0.118	443.0	GigabitEthernet0/0	2392.0	4297.0
rogasjattslatina	maribor	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	22	237	130.0	130.0	130.0	0.129	0.129	0.129	446.0	GigabitEthernet0/0	2392.0	4297.0
velenje	bled	IpWildcardIpSpace{ipWildcard=200.0.1.0/24}	sat	0	51	120.0	120.0	120.0	0.119	0.119	0.119	439.0	GigabitEthernet0/0	2392.0	4297.0
lasko	radenci	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	0	51	121.0	121.0	121.0	0.12	0.12	0.12	439.0	GigabitEthernet0/0	2392.0	4297.0
celje	ravnettnattkoroskem	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	0	51	121.0	121.0	121.0	0.12	0.12	0.12	441.0	GigabitEthernet0/0	2392.0	4297.0
portoroz	novottmesto	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	0	51	120.0	120.0	120.0	0.119	0.119	0.119	440.0	GigabitEthernet0/0	2392.0	4297.0
novattgorica	ravnettnattkoroskem	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	0	51	120.0	120.0	120.0	0.119	0.119	0.119	435.0	GigabitEthernet0/0	2392.0	4297.0
radenci	novattgorica	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	0	8	120.0	120.0	120.0	0.119	0.119	0.119	444.0	GigabitEthernet0/0	2392.0	4297.0
slovenskattbistrica	ljutomer	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	0	8	119.0	119.0	119.0	0.118	0.118	0.118	439.0	GigabitEthernet0/0	2392.0	4297.0
slovenjttgradec	postojna	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	0	52	119.0	119.0	119.0	0.118	0.118	0.118	441.0	GigabitEthernet0/0	2392.0	4297.0
ravnettnattkoroskem	ptuj	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	0	12	120.0	120.0	120.0	0.119	0.119	0.119	438.0	GigabitEthernet0/0	2392.0	4297.0
