srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
praha	barcelona	IpWildcardIpSpace{ipWildcard=200.1.35.0/24}	unsat	1742	3203	982.0	982.0	982.0	0.98	0.98	0.98	934.0	GigabitEthernet0/0	6662.0	9332.0
brussels	peerbrussels4	IpWildcardIpSpace{ipWildcard=200.1.28.0/24}	unsat	1276	4006	992.0	992.0	992.0	0.991	0.991	0.991	762.0	GigabitEthernet0/0	6662.0	9332.0
peerbarcelona1	peerbasel2	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	unsat	1078	2562	680.0	680.0	680.0	0.679	0.679	0.679	772.0	GigabitEthernet0/0	6662.0	9332.0
peerbrussels5	peermilan14	IpWildcardIpSpace{ipWildcard=200.1.62.0/24}	unsat	1406	3439	810.0	810.0	810.0	0.809	0.809	0.809	769.0	GigabitEthernet0/0	6662.0	9332.0
peerbasel3	peergeneva9	IpWildcardIpSpace{ipWildcard=200.1.54.0/24}	unsat	1192	2376	691.0	691.0	691.0	0.69	0.69	0.69	729.0	GigabitEthernet0/0	6662.0	9332.0
zagreb	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	unsat	1440	3030	748.0	748.0	748.0	0.747	0.747	0.747	796.0	GigabitEthernet0/0	6662.0	9332.0
peerbrussels4	vienna	IpWildcardIpSpace{ipWildcard=200.1.48.0/24}	unsat	1524	2716	741.0	741.0	741.0	0.741	0.741	0.741	732.0	GigabitEthernet0/0	6662.0	9332.0
madrid	peermarseille13	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	unsat	974	2411	667.0	667.0	667.0	0.667	0.667	0.667	746.0	GigabitEthernet0/0	6662.0	9332.0
athens	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	unsat	1383	2956	736.0	736.0	736.0	0.735	0.735	0.735	815.0	GigabitEthernet0/0	6662.0	9332.0
peerfrankfurt7	ljubjana	IpWildcardIpSpace{ipWildcard=200.1.60.0/24}	unsat	1050	2192	643.0	643.0	643.0	0.642	0.642	0.642	731.0	GigabitEthernet0/0	6662.0	9332.0
