srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
praha	barcelona	IpWildcardIpSpace{ipWildcard=200.1.35.0/24}	unsat	1035	2998	674.0	674.0	674.0	0.673	0.673	0.673	862.0	GigabitEthernet0/0	6662.0	9332.0
brussels	peerbrussels4	IpWildcardIpSpace{ipWildcard=200.1.28.0/24}	unsat	1241	4233	754.0	754.0	754.0	0.753	0.753	0.753	766.0	GigabitEthernet0/0	6662.0	9332.0
peerbarcelona1	peerbasel2	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	unsat	1283	4472	745.0	745.0	745.0	0.744	0.744	0.744	759.0	GigabitEthernet0/0	6662.0	9332.0
peerbrussels5	peermilan14	IpWildcardIpSpace{ipWildcard=200.1.62.0/24}	unsat	1000	3433	618.0	618.0	618.0	0.617	0.617	0.617	757.0	GigabitEthernet0/0	6662.0	9332.0
peerbasel3	peergeneva9	IpWildcardIpSpace{ipWildcard=200.1.54.0/24}	unsat	969	3248	571.0	571.0	571.0	0.57	0.57	0.57	731.0	GigabitEthernet0/0	6662.0	9332.0
zagreb	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	unsat	1014	3199	605.0	605.0	605.0	0.604	0.604	0.604	742.0	GigabitEthernet0/0	6662.0	9332.0
peerbrussels4	vienna	IpWildcardIpSpace{ipWildcard=200.1.48.0/24}	unsat	982	3165	577.0	577.0	577.0	0.576	0.576	0.576	747.0	GigabitEthernet0/0	6662.0	9332.0
madrid	peermarseille13	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	unsat	961	3518	604.0	604.0	604.0	0.603	0.603	0.603	741.0	GigabitEthernet0/0	6662.0	9332.0
athens	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	unsat	1088	3670	686.0	686.0	686.0	0.685	0.685	0.685	733.0	GigabitEthernet0/0	6662.0	9332.0
peerfrankfurt7	ljubjana	IpWildcardIpSpace{ipWildcard=200.1.60.0/24}	unsat	960	2952	585.0	585.0	585.0	0.585	0.585	0.585	729.0	GigabitEthernet0/0	6662.0	9332.0
brussels	praha	IpWildcardIpSpace{ipWildcard=200.1.24.0/24}	unsat	1269	4174	693.0	693.0	693.0	0.693	0.693	0.693	809.0	GigabitEthernet0/0	6662.0	9332.0
strasbourg	bratislava	IpWildcardIpSpace{ipWildcard=200.1.44.0/24}	unsat	1005	2948	533.0	533.0	533.0	0.532	0.532	0.532	728.0	GigabitEthernet0/0	6662.0	9332.0
peeristanbul10	marseille	IpWildcardIpSpace{ipWildcard=200.1.50.0/24}	unsat	1002	3585	651.0	651.0	651.0	0.65	0.65	0.65	741.0	GigabitEthernet0/0	6662.0	9332.0
luxembourg	dublin	IpWildcardIpSpace{ipWildcard=200.1.52.0/24}	unsat	1051	3431	594.0	594.0	594.0	0.593	0.593	0.593	726.0	GigabitEthernet0/0	6662.0	9332.0
paris	basel	IpWildcardIpSpace{ipWildcard=200.1.25.0/24}	unsat	996	3173	619.0	619.0	619.0	0.618	0.618	0.618	736.0	GigabitEthernet0/0	6662.0	9332.0
peerbrussels6	peergeneva8	IpWildcardIpSpace{ipWildcard=200.1.55.0/24}	unsat	928	3346	553.0	553.0	553.0	0.552	0.552	0.552	727.0	GigabitEthernet0/0	6662.0	9332.0
peerstrasbourg15	zurich	IpWildcardIpSpace{ipWildcard=200.1.66.0/24}	unsat	929	3105	549.0	549.0	549.0	0.548	0.548	0.548	744.0	GigabitEthernet0/0	6662.0	9332.0
istanbul	rotterdam	IpWildcardIpSpace{ipWildcard=200.1.42.0/24}	unsat	1221	4202	659.0	659.0	659.0	0.658	0.658	0.658	733.0	GigabitEthernet0/0	6662.0	9332.0
barcelona	warsaw	IpWildcardIpSpace{ipWildcard=200.1.67.0/24}	unsat	1221	4267	678.0	678.0	678.0	0.678	0.678	0.678	760.0	GigabitEthernet0/0	6662.0	9332.0
peerbasel2	warsaw	IpWildcardIpSpace{ipWildcard=200.1.67.0/24}	unsat	1232	4293	672.0	672.0	672.0	0.671	0.671	0.671	723.0	GigabitEthernet0/0	6662.0	9332.0
frankfurt	zurich	IpWildcardIpSpace{ipWildcard=200.1.66.0/24}	unsat	1179	3562	631.0	631.0	631.0	0.631	0.631	0.631	723.0	GigabitEthernet0/0	6662.0	9332.0
peeramsterdam0	peermarseille13	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	unsat	1157	3911	610.0	610.0	610.0	0.61	0.61	0.61	723.0	GigabitEthernet0/0	6662.0	9332.0
athens	geneva	IpWildcardIpSpace{ipWildcard=200.1.58.0/24}	unsat	1059	3651	618.0	618.0	618.0	0.618	0.618	0.618	727.0	GigabitEthernet0/0	6662.0	9332.0
strasbourg	geneva	IpWildcardIpSpace{ipWildcard=200.1.58.0/24}	unsat	921	3475	608.0	608.0	608.0	0.607	0.607	0.607	735.0	GigabitEthernet0/0	6662.0	9332.0
peerbrussels5	praha	IpWildcardIpSpace{ipWildcard=200.1.24.0/24}	unsat	1287	4414	657.0	657.0	657.0	0.657	0.657	0.657	730.0	GigabitEthernet0/0	6662.0	9332.0
istanbul	zurich	IpWildcardIpSpace{ipWildcard=200.1.66.0/24}	unsat	1183	3232	627.0	627.0	627.0	0.626	0.626	0.626	741.0	GigabitEthernet0/0	6662.0	9332.0
strasbourg	peerstrasbourg15	IpWildcardIpSpace{ipWildcard=200.1.63.0/24}	unsat	885	2895	586.0	586.0	586.0	0.586	0.586	0.586	731.0	GigabitEthernet0/0	6662.0	9332.0
budapest	bucharest	IpWildcardIpSpace{ipWildcard=200.1.36.0/24}	unsat	800	2577	527.0	527.0	527.0	0.527	0.527	0.527	728.0	GigabitEthernet0/0	6662.0	9332.0
peerbrussels5	lisbon	IpWildcardIpSpace{ipWildcard=200.1.32.0/24}	unsat	949	3106	584.0	584.0	584.0	0.583	0.583	0.583	719.0	GigabitEthernet0/0	6662.0	9332.0
peerbrussels4	sofia	IpWildcardIpSpace{ipWildcard=200.1.65.0/24}	unsat	863	3141	589.0	589.0	589.0	0.589	0.589	0.589	747.0	GigabitEthernet0/0	6662.0	9332.0
lyon	kiev	IpWildcardIpSpace{ipWildcard=200.1.34.0/24}	unsat	1177	4244	718.0	718.0	718.0	0.717	0.717	0.717	725.0	GigabitEthernet0/0	6662.0	9332.0
rotterdam	sofia	IpWildcardIpSpace{ipWildcard=200.1.65.0/24}	unsat	1092	3382	608.0	608.0	608.0	0.607	0.607	0.607	718.0	GigabitEthernet0/0	6662.0	9332.0
budapest	lisbon	IpWildcardIpSpace{ipWildcard=200.1.32.0/24}	unsat	1076	3519	608.0	608.0	608.0	0.607	0.607	0.607	717.0	GigabitEthernet0/0	6662.0	9332.0
kiev	paris	IpWildcardIpSpace{ipWildcard=200.1.22.0/24}	unsat	835	3050	541.0	541.0	541.0	0.541	0.541	0.541	727.0	GigabitEthernet0/0	6662.0	9332.0
amsterdam	peerfrankfurt7	IpWildcardIpSpace{ipWildcard=200.1.27.0/24}	unsat	1174	4013	635.0	635.0	635.0	0.634	0.634	0.634	721.0	GigabitEthernet0/0	6662.0	9332.0
peermarseille12	vienna	IpWildcardIpSpace{ipWildcard=200.1.48.0/24}	unsat	937	3643	548.0	548.0	548.0	0.547	0.547	0.547	728.0	GigabitEthernet0/0	6662.0	9332.0
rotterdam	peerbrussels6	IpWildcardIpSpace{ipWildcard=200.1.30.0/24}	unsat	1134	4021	619.0	619.0	619.0	0.618	0.618	0.618	727.0	GigabitEthernet0/0	6662.0	9332.0
london	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	unsat	843	3111	523.0	523.0	523.0	0.523	0.523	0.523	726.0	GigabitEthernet0/0	6662.0	9332.0
zagreb	dublin	IpWildcardIpSpace{ipWildcard=200.1.52.0/24}	unsat	897	3208	604.0	604.0	604.0	0.603	0.603	0.603	724.0	GigabitEthernet0/0	6662.0	9332.0
warsaw	peeramsterdam0	IpWildcardIpSpace{ipWildcard=200.1.57.0/24}	unsat	1207	3865	630.0	630.0	630.0	0.629	0.629	0.629	731.0	GigabitEthernet0/0	6662.0	9332.0
peerkiev11	bratislava	IpWildcardIpSpace{ipWildcard=200.1.44.0/24}	unsat	905	3155	566.0	566.0	566.0	0.566	0.566	0.566	718.0	GigabitEthernet0/0	6662.0	9332.0
zagreb	budapest	IpWildcardIpSpace{ipWildcard=200.1.38.0/24}	unsat	1	0	218.0	218.0	218.0	0.218	0.218	0.218	719.0	GigabitEthernet0/0	6662.0	9332.0
vienna	geneva	IpWildcardIpSpace{ipWildcard=200.1.58.0/24}	unsat	969	3485	581.0	581.0	581.0	0.581	0.581	0.581	726.0	GigabitEthernet0/0	6662.0	9332.0
bucharest	rotterdam	IpWildcardIpSpace{ipWildcard=200.1.42.0/24}	unsat	1297	3920	672.0	672.0	672.0	0.671	0.671	0.671	715.0	GigabitEthernet0/0	6662.0	9332.0
stockholm	frankfurt	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	0	0	46.0	46.0	46.0	0.046	0.046	0.046	741.0	GigabitEthernet0/0	6662.0	9332.0
peermarseille13	lyon	IpWildcardIpSpace{ipWildcard=200.1.49.0/24}	unsat	984	3346	617.0	617.0	617.0	0.616	0.616	0.616	733.0	GigabitEthernet0/0	6662.0	9332.0
london	madrid	IpWildcardIpSpace{ipWildcard=200.1.56.0/24}	unsat	913	2864	592.0	592.0	592.0	0.591	0.591	0.591	720.0	GigabitEthernet0/0	6662.0	9332.0
peeramsterdam0	stockholm	IpWildcardIpSpace{ipWildcard=200.1.33.0/24}	unsat	1040	3642	607.0	607.0	607.0	0.607	0.607	0.607	720.0	GigabitEthernet0/0	6662.0	9332.0
warsaw	milan	IpWildcardIpSpace{ipWildcard=200.1.40.0/24}	unsat	1008	3599	616.0	616.0	616.0	0.616	0.616	0.616	726.0	GigabitEthernet0/0	6662.0	9332.0
paris	peerfrankfurt7	IpWildcardIpSpace{ipWildcard=200.1.27.0/24}	unsat	1102	3477	602.0	602.0	602.0	0.601	0.601	0.601	717.0	GigabitEthernet0/0	6662.0	9332.0
