srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
praha	barcelona	IpWildcardIpSpace{ipWildcard=200.1.35.0/24}	sat	552	2090	479.0	479.0	479.0	0.478	0.478	0.478	813.0	GigabitEthernet0/0	6662.0	9332.0
brussels	peerbrussels4	IpWildcardIpSpace{ipWildcard=200.1.28.0/24}	sat	3	17	230.0	230.0	230.0	0.23	0.23	0.23	835.0	GigabitEthernet0/0	6662.0	9332.0
peerbarcelona1	peerbasel2	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	sat	1268	4196	710.0	710.0	710.0	0.709	0.709	0.709	776.0	GigabitEthernet0/0	6662.0	9332.0
peerbrussels5	peermilan14	IpWildcardIpSpace{ipWildcard=200.1.62.0/24}	sat	842	3282	551.0	551.0	551.0	0.551	0.551	0.551	741.0	GigabitEthernet0/0	6662.0	9332.0
peerbasel3	peergeneva9	IpWildcardIpSpace{ipWildcard=200.1.54.0/24}	sat	1094	4151	682.0	682.0	682.0	0.681	0.681	0.681	801.0	GigabitEthernet0/0	6662.0	9332.0
zagreb	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	690	2714	502.0	502.0	502.0	0.502	0.502	0.502	731.0	GigabitEthernet0/0	6662.0	9332.0
peerbrussels4	vienna	IpWildcardIpSpace{ipWildcard=200.1.48.0/24}	sat	1049	4444	591.0	591.0	591.0	0.591	0.591	0.591	746.0	GigabitEthernet0/0	6662.0	9332.0
madrid	peermarseille13	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	sat	652	2687	479.0	479.0	479.0	0.478	0.478	0.478	737.0	GigabitEthernet0/0	6662.0	9332.0
athens	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	1440	4511	687.0	687.0	687.0	0.687	0.687	0.687	724.0	GigabitEthernet0/0	6662.0	9332.0
peerfrankfurt7	ljubjana	IpWildcardIpSpace{ipWildcard=200.1.60.0/24}	sat	1035	3255	601.0	601.0	601.0	0.6	0.6	0.6	725.0	GigabitEthernet0/0	6662.0	9332.0
brussels	praha	IpWildcardIpSpace{ipWildcard=200.1.24.0/24}	sat	1250	3706	637.0	637.0	637.0	0.637	0.637	0.637	728.0	GigabitEthernet0/0	6662.0	9332.0
strasbourg	bratislava	IpWildcardIpSpace{ipWildcard=200.1.44.0/24}	sat	970	3787	598.0	598.0	598.0	0.598	0.598	0.598	727.0	GigabitEthernet0/0	6662.0	9332.0
peeristanbul10	marseille	IpWildcardIpSpace{ipWildcard=200.1.50.0/24}	sat	898	3783	620.0	620.0	620.0	0.619	0.619	0.619	736.0	GigabitEthernet0/0	6662.0	9332.0
luxembourg	dublin	IpWildcardIpSpace{ipWildcard=200.1.52.0/24}	sat	1319	4386	742.0	742.0	742.0	0.741	0.741	0.741	723.0	GigabitEthernet0/0	6662.0	9332.0
paris	basel	IpWildcardIpSpace{ipWildcard=200.1.25.0/24}	sat	1060	3670	609.0	609.0	609.0	0.609	0.609	0.609	726.0	GigabitEthernet0/0	6662.0	9332.0
peerbrussels6	peergeneva8	IpWildcardIpSpace{ipWildcard=200.1.55.0/24}	sat	888	3949	577.0	577.0	577.0	0.576	0.576	0.576	723.0	GigabitEthernet0/0	6662.0	9332.0
peerstrasbourg15	zurich	IpWildcardIpSpace{ipWildcard=200.1.66.0/24}	sat	628	2601	445.0	445.0	445.0	0.444	0.444	0.444	731.0	GigabitEthernet0/0	6662.0	9332.0
istanbul	rotterdam	IpWildcardIpSpace{ipWildcard=200.1.42.0/24}	sat	1003	3540	592.0	592.0	592.0	0.592	0.592	0.592	723.0	GigabitEthernet0/0	6662.0	9332.0
barcelona	warsaw	IpWildcardIpSpace{ipWildcard=200.1.67.0/24}	sat	1131	4093	682.0	682.0	682.0	0.681	0.681	0.681	723.0	GigabitEthernet0/0	6662.0	9332.0
peerbasel2	warsaw	IpWildcardIpSpace{ipWildcard=200.1.67.0/24}	sat	1164	4117	626.0	626.0	626.0	0.626	0.626	0.626	721.0	GigabitEthernet0/0	6662.0	9332.0
frankfurt	zurich	IpWildcardIpSpace{ipWildcard=200.1.66.0/24}	sat	1153	3962	649.0	649.0	649.0	0.648	0.648	0.648	759.0	GigabitEthernet0/0	6662.0	9332.0
peeramsterdam0	peermarseille13	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	sat	877	3253	513.0	513.0	513.0	0.512	0.512	0.512	726.0	GigabitEthernet0/0	6662.0	9332.0
athens	geneva	IpWildcardIpSpace{ipWildcard=200.1.58.0/24}	sat	354	2542	413.0	413.0	413.0	0.412	0.412	0.412	743.0	GigabitEthernet0/0	6662.0	9332.0
