srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
praha	barcelona	IpWildcardIpSpace{ipWildcard=200.1.35.0/24}	sat	658	3981	560.0	560.0	560.0	0.559	0.559	0.559	838.0	GigabitEthernet0/0	6982.0	9620.0
brussels	peerbrussels4	IpWildcardIpSpace{ipWildcard=200.1.28.0/24}	sat	534	4528	470.0	470.0	470.0	0.469	0.469	0.469	758.0	GigabitEthernet0/0	6982.0	9620.0
peerbarcelona1	peerbasel2	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	sat	497	3429	440.0	440.0	440.0	0.439	0.439	0.439	746.0	GigabitEthernet0/0	6982.0	9620.0
peerbrussels5	peermilan14	IpWildcardIpSpace{ipWildcard=200.1.62.0/24}	sat	102	1173	284.0	284.0	284.0	0.283	0.283	0.283	736.0	GigabitEthernet0/0	6982.0	9620.0
peerbasel3	peergeneva9	IpWildcardIpSpace{ipWildcard=200.1.54.0/24}	sat	1315	6719	798.0	798.0	798.0	0.797	0.797	0.797	743.0	GigabitEthernet0/0	6982.0	9620.0
zagreb	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	1172	6757	712.0	712.0	712.0	0.712	0.712	0.712	741.0	GigabitEthernet0/0	6982.0	9620.0
peerbrussels4	vienna	IpWildcardIpSpace{ipWildcard=200.1.48.0/24}	sat	533	4228	479.0	479.0	479.0	0.479	0.479	0.479	773.0	GigabitEthernet0/0	6982.0	9620.0
madrid	peermarseille13	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	sat	1297	5648	787.0	787.0	787.0	0.787	0.787	0.787	747.0	GigabitEthernet0/0	6982.0	9620.0
athens	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	200	5474	324.0	324.0	324.0	0.324	0.324	0.324	746.0	GigabitEthernet0/0	6982.0	9620.0
peerfrankfurt7	ljubjana	IpWildcardIpSpace{ipWildcard=200.1.60.0/24}	sat	1032	5205	697.0	697.0	697.0	0.697	0.697	0.697	748.0	GigabitEthernet0/0	6982.0	9620.0
brussels	praha	IpWildcardIpSpace{ipWildcard=200.1.24.0/24}	sat	1841	7605	1011.0	1011.0	1011.0	1.01	1.01	1.01	740.0	GigabitEthernet0/0	6982.0	9620.0
strasbourg	bratislava	IpWildcardIpSpace{ipWildcard=200.1.44.0/24}	sat	1333	6218	793.0	793.0	793.0	0.792	0.792	0.792	813.0	GigabitEthernet0/0	6982.0	9620.0
peeristanbul10	marseille	IpWildcardIpSpace{ipWildcard=200.1.50.0/24}	sat	1012	5231	677.0	677.0	677.0	0.676	0.676	0.676	742.0	GigabitEthernet0/0	6982.0	9620.0
luxembourg	dublin	IpWildcardIpSpace{ipWildcard=200.1.52.0/24}	sat	1042	5810	690.0	690.0	690.0	0.69	0.69	0.69	730.0	GigabitEthernet0/0	6982.0	9620.0
paris	basel	IpWildcardIpSpace{ipWildcard=200.1.25.0/24}	sat	1004	5439	620.0	620.0	620.0	0.619	0.619	0.619	787.0	GigabitEthernet0/0	6982.0	9620.0
