srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
memphis	jackson	IpWildcardIpSpace{ipWildcard=200.0.75.0/24}	unsat	13523	73608	24056.0	24056.0	24056.0	24.054	24.054	24.054	1863.0	GigabitEthernet0/0	20745.0	31250.0
orlando	newark	IpWildcardIpSpace{ipWildcard=200.0.118.0/24}	unsat	43918	210620	67556.0	67556.0	67556.0	67.555	67.555	67.555	1776.0	GigabitEthernet0/0	20745.0	31250.0
copenhagen	constanta	IpWildcardIpSpace{ipWildcard=200.0.41.0/24}	unsat	26894	143088	54593.0	54593.0	54593.0	54.592	54.592	54.592	1769.0	GigabitEthernet0/0	20745.0	31250.0
stamford	minneapolis	IpWildcardIpSpace{ipWildcard=200.0.109.0/24}	unsat	22832	111219	39588.0	39588.0	39588.0	39.587	39.587	39.587	1958.0	GigabitEthernet0/0	20745.0	31250.0
caen	dublin	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	unsat	25878	111198	48301.0	48301.0	48301.0	48.3	48.3	48.3	1812.0	GigabitEthernet0/0	20745.0	31250.0
vienna	poiters	IpWildcardIpSpace{ipWildcard=200.0.148.0/24}	unsat	23608	129552	46733.0	46733.0	46733.0	46.733	46.733	46.733	1726.0	GigabitEthernet0/0	20745.0	31250.0
stockholm	dallas	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	unsat	36439	142446	57608.0	57608.0	57608.0	57.608	57.608	57.608	1720.0	GigabitEthernet0/0	20745.0	31250.0
cleveland	nodeid172	IpWildcardIpSpace{ipWildcard=200.0.129.0/24}	unsat	19372	99980	31020.0	31020.0	31020.0	31.02	31.02	31.02	1731.0	GigabitEthernet0/0	20745.0	31250.0
lyon	dijon	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	unsat	19057	108941	39377.0	39377.0	39377.0	39.376	39.376	39.376	1767.0	GigabitEthernet0/0	20745.0	31250.0
toronto	sofia	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	unsat	28621	144877	52500.0	52500.0	52500.0	52.499	52.499	52.499	1605.0	GigabitEthernet0/0	20745.0	31250.0
krakow	charlotte	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	unsat	25344	130578	37678.0	37678.0	37678.0	37.677	37.677	37.677	1741.0	GigabitEthernet0/0	20745.0	31250.0
monterrey	greensboro	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	unsat	23852	128418	38679.0	38679.0	38679.0	38.679	38.679	38.679	1737.0	GigabitEthernet0/0	20745.0	31250.0
jacksonville	detroit	IpWildcardIpSpace{ipWildcard=200.0.47.0/24}	unsat	18237	108449	38480.0	38480.0	38480.0	38.479	38.479	38.479	1694.0	GigabitEthernet0/0	20745.0	31250.0
herndon	oslo	IpWildcardIpSpace{ipWildcard=200.0.141.0/24}	unsat	28537	124466	47175.0	47175.0	47175.0	47.175	47.175	47.175	1703.0	GigabitEthernet0/0	20745.0	31250.0
santtdiego	genoa	IpWildcardIpSpace{ipWildcard=200.0.61.0/24}	unsat	18495	94797	28421.0	28421.0	28421.0	28.42	28.42	28.42	1737.0	GigabitEthernet0/0	20745.0	31250.0
rotterdam	murcia	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	unsat	19382	68873	28609.0	28609.0	28609.0	28.607	28.607	28.607	1708.0	GigabitEthernet0/0	20745.0	31250.0
worcester	sofia	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	unsat	37986	190290	78541.0	78541.0	78541.0	78.54	78.54	78.54	1744.0	GigabitEthernet0/0	20745.0	31250.0
florence	santattclara	IpWildcardIpSpace{ipWildcard=200.0.163.0/24}	unsat	43116	154095	71531.0	71531.0	71531.0	71.53	71.53	71.53	2086.0	GigabitEthernet0/0	20745.0	31250.0
logrono	chicago	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	unsat	24619	97693	36108.0	36108.0	36108.0	36.108	36.108	36.108	1725.0	GigabitEthernet0/0	20745.0	31250.0
worcester	bratislava	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	unsat	22741	110735	38248.0	38248.0	38248.0	38.247	38.247	38.247	1721.0	GigabitEthernet0/0	20745.0	31250.0
dortmund	oslo	IpWildcardIpSpace{ipWildcard=200.0.141.0/24}	unsat	12039	64913	22681.0	22681.0	22681.0	22.68	22.68	22.68	1774.0	GigabitEthernet0/0	20745.0	31250.0
avila	nodeid150	IpWildcardIpSpace{ipWildcard=200.0.127.0/24}	unsat	13539	89065	29225.0	29225.0	29225.0	29.225	29.225	29.225	1722.0	GigabitEthernet0/0	20745.0	31250.0
bordeaux	washington	IpWildcardIpSpace{ipWildcard=200.0.192.0/24}	unsat	27236	123628	42362.0	42362.0	42362.0	42.361	42.361	42.361	1747.0	GigabitEthernet0/0	20745.0	31250.0
boston	bilbao	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	16748	72538	28089.0	28089.0	28089.0	28.088	28.088	28.088	1719.0	GigabitEthernet0/0	20745.0	31250.0
nodeid144	losttangeles	IpWildcardIpSpace{ipWildcard=200.0.92.0/24}	unsat	14916	58260	21651.0	21651.0	21651.0	21.65	21.65	21.65	1742.0	GigabitEthernet0/0	20745.0	31250.0
granada	zagreb	IpWildcardIpSpace{ipWildcard=200.0.195.0/24}	unsat	26022	114147	50073.0	50073.0	50073.0	50.072	50.072	50.072	1718.0	GigabitEthernet0/0	20745.0	31250.0
santtfrancisco	timisoara	IpWildcardIpSpace{ipWildcard=200.0.181.0/24}	unsat	73050	338802	129930.0	129930.0	129930.0	129.929	129.929	129.929	1710.0	GigabitEthernet0/0	20745.0	31250.0
santander	elttpaso	IpWildcardIpSpace{ipWildcard=200.0.54.0/24}	unsat	19120	86889	37370.0	37370.0	37370.0	37.37	37.37	37.37	1753.0	GigabitEthernet0/0	20745.0	31250.0
newttyork	zagreb	IpWildcardIpSpace{ipWildcard=200.0.195.0/24}	unsat	51999	208921	108188.0	108188.0	108188.0	108.188	108.188	108.188	1734.0	GigabitEthernet0/0	20745.0	31250.0
